"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Natural","57147866.566627294","57008085.44134233","56356956.15199214","55805812.2499968","55166705.2466865","54793584.62395363","54482775.435466446","54116269.998070516","53721189.25368945","53713190.41995829","53832489.656413876","53948340.386689536","54373691.9485052","54261466.234502554","54164273.36705754","54128042.353498146","53837528.62717866","53666723.91573853","53413634.44070037","53186712.611849375","52890411.34534094","52846373.686767414","52686076.935580224","52785622.20555835","52861951.51524105","52849287.552192144","52735731.160933875","52307737.97791096","51943669.499795236","51596881.81219457","51241069.973839","51186321.33180674","51054731.15043801","51023161.202638045","51033158.83818306","51028439.97759302","50941308.51328977","50974809.46774212"
"1.1. Formação Florestal","4145933.115814303","4143348.073298254","4179925.524973035","4234625.221692294","4199164.753167816","4163402.8680593628","4146471.7389531382","4042045.5782975317","3923674.829118951","3727320.415882612","3743822.5682597957","3728112.478873077","3743361.0446021017","3753153.0137787163","3690575.2584336894","3627832.5213797614","3592416.9019275024","3551103.3153816396","3520359.5812158287","3391786.733949693","3391806.191746593","3321990.4460345735","3246839.338091113","3243238.899663077","3196982.897932201","3176878.9587707133","3185983.772029935","3202286.0083311317","3174001.4638252365","3219941.6882847925","3167332.8857849096","3187676.3823431875","3194766.0229645334","3256704.3151153307","3172561.3860552995","3174005.0291848346","3177562.1188555253","3169892.9812308843"
"1.2. Formação Savânica","48400669.91321269","48286049.77111188","48048924.66752157","47774241.7914185","47219660.86979348","46894041.142614834","46633628.65012631","46255643.707210705","45982085.28854259","46114679.75575329","46182626.170108944","46382650.73676377","46709109.35496659","46568867.12893949","46479875.692613885","46510941.02212434","46294463.829118095","46132138.72006871","45843431.822241664","45508844.10776921","45304383.376711085","45396753.274799354","45354609.57012095","45419463.00694216","45458958.248561","45484895.217690416","45363655.13141047","45050691.79546217","44865815.79912094","44654440.92525031","44629984.72433688","44416030.26752986","44262681.52446002","44022117.55832741","43973795.49897892","43860861.48156898","43778367.666516535","43715461.289043926"
"1.3. Mangue","24958.114495556678","25808.210583135842","25695.306369299156","26222.637170989827","26622.15045478498","26747.605652899103","26835.39078183577","27059.17379790637","27271.97248745107","27252.9114042785","27659.471463806112","28228.514911804115","27861.844111328162","28263.397354553053","28343.942141113148","28807.995308831603","29026.910139288073","29144.926313158998","29117.07979122296","29218.34868477761","29304.03126290878","29287.678829620178","29236.169321471938","29085.324871868692","29203.625693902348","29616.774776134946","29918.11486774865","29787.806298956075","29816.88205737289","29605.77880433945","29251.142648101624","28790.53621206659","28333.933314392016","28368.19833319694","28399.548942559653","28510.16438442374","28960.822524529824","28336.592994158822"
"1.4. Floresta Alagável","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.5. Restinga Arbórea","0.08892694702148438","0.08892694702148438","","","","","","0.08893848266601563","0.17787532348632812","0.35574334716796874","0.26680650634765624","0.35584987182617184","0.08904336547851563","","","","","0.17798008422851563","0.17798008422851563","0.08893860473632811","0.08893860473632811","0.08893860473632811","","","","","","","","","","","","","","","",""
"1.6. Campo Alagado e Área Pantanosa","1.322796960449219","1.0608614013671873","1.8573566345214843","1.0662013244628907","0.7096162231445313","0.7953471801757813","1.9470468261718747","2.559812268066406","2.6509910400390626","2.6522655090332035","1.85218046875","2.210373712158203","2.1158402099609375","2.3790133911132814","1.141315533447266","1.4986029357910158","1.4049410339355468","1.4987159118652342","1.0597522705078124","1.5013347229003908","1.5839263549804687","1.3161447998046876","2.109367913818359","1.8470344848632814","2.276862390136719","2.283192681884765","1.6663762634277348","1.9260974853515627","1.6737660217285157","1.4061464965820312","2.019209521484375","1.7584598999023433","1.579065283203125","1.495545556640625","1.4061776245117188","1.761527600097656","1.2387166809082033","0.968604852294922"
"1.7. Formação Campestre","3248855.121670383","3159764.089835269","2751295.9561718837","2364919.361303339","2316604.7190663824","2277150.1109553427","2279781.2597776367","2415078.945627202","2470156.6824622443","2525707.1602255832","2596565.5694236876","2550053.484203911","2606994.3909683647","2711974.1816743715","2774016.3588237357","2802148.595937136","2766374.6459131567","2741985.366055666","2797050.1899719667","2767574.569577515","2718065.9988891757","2663690.6092479","2620388.2382260477","2644149.953816883","2726910.678877415","2775645.66768139","2802279.245912437","2764248.7866567774","2761482.391607892","2630558.7938814047","2428389.829385","2562611.225773704","2576161.568836535","2681215.724357665","2762951.2568165045","2761022.7262765933","2803220.4702578154","2808782.8307061703"
"1.8. Apicum","12549.180491436571","12884.493039227109","12877.55541641217","12956.085487829403","12908.646498565497","12827.660979614038","12782.09269929179","12767.344236102075","12814.125163384788","12594.477645849367","12291.25641541117","12181.146810742008","12092.766053240794","12260.058183440953","12700.894710650458","13064.773871465932","13145.228914147796","12788.097566650275","12755.792034850958","12780.344798168848","12963.583795361148","13001.774573223753","12947.13300535271","12815.018226007027","12751.296795013302","12484.43152218613","12336.190997131283","12191.723825811667","12318.100867309426","12369.773751977413","12371.83244111318","12452.665595226988","12488.933217364425","12489.584791674737","12313.649812261898","12253.212733581468","12142.032092864936","11537.058421826085"
"1.9. Afloramento Rochoso","115885.0052358309","143484.22329821473","143253.95162240334","147116.589166141","146227.99306465202","147531.79173478758","148117.255882652","146430.29975781697","146909.55251448796","148138.00268850513","148555.26380293953","146968.31220738255","147362.47314037252","140925.1580488512","147954.86362319172","151835.4107944994","153952.8275612044","153867.2620033064","152967.28695892176","158372.6728324992","158639.09156230817","156946.10935726686","157481.19174427865","154704.91614482895","156990.61945665636","153033.84694185457","154987.59874649954","146719.92332013237","149081.55096973575","149843.04603409185","152377.29640078536","162936.7992339707","164340.43070593063","166196.04421388372","181851.51345918325","181223.87039424214","180039.53939583478","175649.39044866082"
"1.10. Restinga Herbácea","1.3351025512695314","1.0680492553710939","1.4239479187011719","1.42401357421875","1.6020856018066405","1.3350022033691407","1.2459889404296876","1.3350337280273437","1.3349994201660158","1.3349594970703125","0.8009703186035156","0.8899606262207032","1.512975048828125","1.6909782470703127","1.6910041259765627","1.4241287597656251","1.5129413513183594","1.779937017822266","1.6019795959472658","1.423976354980469","1.424010614013672","1.2460466247558593","1.0681002075195312","1.513233154296875","1.1571743469238283","1.6022289489746093","1.5132210876464844","1.1572039184570313","1.0681999694824216","0.8900361938476563","1.157083544921875","1.424101123046875","1.3351358520507812","1.4239941040039061","1.6910539672851561","1.6021859130859375","2.1362902893066407","2.314359246826172"
"1.11. Outras Formações não Florestais","","","","","","0.08891956176757812","0.08893148193359375","","","","0.08892532958984375","","0.08896687622070312","","0.26678286743164065","0.35570277099609376","0.26678273925781254","0.08891956176757812","0.177839208984375","0.08891964721679688","","","0.08891964721679688","0.177839208984375","","","","0.089016455078125","0.08892532958984375","","","0.08893148193359375","0.08893148193359375","","","","",""
"1.12. Praia, Duna e Areal","134052.23260749446","136294.94521657616","137142.25767596977","137876.2983041079","139507.5293608897","141832.2064905096","142365.9344915717","144027.97105219157","143313.53468120183","141845.1687446108","145760.00311487977","147209.40887731293","147741.6584894048","145689.6629567323","142364.44785842308","139956.41101373296","137995.59932009282","137703.36164760706","136396.3775624879","136412.47602755157","135201.18369472623","134542.06613163982","130687.02106118064","125906.8312369622","124827.01766561768","126954.51112496849","131497.25681050337","137387.93529805358","141605.77353513817","142073.25430864203","139715.26946606467","135320.73183925173","131608.6390374328","131534.07777463368","126826.05335774465","125508.32155693878","125534.51026072899","125274.57491377484"
"1.13. Rio, Lago e Oceano","1064961.1362731461","1100449.4171221678","1057837.6509370143","1107851.7752386983","1106006.273578109","1130049.0181973453","1092789.8307867686","1073212.9943065683","1014959.1048533637","1015648.1846452001","975206.3449417898","952932.8478573369","979164.6093482843","900329.5635747785","888438.8097503141","853452.3446339134","850149.499620053","907989.3211491986","921553.2933722499","1181720.255040636","1140044.7908032038","1130159.0766638166","1133885.007622065","1156254.716549727","1155323.6962225044","1089774.2582628555","1055070.670561795","964420.8264000687","809544.7069202821","758046.2556963362","681643.8170830796","680499.4517869634","684347.0947691968","724532.7801845879","774456.8335290044","885051.8077799121","835477.9783789563","939871.4670186102"
"2. Antrópico","28304341.97752109","28494212.737214115","29205343.28634966","29834289.377863888","30536715.75938583","30926979.24990544","31234404.264218356","31589333.893492974","31962221.246689","31977291.34876162","31813592.552226283","31688344.985876396","31268237.920145053","31380322.127221182","31554134.261201523","31612808.864823144","31918458.395933587","32080313.868957777","32332399.811462823","32567212.613847986","32856975.79145515","32903700.36392953","33068292.18604024","32969429.479084406","32911986.908365253","32933914.593315504","33066055.53760356","33481413.525767148","33833419.44299215","34179601.03247911","34519475.55156732","34552017.90099376","34643985.84544639","34649522.535691425","34698810.21914316","34711355.22044195","34821320.765136965","34792095.79005366"
"2.1. Pastagem","15179317.206351914","15348987.273993907","16421357.018361583","17559811.910939842","18601471.588172853","19447788.97669263","20193814.284007765","20682504.264138855","21045403.37849843","21078984.078606058","21036174.43653262","21153780.400520384","21449491.155376673","21845535.27629706","21999211.909656513","22157304.863737263","22392401.074617803","22468025.86253391","22777383.0531665","22953271.667280722","23247313.444068596","23370625.36403999","23466402.438599985","23560443.179757137","23487200.184302468","23536708.644931775","23651772.51488056","24048396.780048795","24467352.2156246","24887491.209819093","24984581.370972108","25034194.022617143","24985620.93142365","24643957.476127237","24510176.350110203","24194281.16890963","23735102.384097133","23451147.04408986"
"2.2. Soja","","","","","1.3955609985351562","2.073244189453125","1.4702182373046875","2.538692352294922","6.428668933105467","5.372421160888672","7.925839318847661","12.437536804199217","36.7512728942871","36.56901052856445","61.532548083496096","508.28304534301856","3613.5630760008903","3734.8098201109337","3893.8299994994836","4410.858190496763","3348.39976231074","3595.306159570302","3532.1104805419927","2587.443530798338","1159.3797371093742","2256.950871575882","2545.2556189208494","2397.484744317501","5396.34878069441","8308.892808239596","10810.628320818876","13527.568774822777","16134.075695629388","11227.134118761802","8636.932342779366","7959.314220440501","8395.544334826503","12369.002020659771"
"2.3. Cana","22162.857323595923","22099.725109801977","22572.8011744443","22554.246906567096","22980.44629466511","23593.89504297444","23973.501211462","25151.220412310322","25985.186038494463","27188.397467150433","27529.52946176112","27669.323344329474","27770.02573206757","28161.62038192704","28663.34239796113","28819.728493853414","29710.018959057215","30233.15363444804","30974.565721630643","31620.821713854748","32186.266746484114","32599.472320898076","33984.04073008376","34200.355569189014","35041.95229888844","36056.561054101025","37243.5204538386","38773.2585444153","39023.1880879455","40800.49045880091","41426.36318853736","42044.818642657185","42022.65091616802","41893.44899318812","42512.65587656836","42541.59534756425","42548.69000949663","42570.131845763746"
"2.4. Arroz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
