"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Natural","38041913.79004269","37790662.28125845","37129816.82076025","36621573.16334198","36195641.24258989","35957842.388850756","35711574.17172023","35546889.55078942","35462194.53024811","35350746.39624947","35222817.882449664","35122989.92391068","35027646.92798923","34976248.267721586","34943306.57454456","34743698.7822867","34753092.99943014","34734354.19643159","34715077.70049309","34729627.9605892","34764052.66560367","34796885.38455501","34858809.9714885","34883634.68917791","34877991.50233537","34929634.11248973","34995879.25336771","35056111.70394313","35088091.04909067","35119305.78039852","35206417.28500823","35306554.92767592","35383510.94932993","35454867.93961787","35483344.94343995","35511897.85323332","35617924.77423013","35744885.96315813"
"1.1. Formação Florestal","30034239.45328174","29869848.607632138","29359619.58691251","28951336.1365859","28623021.570152014","28436248.820324995","28203542.685268797","28090781.0464273","28031688.798805494","27941494.112301946","27840149.945297536","27738301.58966405","27635711.911711738","27577266.796391737","27484621.149968654","27398615.463468373","27378653.195965003","27318413.0440425","27291942.466264755","27271498.187631305","27288736.228781223","27322545.55545528","27386322.03838009","27441305.456170574","27490535.106481418","27571636.329385865","27654174.592623707","27730715.47926903","27785280.782434892","27847835.138028104","27949313.89553876","28009543.532703888","28081051.60844408","28110885.053147126","28108274.34663637","28108100.35977346","28245018.640620157","28232534.64806792"
"1.2. Formação Savânica","1294010.1964090567","1293710.6288878347","1251736.4616291984","1220325.6956819333","1203351.0777062387","1195306.0777975372","1173616.44922718","1150934.870129208","1138389.0114598915","1129124.1256725322","1124752.9739903752","1132018.436587675","1139627.047538258","1148949.2271681142","1156603.6095689652","1157674.2715892605","1170800.9478924118","1177750.0947189701","1191090.1473736751","1210474.8267860452","1230000.898237984","1239981.3835612151","1245791.7495891287","1240923.713130986","1220131.3424938936","1214406.760000314","1217540.4325056376","1230874.147685046","1235875.7658138692","1246458.3728971756","1253220.8432719947","1263799.9060522004","1276890.617408525","1290676.2589856351","1301092.2122062282","1301659.3518940103","1292429.005298999","1348713.9252155782"
"1.3. Mangue","173869.39334138884","174730.0413392893","173879.2190201549","175102.0317274853","175807.5148116954","177631.34736502773","178294.03156992292","178591.63827019732","178719.6789499885","178198.39709076617","178771.19476419754","179174.37780040345","179777.62710426748","179585.9824751046","181516.07569945778","187266.4880448798","189281.39301160915","190222.09445269796","190647.42748041978","191432.9093174318","192007.2116039247","192743.85722499996","192921.0202789304","192388.29312461504","193252.08520178765","193927.63795468706","194223.9796192129","194086.08425733563","194737.36469959078","195662.15931526467","196438.46325117166","195313.47239663065","193558.18425265487","193552.86550785502","194007.9145533322","194086.0084539853","197872.7131709712","191304.40063705947"
"1.4. Floresta Alagável","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.5. Restinga Arbórea","615369.8687034899","610376.3262781332","602590.975772756","596008.4360953256","588938.4170405708","582491.9706731215","577327.8834215294","573072.6056139619","570285.9026812335","568121.088326879","565780.6526130679","563175.5578856271","558267.1742018647","555749.3699275791","552171.497230259","551137.2566980493","550005.5921661274","549112.5660718981","550107.4497036381","548828.1552503004","549955.0855675577","552074.1595502031","551687.018266461","551689.3588168471","551799.6873573789","551750.802706963","553131.1402234173","554062.0987105469","556123.4243898711","554658.6325772111","555558.8713917669","554370.0204601841","555255.0428103632","555358.8197966123","556921.0343658199","556244.038037102","554034.2188159344","552824.5920955746"
"1.6. Campo Alagado e Área Pantanosa","979341.2904388083","935442.6300110515","872582.0853751313","837008.5901510313","804608.1685094333","780994.3839092359","766819.0483548264","755846.4367628163","757912.1305478427","759264.6271492263","754730.024891455","738816.5870904687","739278.0809717866","730604.3675601035","705642.4141528474","737157.1557111377","748258.0582906619","756826.8172792783","763097.6615927175","777409.0164067467","779878.0120177716","786946.3837012067","787726.6971136504","789391.9007132557","786706.5898080318","790637.8680050849","796148.0263549911","810666.050390816","819884.4215521822","830029.6820963034","832281.9083377162","829676.5665981482","850896.9538267554","872044.7725204225","893274.5631541885","917547.088554584","909500.4817474699","923104.3131877186"
"1.7. Formação Campestre","2370776.1589560085","2326124.1466279915","2269636.936473814","2246300.5705656507","2212708.325552502","2179554.079561911","2143784.4111508946","2102579.1964203757","2095984.1004832932","2094154.3007067128","2091265.7935963431","2093228.9012880342","2094373.5544025633","2093335.237347982","2091362.3344039305","2078438.2873477763","2071325.1223291154","2064500.0719569838","2034262.110590116","2022518.4504195265","2005550.249253642","1982791.5102241973","1955163.3782441665","1936640.624531165","1903654.0855648292","1877758.0414678506","1857485.4300339653","1843261.9377089955","1824892.262422596","1815902.5411351118","1797592.613556145","1788225.993731344","1782397.3160112356","1786415.4797920971","1788053.1689740238","1791699.4646124586","1781017.909469744","1811576.1185090763"
"1.8. Apicum","10209.093649713153","10630.335019885268","10596.201751782242","10852.564242401146","11003.977708673116","11142.823198614527","11162.362651580832","11306.758583398436","11451.999847778316","11311.47982822875","11274.514776110826","11257.055335772699","11142.012327331528","11362.453792803952","11455.085871026602","11345.249392901624","11138.238714196785","10957.321586993417","10830.554056970223","10819.028644158934","10907.172066094976","11025.905738311769","11056.867168988038","11041.395889923104","10924.220242773454","10652.769007098423","10330.22078593754","9701.041335400412","9172.809010052508","8970.12613846438","8882.941519030783","8903.26161459963","8946.337701477065","8922.307652807638","8896.588637957782","8895.207381024193","8876.382394995144","8426.791034887721"
"1.9. Afloramento Rochoso","259329.60437238804","254245.3854130992","250730.19748954548","248591.08440574995","245185.10550429128","243523.4008680919","241750.1035866892","240324.1093501836","239709.83267462134","240036.13368543138","239617.84856860436","240270.8892669806","240291.74439645486","240428.92459542933","242147.81250167274","242579.6113040468","242933.6163213935","242833.04620196635","241139.70440843003","242020.4155975835","242323.2537794812","242546.0400405404","242888.10709234062","243021.68152258382","242768.06793105626","241471.0845924268","240707.14937749127","240290.1561034135","240475.66269785876","242074.5203736588","243590.61455764313","244264.37155157642","245192.90189524737","244954.9625713763","244746.7525277304","246529.8783325828","249636.3925716754","252970.76914783564"
