"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Natural","13555232.03754777","13568059.890772711","13679136.029121986","13657178.852817","13567910.68830216","13532112.778273543","13541714.99844963","13529324.859673116","13432335.553025387","13344025.886560543","13363222.06510755","13312173.642881578","13231196.72772931","13183981.949610978","13112614.75944752","13041667.356485913","12954004.671942005","12838299.6114904","12712183.860842776","12575405.799653351","12568958.20555984","12621113.574309012","12671041.371076094","12624452.44113811","12585466.999876786","12434121.665302487","12257090.953691248","12078345.178253109","11872861.77182217","11768076.85073412","11705519.93252875","11645146.453764873","11522165.059129367","11415100.027962979","11184942.02978741","10956319.034889905","10714976.106895117","10707781.494642666"
"1.1. Formação Florestal","2158254.2331289775","2158792.703727723","2166244.2050112616","2169532.455833889","2148192.1541718324","2170078.0540963826","2153601.750684293","2161260.419839852","2139404.0244314857","2161815.038515591","2136023.6084557977","2148346.022432448","2152619.289043602","2131092.8246364146","2146236.9952377155","2134557.9465367254","2151311.584880484","2148679.5085360003","2159169.6179093504","2177528.619818058","2202513.0358711183","2228879.368932916","2255424.569130771","2253710.6440461357","2271478.652676184","2268654.212302577","2272119.724338366","2250707.1424553394","2211703.615636087","2222259.24469233","2245030.267022292","2274232.480324447","2277325.5430209916","2266057.31810307","2249517.2494900026","2256482.7427481622","2201015.527569295","2199899.4145578654"
"1.2. Formação Savânica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Floresta Alagável","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.5. Restinga Arbórea","81490.05400820331","81755.03472385892","76032.23929804705","71535.34890242328","69262.7813834476","68092.75298103028","66865.49453753073","64774.59729383545","63736.31426584477","65671.57395820905","68266.93148843362","69379.47958970946","68588.77395946662","66298.04510003659","65099.63411001592","63209.81112128906","64595.987732104484","65464.186924530244","63646.38595272844","63803.34115432757","66362.05110224028","67501.58207464598","69863.75808962419","68222.4553391844","69385.29762781384","69499.76845625031","72632.2218412969","71567.71520999169","66770.69403160425","66893.29465474884","70230.12574804128","69769.18788241004","69922.10488268478","71447.68568977085","72007.21138461345","72130.04444779099","71342.81599122337","74279.51681212816"
"1.6. Campo Alagado e Área Pantanosa","292754.5260524551","292294.5318611523","301325.9403913894","299106.9821559727","295947.0944150579","289988.9578717908","285240.1777695559","283206.7062627692","283509.4956926335","285932.0332038296","289671.2325148165","290745.7574605486","294686.9379714546","291977.0048869278","295809.4416769413","302208.17252933676","305857.30246197147","305178.22302185255","302520.0687039187","304160.45500512654","303501.6881709599","305906.7642713473","310367.8139821433","314986.6803980935","312938.16706020763","310258.31365041016","309606.83158400434","310460.77683717344","323192.36204292346","324116.3779386204","320674.1949444794","315112.93659484957","312456.30545598175","310230.5061759721","309384.3385111953","312024.4697361149","310892.097150818","319719.66678999737"
"1.7. Formação Campestre","8917426.39838237","8931827.048382472","9048058.201911462","9044106.734964339","8985175.559863575","8929686.987823917","8965445.676497238","8944582.165487675","8876094.065638471","8759618.356181584","8787315.182850128","8721623.743410956","8629877.357502863","8596767.773085538","8512106.086064192","8462381.271529412","8358874.816252061","8239134.873021788","8096511.204024355","7944071.974883342","7913288.502388333","7941772.579051128","7954203.264063801","7908449.2584103225","7851551.047838485","7703262.982318692","7523934.538640899","7368329.1974299615","7186457.281979976","7062859.146708988","6972733.2852549255","6886908.164894273","6763814.512064219","6669349.4004984135","6463714.355346283","6226469.5950992955","6041957.127437653","6031884.4231162295"
"1.8. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.9. Afloramento Rochoso","24732.704266101035","24720.520216662553","25028.156929260243","25222.19150634152","25268.403888500958","25250.124870910662","25081.206708642552","24970.447743560788","24780.888724554447","24905.502082037354","25184.301754650918","25224.745598181165","25330.00411415407","25179.4205123596","24824.234687554894","24341.681026397626","23923.734159191805","24125.44788845208","24012.200911096133","24586.785616778543","24579.696213629122","24551.783382440164","24249.08641889644","24424.019454205292","24243.120498602282","24404.400241015595","24308.915800067087","24068.03264270622","24004.583945989907","23767.134406817546","23978.63421861566","24043.80565445551","24174.813523358112","24440.990216094888","24799.64117622066","24946.033053552255","24809.626038293474","24963.68203112797"
