"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Natural","15954965.632909337","15940945.688893309","15903936.056654228","15864115.095373146","15822471.758619508","15796069.647477899","15760747.493470045","15721568.623669347","15677868.983100748","15610923.977460785","15548882.157368809","15479955.2866204","15417169.345064355","15356313.464491889","15290291.940935882","15225653.129917372","15177560.984636655","15102081.308588011","15018604.930985719","14955956.508752415","14893592.207090287","14847907.468372414","14814909.472649079","14778907.012376808","14733973.005462281","14688913.378754528","14659183.863404302","14633240.256717447","14602561.283852741","14570038.303506838","14525890.587976806","14489997.680321934","14456445.942774808","14411508.14802177","14317504.764125576","14232780.887790432","14127059.027467543","14002622.552333431"
"1.1. Formação Florestal","15869044.784404032","15854592.230545187","15817801.348922271","15777761.222895281","15735903.359074585","15708828.475881202","15673155.267803283","15634855.643161584","15590999.995173447","15524873.731296366","15463299.803663066","15395991.914737826","15334537.584126253","15273383.608564883","15204511.775315056","15146570.925218752","15099444.756098723","15022882.113972895","14939087.754229385","14876555.387466423","14816541.869917808","14770742.485411983","14737037.811742304","14700267.415055018","14654565.675860818","14610726.201602563","14579663.0688701","14552739.135492936","14522224.66455878","14487916.588363674","14442919.722259726","14407529.719182301","14373450.999500541","14328467.926693836","14233818.970384559","14147427.676542092","14040052.403562175","13919309.450837374"
"1.2. Formação Savânica","1019.1122701721239","873.703758142091","806.2893430969261","738.8263106567425","679.5358335632337","655.5094839782721","585.5039449157769","516.4541828613283","497.6935210327146","456.5751642456064","487.718246887208","448.5718631347658","339.7558349487306","284.2821075317377","267.28736180419867","245.20278828735363","218.86346402587918","188.31967606811526","152.11679088134753","153.25372149047826","129.2747374389646","138.81574483032205","146.421795147705","133.9847621948242","107.63073790893549","94.80076566772459","96.56947808837893","110.86938903198245","126.58553629150393","144.2652434753418","166.15234202880856","181.21647848510747","151.64042810668948","123.55993366088865","124.95953264770507","140.12223975219723","161.2642008483887","153.48549773559566"
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Floresta Alagável","21601.629989483634","21204.387511419645","20727.028418701135","20278.531856182835","20112.120593170133","20138.30920878293","20168.9343981506","19819.021189678908","19080.51216159055","18687.087669207744","18247.9906109619","17576.400464038084","17230.30384396361","16756.78443166504","16233.9985913208","17291.417162408445","17793.49650289307","17950.250671679696","18208.872480804435","18047.410291094977","17658.537664532472","17671.929918408197","17684.07488198243","17597.543820568855","17534.65586970826","17599.762821508797","17659.569956243908","17605.70090360719","17859.735113781742","17974.356978289798","18025.77907609864","18171.529118701183","18381.381936230468","18439.936311511236","18276.456937524425","18152.627388433855","17873.55746242676","17638.468994866944"
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.6. Campo Alagado e Área Pantanosa","7355.074776708987","5872.188722155766","5629.489631073002","6096.550918664556","6089.7658861328155","6388.071174627687","6981.22955161743","7345.297317468259","7588.063917767325","8200.363472467016","7793.8854309081835","7302.536001330537","7630.568750909387","7482.359541796828","7921.0837900695315","7704.640720422332","7930.762331494108","8618.545627349815","9408.902663238478","9977.452021978715","10168.791486334194","9382.627104565387","11030.591351434281","10203.302625451615","9657.46511560665","10657.931739587366","9953.362088061493","10105.144377886962","8079.60037946777","8124.741548455809","8614.676757537836","8833.706576885996","8490.64729920044","9091.990393695069","9187.871105206292","9570.736617510987","11621.54730026856","5117.691604370116"
"1.7. Formação Campestre","8753.8246471252","7850.369075390633","7452.369724481206","6962.387529638671","6561.205290075681","6319.063877545167","6053.450152746583","5893.928290881349","5366.445476391602","5241.207102575685","5235.492610198972","5055.442890270997","4929.731501214599","4668.982040478514","3688.310508544923","4397.103826123045","4539.719130877683","4409.938206170651","4378.41514788818","4386.597437316893","4651.579375164791","4963.026390112299","5428.100104644771","5316.042854949953","5063.668719415287","6212.374353741453","6331.53109790649","6220.169372241215","7018.0706608337405","7066.559431530764","7351.0362551086455","7939.608814099118","8280.046182135002","8832.359837200926","8907.474557281497","10085.614896594232","10931.893514910895","9882.419413482667"
"1.8. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.9. Afloramento Rochoso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
