"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Natural","724173.643190188","726059.4944704266","703413.4991046314","662596.0065882454","655090.3507016194","650514.0076727516","650631.1784515077","639210.7120197312","642497.4485278012","631537.6143193996","632844.3648258172","643430.6679816401","638576.5540550812","638329.5300229159","628904.3002437524","624602.7659661573","631742.3732955023","640462.701954403","627968.1122647575","622923.222409289","615990.4494622526","625507.6439257751","642651.2860071548","636364.8336299891","635215.4230515709","636400.4619583451","638181.2338574452","628110.2220364185","626104.1879678003","617452.3892099092","623977.2218931515","613636.4827132943","600546.3479283878","597393.6371665627","585759.4997943771","588007.7330652506","590090.1745546479","600082.0945385186"
"1.1. Formação Florestal","226431.07810050907","228222.8684271774","200772.84518835123","186086.6481078044","178290.32329922167","172159.4216394626","163989.25687228574","162487.4712421895","160917.07902598506","161331.31411913063","160786.05025761304","162157.06090951597","161570.69742748493","161103.30952225628","162345.2025577173","163228.05628112511","163459.36947070586","163294.36335686277","162250.0636553856","163686.71192790818","165162.52379355096","170325.52527994095","176067.70417331852","175610.59052212196","175427.766869357","175043.95104070194","176951.76743059477","180105.70047485034","180993.80945052142","183519.96336285066","187138.21212048066","190414.51415722526","190564.1149341677","193059.59354884145","195423.6195306951","197589.2885964348","199972.08785077475","204699.3316735765"
"1.2. Formação Savânica","431460.7154174499","429453.3772831356","437512.66504747554","410941.5458192413","411242.53336273733","413336.28731224465","421956.399659075","411605.8775032565","417300.34667217225","406352.59131438704","409125.76833427505","417595.1248941219","414657.2472626858","416048.90902002045","404572.7610203679","401910.5948230695","408843.01113435475","416539.68324267614","405122.0730514256","396441.9379151703","386798.982339539","390666.4458884983","400693.5297738205","394642.3509403806","393578.44751817593","397425.42470327567","398714.21626043215","386580.38698775845","384836.94565631094","374449.5896660649","377618.2799300682","365076.57745389605","351485.11972386506","345159.4454275235","331626.30508823635","331507.796821684","331533.30600910966","331754.14606174413"
"1.3. Mangue","3674.967789392106","3735.977009442152","3726.1071402588022","3748.3557003112915","3723.2768918579254","3758.495913964861","3802.7706182983543","3859.2758473999174","3828.2984233764814","3742.3483085876655","3782.3939397644203","3849.283421838393","3941.917752594006","3996.3760337097247","4022.155213385028","4082.043155535896","4116.941263165285","4164.618680999763","4239.99524208986","4249.606333435069","4264.343224761968","4263.537800720217","4232.3003671875","4187.1302217529355","4203.314711413582","4259.805747796647","4259.892545062273","4231.950840216074","4249.946213769543","4356.746066357451","4409.665111828645","4399.360496893351","4377.138280834997","4380.925724035682","4376.956963421667","4376.873495452915","4427.663225701938","4372.033500585961"
"1.4. Floresta Alagável","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.5. Restinga Arbórea","4435.389071173135","4851.961233581643","4889.996771136557","4842.386050152639","4632.840788598735","4436.419741918998","4077.127326263532","3771.6852601257783","3609.995466326954","3492.051933264169","3481.0083287720054","3313.62779310304","3219.545965692165","3204.953115441913","3342.4876801575365","3354.7354226562925","3449.2519149292584","3371.701080798377","3293.7378223938617","3544.838903509539","3675.4647930298497","4209.890844091868","4324.404572888318","4363.8574580628565","4361.114423510862","4268.442096777434","4063.1114955872386","4171.147659838924","4220.4876004212065","4204.870709558157","4198.13509964605","4079.869522583071","3811.341465057447","3682.926651153664","3680.6289876160486","3706.2412044922717","3758.2626191956415","3934.5383820191137"
"1.6. Campo Alagado e Área Pantanosa","10253.136230255306","9579.740664874505","8429.018700360317","8009.427857550193","7464.417621514917","6818.395738342317","6171.972717687985","5829.50375012818","5578.45859699705","5509.210076013124","5668.472579290699","5719.130215277055","5716.721261352471","5997.697513360554","6246.607719439679","6553.083888537589","6988.085409301672","6945.274392779488","7029.906200231889","7252.59042011713","7635.604118560781","7920.25349766231","8024.627098108034","8114.050149884106","8202.33832100229","7846.838196685738","7760.408993353242","7794.442456420873","8016.945096148647","8254.818033587711","8236.57661176766","7995.015787786701","7798.067391577013","7725.785980303803","7866.916328051598","8420.276878424109","8354.202159210196","8216.614164624008"
"1.7. Formação Campestre","3841.9764767944343","2638.889257171626","634.3868609374963","524.6123219543383","335.669796960451","294.95066726684655","240.71899758300762","225.5014859619141","146.75366737670896","215.90730722045896","285.54512020874034","234.72358209838862","233.54951646118155","176.5728447753906","583.2524845153808","907.4508358825678","1108.6287300781246","1030.647020886228","796.388147137451","591.842870526123","426.20545230712884","291.2606246643067","396.4479939758302","818.2267749572745","703.313190600585","366.33370199584954","525.7073673767104","862.1635251281696","870.7507306091294","890.923284796137","1129.3790405334476","875.8943377136223","760.2823280395536","1554.704224768062","1751.0034831726034","1744.1046874328574","1731.7838902954065","1761.3365426330529"
"1.8. Apicum","","","","","","","","1.2312641662597659","1.4951067810058598","1.0553690429687501","0.61563115234375","2.02278217163086","2.814304937744141","3.605828076171875","4.925035650634766","4.925034680175781","4.925033862304687","3.429936029052734","2.3745732421875","2.5504677001953127","3.3419908386230475","4.221460064697265","2.462521417236329","0.7915271057128905","","","","","","","0.4397341674804688","4.045559423828124","4.925032897949216","4.397348413085936","3.957612976074218","3.869669134521484","4.045560235595703","3.693771331787109"
"1.9. Afloramento Rochoso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
