"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Natural","14157842.170926355","14162488.496542979","14157937.059622254","14156719.55256888","14143859.385478796","14133817.311184185","14131076.606930759","14122446.974111674","14115055.592162646","14099891.05526218","14084488.569110993","14070905.228367884","14068846.168561168","14062352.019468088","14058515.00714151","14057212.595838582","14058615.658656366","14054717.82234015","14055005.245698523","14053400.680111708","14049907.54657829","14048692.771018952","14046596.608241232","14042560.613454703","14037739.85476917","14037978.23843268","14037870.741624359","14036391.014174335","14035716.80851641","14030567.676419575","14023270.393194225","14005533.706021154","13999186.10031295","14009224.66000293","14009050.62630126","14008450.01204561","14008905.12473872","13928175.834761519"
"1.1. Formação Florestal","10969992.613486093","10972878.508827735","10973592.07489055","10968695.193945428","10959004.177672448","10962218.443502143","10960754.409215728","10958252.068579378","10959409.442846157","10957983.709849501","10958176.548219603","10956203.929827398","10951214.15888505","10950214.652525846","10942102.14513895","10945328.051764084","10943324.441731807","10937261.07411281","10936870.301044812","10919722.624799533","10932894.70302594","10934398.389764573","10939443.340599129","10935076.558078812","10932675.288570615","10931618.671556588","10932683.123085838","10931468.070751918","10932635.44485478","10929390.9997391","10926467.66464577","10911727.846604161","10908045.621044053","10915475.731758466","10915306.223965475","10912498.931480667","10911221.096708119","10908472.060819957"
"1.2. Formação Savânica","15961.905285107454","14514.945594415287","14605.996208630373","15116.014652612275","14811.800525427221","14646.66108218382","15453.221371441703","14902.134754089395","13929.140446252455","13707.62588870239","12701.85931045535","11647.327168286116","11624.430982342514","11901.782511114503","12121.594615820333","12794.33543794561","13038.353679480031","13085.693414184607","12631.344747845476","12405.052778247084","12427.771157702648","12417.402024481198","11952.820205413811","11767.045043688942","12030.795903582739","12439.090338336171","12549.87737821046","12835.841507470712","14672.149725103796","15217.822383905062","15462.438568939246","15682.947385028112","15921.020559204157","16068.88387958989","15627.201913623123","15410.143666333044","15249.723625347937","15169.314234112628"
"1.3. Mangue","108298.89919089117","106917.2191564669","105839.2157501385","108539.52054512996","109337.2330184167","110704.10309170675","111618.60092606246","110760.8979898184","110586.16031616673","111399.76995032225","112010.07510285545","111934.33250938226","112289.1664556855","111619.3291136821","111123.09729337646","113214.13158926903","113343.78329636002","114215.15895565915","114576.60430191747","114410.26006934205","112732.22735413285","112091.84834368328","111498.20256458374","111672.03894175288","112411.63528432771","112703.47736752167","114734.58609494046","114697.04107539591","114337.30585953845","115884.29089308932","113334.77165068932","115048.69830229497","115611.14654507328","115076.06961731428","114488.1185446335","112125.51184271433","110024.47324930309","109881.52472125621"
"1.4. Floresta Alagável","554296.4157497011","552711.8889623211","554708.4256011465","555820.0508258054","549197.3424449735","551540.2896236072","551319.7428703682","552320.7394511229","552764.1485886239","551547.6783340578","552174.9666213532","551676.8782201408","548176.7368521487","551820.662588415","549827.2696107586","553912.219326017","556507.7114169449","558246.057958836","559397.4008424218","559561.8713425952","561150.5979344677","562099.4568096608","563705.3375747156","564070.5654793032","562120.3687534017","560966.1878898867","559054.0419615774","560480.9156192832","564754.7297087155","563728.063034805","562210.1836940016","560880.4723890059","554687.1297909427","564414.6239577545","563625.706670046","562109.4658712393","564595.1571633987","562791.6317979158"
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.6. Campo Alagado e Área Pantanosa","1343632.690793368","1397197.6152218005","1360353.9198049873","1364630.9155559114","1377005.226497691","1348874.7251963571","1274298.2923694083","1240856.9906994826","1291859.4309954038","1301160.538451377","1301508.1868784681","1289090.9740616502","1288268.8528231538","1283579.813641128","1252388.6954847546","1311179.6410265493","1306011.5686428586","1307140.6526058908","1304761.296536942","1335235.4579512847","1306614.9632880718","1281114.5370696667","1287720.2571067845","1309353.0914933132","1277196.4537162406","1255190.9948727486","1293144.956739287","1297304.8148215578","1213846.9218433402","1170133.469822162","1153156.4755252975","1170634.5283829295","1196295.3827452196","1195237.5067010305","1230400.7074044496","1238305.0605587563","1270573.893268309","1122529.9613870333"
"1.7. Formação Campestre","890942.6019659693","814749.4676098892","810753.3594459395","793755.0406561892","776138.599711447","777912.1080459453","839733.7658489698","843353.2778851707","820404.9614374053","798279.1826777732","755633.1885872269","697488.5833020598","707520.707280564","743141.1177183607","702633.9279323078","720254.0637699661","732048.6967880477","755123.5789807199","755548.9651881851","739304.6780028013","764167.8652307454","760133.3588142721","724223.3146231273","719018.8175547234","769802.7540882479","785205.2443096029","739559.8844165861","759318.3587878104","860763.011455167","908885.3131326297","946440.6898561257","932696.146197828","908159.7667390368","914837.6187093453","880602.5331448223","862348.8077502446","839933.6945291692","795676.9375395136"
"1.8. Apicum","6.164599902343756","7.951449334716801","7.951449334716801","7.951628308105469","10.98952780151366","13.938090698242192","15.903605462646494","14.295015618896468","15.72425784912108","23.139839648437494","19.119471636962892","18.58358051757812","18.583555017089843","18.315530139160153","18.0475061340332","16.171205352783197","13.133694390869143","7.147848999023437","9.203426641845708","6.07647153930664","23.767793493652338","29.932925488281263","34.22159133300784","37.17017015991213","35.383390643310555","34.93655568847656","33.41719833374025","30.73675835571291","18.04862257080078","1.7870005249023435","0.9828508666992187","0.62545068359375","1.2509016052246091","1.2509016052246091","","","",""
"1.9. Afloramento Rochoso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.10. Restinga Herbácea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.11. Outras Formações não Florestais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.12. Praia, Duna e Areal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.13. Rio, Lago e Oceano","274710.8798553225","303510.89972101763","338076.11647152755","350154.8647594956","358354.01608059194","367907.0425515419","377882.67072331643","401986.5697369931","366086.5832747867","365789.41027079656","392264.62491939456","452844.61969844985","449733.5317272078","410056.3458393999","488300.2295594093","400513.98171939707","394327.9694064757","369638.4584630479","371210.129609757","372754.6586963639","359895.6507937349","386407.8452671246","408019.1139761453","391565.3266929509","371467.17506211455","379819.63554230594","386110.8547495885","360255.23485254275","334689.1964471944","327325.93041335774","306197.18640253745","298862.44130922476","300464.7819878143","288112.97447782115","289000.1346582101","305652.0908756557","297307.086195074","413654.40426173055"
"2. Antrópico","34560.00731459389","29915.023169453358","34476.3806896622","35695.85070269985","48557.09063047107","58598.539583175436","61339.60182354958","69969.14716652606","77366.15514113038","92530.06633858013","107932.99936397508","121514.73167666723","123588.34154795235","130073.56900119116","134627.8354664379","136236.56157100882","134945.60881473473","138770.15203148316","138387.4413077957","140121.2385982195","142410.13880200332","144705.60960570833","146911.58659419027","150779.80136469207","154665.39852236383","154817.44068108118","154724.06875004104","156297.97778400188","156694.25134911537","161828.0344176346","169123.7031776427","186833.63644313256","193186.96424251102","183138.94443359913","183313.0713890376","183915.73688396768","182399.65697094167","265681.5045901593"
"2.1. Pastagem","25733.397558538978","20070.835659845055","16005.448215197803","16427.602186401447","25298.248030993713","23981.137236938503","24416.21356677248","28415.885518945164","28799.408165325793","29030.880415362473","28085.987783868422","29139.252055371122","28478.946213861127","31670.258968505816","32660.6456225525","32874.05090598174","30720.713271887296","33784.820462811265","32903.12636386119","34316.11530839848","36382.17671714475","38210.908549286025","39681.2230908018","41744.04920404087","44895.93945073208","44678.4477713315","44038.811367401846","44488.1155533022","43985.56064486075","47150.62030880823","50662.758400402774","60241.34291195718","61980.46439347013","50918.06716776164","48699.16327105765","48751.22447846714","47878.07536417852","129712.25042303442"
"2.2. Soja","","","","","","","","","","","","","","","","7.058971813964843","11.257935736083986","7.684980554199221","20.917938134765635","23.331839025878917","46.483848181152354","135.07459609375016","124.88472277832017","173.15981272583042","173.78613641357484","157.15859116821343","261.0373502258295","312.7080508056619","782.5699900146406","1738.9941601989615","3379.3447642517085","8370.419659301897","10672.028377734456","9132.708751696773","8837.002151770044","9776.316234631138","13898.894517022427","14734.549268633955"
"2.3. Cana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.4. Arroz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.5. Algodão (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.6. Outras Lavouras Temporárias","16.08922975463868","22.345994403076162","22.524774853515616","22.25661611328124","55.686024523925795","52.55748861083984","52.110526434326175","47.459402380371074","46.20792781982421","44.59890390624998","44.42012343749999","44.68829414062499","44.68829414062499","45.582283728027335","45.40352153320312","36.46549705200196","342.331743786621","490.35145520629885","501.81824891967784","500.1135827514654","278.0608710937501","174.29227989501953","186.26737655639639","452.6164109497082","786.5953841308636","817.3864927185056","893.2966330383358","1426.8964508300742","1189.6976822692857","1419.8778385742175","3191.837299444592","5122.563380725097","6766.11353428954","8764.575470159944","10033.322917291274","9783.100857580494","5704.640184423833","5346.627732550032"
"2.7. Café","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.8. Citrus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.9. Dendê (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.10. Outras Lavouras Perenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
