"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Natural","155366145.0060646","155381767.23402816","155363539.7856797","155346115.40425998","155346698.97260278","155357166.82984105","155368880.270089","155332740.12749586","155284038.3291371","155261154.1335393","155254624.83384866","155198558.24380174","155103891.27468187","154981502.0818288","154921153.6312504","154930051.3021","154933509.28571492","154904899.9829984","154823766.20133054","154732360.5828597","154635171.83803624","154536874.90963835","154511210.1965189","154502271.55963427","154447145.54583606","154374428.07788613","154354785.177503","154365391.3497625","154326643.0862355","154268797.69821092","154153050.08691826","153977590.34809184","153889343.80877915","153844098.15395802","153732251.65518922","153587079.70297942","153326545.43188545","152913164.7572266"
"1.1. Formação Florestal","135499919.97886702","135456032.2492644","135424879.1948844","135312780.84564155","135087469.36120185","135149964.436795","135136192.3850089","135097495.56379583","135055672.17141965","135041596.5815021","135030749.8601915","134982139.34170648","134915702.7227286","134819417.447997","134751493.61861977","134833965.00780445","134840823.77662057","134795897.70928353","134711348.12664044","134626968.22429183","134548493.2838071","134452714.77190545","134400024.0214871","134380073.60534605","134315910.00782937","134257300.63723734","134240919.33160537","134227361.63412717","134189502.81310827","134122240.7716936","134010443.9591739","133851335.09326684","133764964.1837813","133704218.40644827","133566590.32907015","133413835.2829453","133125542.39894252","132788754.28463747"
"1.2. Formação Savânica","19719.618392828677","18822.44814075348","18595.504763177792","18290.520717859214","18218.094238489073","18437.97743538848","18541.712125635026","18361.941688293773","18246.667925769336","18118.25614436676","18039.971285303018","18060.785367908058","18153.341598218092","18226.135610278634","18221.298737823825","18443.20273485141","18487.837915857264","18566.485029541356","21622.544888721044","21546.36919532503","21282.94517961457","21196.03907553745","21041.705845117533","20865.329789160474","20925.370230066237","21050.96488996004","21023.25457866246","18185.31645856354","18763.468029272794","18680.57033938021","18626.43946953156","18692.39938565097","18655.204545856086","18636.008047259893","18530.371136987666","18724.870385327613","18975.12373832434","19768.80193459507"
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Floresta Alagável","12474144.757046001","12410767.648077194","12409492.352378873","12418880.356415479","12402191.63080352","12436221.425775325","12406760.93043144","12406292.411346454","12384916.162458472","12424362.952892102","12461679.295596559","12442579.798415752","12470602.689959964","12474550.983811071","12443839.716527687","12577108.403855385","12599898.949905526","12610793.100257048","12625011.712588757","12614055.688665552","12629629.506572284","12629348.638748119","12640031.744561102","12654072.188546812","12640591.9431765","12642578.504624464","12652522.968607262","12647975.166565984","12665049.236235525","12656816.551598886","12644938.094730778","12624650.514687791","12624133.81408976","12636797.69740211","12618988.515979499","12602067.625104321","12570488.651895685","12578198.219480095"
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.6. Campo Alagado e Área Pantanosa","1696358.4573010295","1698895.8478229558","1531579.4523507224","1709779.940691737","1679149.8745057222","1578172.048204311","1416499.456334522","1554119.7987385797","1495098.4687266084","1535642.1137184072","1534353.9493908465","1420723.4175559941","1601395.775505122","1833994.8634019806","1392832.3969492004","1696632.782195272","1794050.3434866255","1696550.3924739184","1809939.6422801267","1809412.6760136446","1830623.8863108552","1840137.6448159867","1726544.8740639777","1720210.5896358858","1686284.268396482","1855311.5793123033","1795083.4406872247","1750837.8816596218","1725283.8062191112","1759084.0746680729","1794278.5802125493","2004418.9360774544","1822042.5309208804","1883125.399822437","1835131.772840069","1922462.649190743","1842442.692595913","1375105.90136677"
"1.7. Formação Campestre","1161868.3563190873","1082511.655514249","1069400.7119824972","1078332.793991175","1067731.8351677672","1036269.7810872032","1001830.2384244709","1032798.5174606137","959785.5587311761","995989.3039748775","1002828.9516486832","965092.5289845562","1054284.4497911653","1058072.5379598355","947790.6126959812","1030456.5773210211","1045987.7349906133","1034954.3542611643","1059810.6951093988","1077670.9034573592","1017228.6554163384","1028244.9379817763","1008738.8676648682","1002892.9110452015","986627.5870900091","1045626.9924066226","1016808.742636765","999525.0060944434","1041894.5763687649","1043952.9554546895","1069792.774719417","1109687.4246562673","1082925.2487683664","1115056.6587551653","1084195.1712763014","1132144.0411723892","1113529.5419628888","1045556.4947534614"
"1.8. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.9. Afloramento Rochoso","1614.3461387817392","1614.4345926635754","1614.4344675598159","1613.9887200927747","1614.0781108642593","1614.3461816528334","1614.0780134094252","1614.4318170166027","1614.165961914064","1613.7200823730482","1613.6330544494645","1613.989478216554","1614.0777159362806","1613.9879131042499","1613.7229203063973","1614.07785241089","1613.8127373962416","1614.2550193847665","1614.432063708497","1614.7853828613293","1615.3153938354503","1614.873633569337","1615.580894549562","1615.6706642334002","1615.4047033325205","1615.6715043273941","1615.2292186706557","1615.1409236999523","1615.229381982423","1615.4042020935074","1615.1390429443375","1615.492994683839","1615.3159266967787","1615.6725814147965","1615.5807886047378","1615.5807392761244","1617.2625196655285","1627.9017296691916"
