"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Natural","35856622.90913677","35960225.5163836","35629884.88703407","35315628.593015976","34848979.8934888","34607081.42759377","34314677.721651286","34025963.45602296","33689560.20583536","33476540.58862233","33298724.47992231","33133830.611093782","33323781.76806845","33300608.49763605","33276555.98116303","33198259.210354593","32964962.512883462","32755577.612297155","32566346.042597234","32371316.45778782","32125684.310227584","32042681.506283443","32006278.39082987","31920705.12299278","31860532.41103533","31800237.359776698","31651463.29723279","31328981.848435998","30963102.845357094","30738129.11530389","30580311.51667234","30597199.64759957","30504429.239867505","30481553.25592793","30416093.532726716","30290355.874849856","30157256.020643543","30053407.76186928"
"1.1. Formação Florestal","4861129.8103160085","4869702.291707237","4783286.117135219","4720712.553189795","4648498.762492118","4608354.403267559","4552472.9833717225","4505499.26134836","4463114.871358459","4379258.7864971105","4357799.46435004","4317908.426075429","4296058.797629737","4261281.157195186","4237657.072729543","4185970.5178415067","4173463.6431096406","4151339.2464092243","4142768.7379614697","4124667.0489980746","4132324.4220497143","4121948.6096808445","4145428.354440768","4135921.1301421165","4109246.7344148667","4096588.711678498","4099427.9271858395","4122103.480029105","4135450.2488647215","4150125.641115276","4138023.3140250253","4138174.976667317","4111410.014680263","4108621.9005744956","4099022.9925678386","4085112.865399901","4107399.0518629034","4120691.3396577677"
"1.2. Formação Savânica","26025557.166908707","26003714.814915504","26050943.502332002","26067042.69362476","25770331.581627928","25581294.777468685","25383668.681570806","25081717.721974682","24763927.51303054","24538198.06785835","24391384.706013314","24427127.610579915","24525766.87694824","24507988.26450503","24502167.582198318","24458595.3447329","24284089.71520236","24199070.603509415","24052809.37157642","23845666.510603044","23686336.00355382","23716820.235679165","23626944.7484748","23634244.759830404","23560278.736311436","23484012.656262163","23402150.124307208","23296389.432467595","23111189.8648333","23009729.389837023","22965911.95203048","22789014.12773198","22689012.595662706","22647010.269759517","22555319.96222123","22400994.715801373","22268906.92547526","22110234.671274625"
"1.3. Mangue","66779.35795096486","66768.50280319893","66643.7248070503","66827.00892566601","67112.86890838058","67509.54662172245","67552.4104690431","67696.99432195477","68050.48551904321","68230.17513573018","68002.30491588757","67747.00675487072","67677.37019612448","67602.81278049941","67666.77223212911","69197.85794317025","69376.7374344113","69292.55605431486","69461.05520043883","69819.69707246657","69780.33136049141","69891.89026733329","70121.51198211602","70043.37756450726","70635.04920096963","71056.84010337443","71423.5472557056","71423.78771582532","71826.70160861737","72191.72860966135","72237.72762200267","72065.92201180362","72009.61154685618","72044.94696594798","71966.90000794019","72078.3051513361","72343.5853046868","70503.36883375127"
"1.4. Floresta Alagável","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.5. Restinga Arbórea","20228.655416918973","20041.167521563817","19513.79141441053","18831.20749313977","18572.46498596199","18358.03852977909","18017.082762188787","18041.17836179816","18062.023000561574","18269.0355810486","18470.256145599433","18591.231452941927","18683.00613675543","18625.154348535223","18443.814643945407","18238.59616087656","18215.16573268437","18160.603624285966","18471.158662445174","18400.454024926843","18279.448218072583","18344.310307489046","18390.82248109745","18448.792301599125","18680.602646008258","18795.628037640374","18734.15532487181","18678.989243817115","18674.419521087613","18488.459134924284","18426.64719024653","18097.02127223502","17928.18819855339","17928.593343664463","17938.000370483333","18038.837729376162","18138.62038632804","18770.06659374986"
"1.6. Campo Alagado e Área Pantanosa","244598.06847338696","229965.91315860406","219000.27854202126","212361.32054457872","208060.72608632676","203333.92188701066","199589.41853934265","198360.82428038877","199875.65517490802","200550.4900547661","201622.4460670519","203341.36550333814","205584.32326610747","205215.26840972938","205044.88375106198","209674.216532711","210997.35037257284","208921.3721402416","208418.79062431763","209861.06772920012","208299.09216812244","209364.58237738174","209935.88617553227","207266.35571825106","206223.7603299153","205873.44605594658","203958.61047961022","204445.04727304948","204238.5544105918","205238.19081573733","205532.88621404668","204952.80436021963","206538.9657603601","208682.947198666","211868.0899209624","214117.64647005938","213305.168735312","214690.61212505063"
"1.7. Formação Campestre","3761274.3307420495","3857863.699661567","3594843.6478794976","3306695.5885657016","3218158.930210463","3154521.7116028","3119629.0177726755","3177643.406591477","3208822.0335258357","3310268.342765965","3338765.9736989443","3212971.8857337353","3289673.9353355886","3373036.8484143475","3391294.4195894096","3428672.9179121074","3386217.9649668564","3275987.7860994376","3240244.287585681","3178581.293195392","3084113.7649171846","2982928.836534623","3009876.733599766","2949780.2840571837","2996382.57355232","3045988.1448810888","2986851.465742019","2781405.354833831","2643175.91974658","2510955.2421475113","2446917.6532810284","2626278.5740494346","2666874.4250432937","2685523.8626695196","2674413.0672641536","2644832.5627381075","2659437.0445812102","2632746.9538921136"
"1.8. Apicum","4937.457199420176","5062.375557165529","5064.678831427002","5142.795831842047","5222.947019555679","5257.806373736588","5155.37461214601","5114.634510314948","5131.791685247815","5124.177188885504","5141.899290838627","5182.353036834727","5082.644231872561","5042.379242596449","5005.031124761984","5035.316447253449","5017.938831988554","4984.665760211206","4959.311138452174","4916.997015063493","4974.668533416762","5033.34968337404","5059.272242633074","5140.381274969503","5196.4786216858165","5155.3473175964655","5011.937192120386","4677.917870263691","4507.769775067154","4414.89705896608","4376.4467728515765","4374.22383215944","4401.579597741712","4403.598551995863","4389.7195122009425","4390.137006811545","4398.0716806213595","4196.5709599548545"
"1.9. Afloramento Rochoso","63615.972177051","81737.17826813328","81192.38862850322","84439.18789769865","83385.32658966018","85082.54499880369","85080.98734554475","82712.9920648935","83195.89422905339","84707.02622432266","85406.66434201041","83132.84520015222","83264.62308027952","78319.21777005006","83861.14007285844","87271.64948053691","89213.35056313557","88945.44941101753","88016.5347538888","93793.89896010744","94555.37416032117","92860.78191606473","93561.25911232345","90574.46461248865","93146.28223493612","89775.6707386831","91852.08470636494","82853.32421128485","84711.84650194667","84515.7990674805","86697.28378161065","96295.14689691219","97706.67719447053","99149.6214929079","113883.95110540137","113283.02198022454","112498.17924914544","108219.63996249413"
