"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Natural","11479556.521116242","11464332.279613864","11299927.955422556","11223974.854234764","11084509.246816816","10881837.687240586","10780969.925812142","10813818.517632306","10813274.208292054","10926531.8701276","11160973.92930084","11213196.83767497","11258932.387565296","11185198.304085009","11073117.777387602","11026267.038023684","10937744.685274566","10882044.973004574","10782546.965447053","10558092.039555017","10369565.320108177","10197886.173431756","10003468.705055589","9973402.730595887","9934681.17238106","9983051.36429469","10009650.785009803","10077196.121092714","10075174.198099993","10114633.401245246","10100818.048567252","10113225.170480037","10192289.743370434","10166392.614401728","10155033.828027392","10148451.510908324","10132224.100866979","10137713.236538302"
"1.1. Formação Florestal","1838591.2525878674","1836963.2288760021","1853154.4893956932","1879927.5055121598","1865909.9088733462","1841723.0636824127","1837591.747677738","1797447.462294484","1723277.5231387995","1595604.9661619875","1587437.0423815541","1570907.2686065214","1593787.9440134196","1615628.5952632036","1585061.6841701583","1541487.1284781215","1505510.0373236872","1474618.0089601437","1465438.2896550386","1423375.2053733668","1404263.771514854","1378854.234878958","1329620.8371378952","1307878.9632408132","1273845.802775179","1281656.109989052","1307095.4806489472","1329087.3023142817","1300399.2922965193","1305023.3761460828","1298400.3187452797","1305425.0651903262","1316119.8045893144","1307548.4375822644","1301360.232243225","1299949.7918455675","1300793.5358956417","1296473.8512692843"
"1.2. Formação Savânica","9217490.154910604","9198302.096283004","9050344.299071876","8951569.868356671","8825545.094708376","8669329.077822523","8597030.181708286","8682255.96952867","8786899.706817709","9031517.193286138","9260097.841119107","9318056.67260235","9346673.134922257","9260848.201881032","9177625.047177533","9188753.784127148","9139281.591301037","9088313.175110715","8974942.717744779","8701632.997959806","8550655.560672367","8417332.9301168","8296058.953797157","8267753.247500123","8248909.270636401","8315791.743982586","8335838.5715172915","8354965.361736148","8414796.731161654","8463411.416998303","8485096.920304455","8517306.586082863","8550664.716073299","8473666.982393108","8427827.698362751","8408404.02773611","8394865.40874629","8385601.603621814"
"1.3. Mangue","15537.576208966027","16007.244798095604","15942.62221105337","16218.586844525043","16530.65627364491","16664.662802215502","16742.106621844476","16884.43428011467","16940.75743876949","16880.019196398924","17232.97339887692","17701.762479534817","17228.00159117433","17410.935903228677","17432.311029174714","17727.31010415639","17819.69036068716","17846.410210986283","17805.19743634028","17842.56266234125","17883.27496261588","17877.473691015548","17832.552085235526","17833.320867675724","17936.56422670282","18178.90236156607","18305.462324108765","18160.591504162523","18163.135109106348","18021.567082696423","17869.34221062614","17688.35262874742","17546.48241765736","17529.085829656862","17589.689513940295","17649.323858398282","18006.42619335919","17623.50349680773"
"1.4. Floresta Alagável","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.6. Campo Alagado e Área Pantanosa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.7. Formação Campestre","76077.77979908467","70451.69593105497","46901.74327471958","43866.102167499186","42225.07212156401","37172.2569674197","36837.15688840965","40666.96273307528","38695.84258203792","35643.327097363865","50332.63591514331","52588.14193454018","50263.879770899046","52624.5424441413","48977.934241852294","45279.94206620513","40675.467578705204","46022.73242612406","52015.60494957978","49038.90123394819","55879.01645796551","48855.730622797004","28408.152077691837","32074.766718133735","35708.800495837655","33881.688339569264","30749.29290439471","86785.07075181325","104740.32883249572","120410.52070720395","112478.45817708294","97404.41886167096","126025.76278491208","165682.70104717437","191225.88905101194","192200.48705327645","191888.95466583403","192261.81815289898"
"1.8. Apicum","5610.392005657931","5901.985852050747","5901.982179742398","5987.7380859191535","5942.819399768029","5838.618846209697","5799.848911346409","5847.08402895505","5928.729410455287","5753.209221490437","5434.453676837144","5295.613112023912","5196.938013568115","5384.902553607164","5700.746204754629","6016.24690821531","6052.9614878784005","6035.412205010985","6065.598878198235","6118.245267755126","6223.285745550524","6238.22767662352","6202.992908929422","6051.590767565903","5953.3310974975475","5749.712825811748","5679.342531774894","5632.229963916024","5741.927525567623","5770.167106512447","5757.69422565307","5801.795498492433","5817.1166136047295","5721.468090203855","5536.287629302966","5477.306561016847","5402.497449255364","5104.326500567622"
"1.9. Afloramento Rochoso","710.3536812683093","1069.029871936041","1071.5163637817443","1068.0486358459532","1070.535698223883","1075.2492920227116","1079.0744717529358","1086.7257923339907","1092.3267383728091","1088.856542462165","1085.0315137512273","1077.5603818115287","1077.1173324829158","1080.495032751471","1088.5007042663638","1097.4814868530318","1095.079475677495","1097.3866254028371","1101.2134704773005","1089.1207014099186","1086.4535090454158","1075.3334412780825","1059.5017850524962","1063.1497678222718","1065.375819512945","1034.787432678228","1064.4017563598695","1094.461340515142","1104.1560359436098","1105.0450848754945","1104.9562554321353","1106.2011356445378","1109.7540726074274","1111.8851050415105","1113.0413847168036","1110.0154107605042","1102.009191357427","1105.3036790100152"
