"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Natural","285840.0280170805","282086.9607555193","283269.6043937001","279306.726330283","275517.1178832546","273035.1820991525","267758.4893321503","265135.1705735471","262932.32871769264","262247.81413952325","260989.2130155464","260397.89694284834","257130.86673565515","254476.9425515635","251703.70319974772","248691.13601131688","246192.20086817048","245027.74637632474","242735.66139002616","240680.74978281904","240234.60165334452","239464.93440595714","238834.19024277574","237809.55822388505","238986.13340498912","239539.4840172077","239591.41664563736","240891.61896371684","241303.17593533229","240350.1925758659","239430.16447564767","238994.73851584137","239095.89094013875","238214.30729934518","237189.46059632374","236495.4823903024","235435.13860213835","235209.52762819608"
"1.1. Formação Florestal","40670.335509789686","40865.150096422636","41793.453507964434","39576.911941570106","38181.751262988415","38221.705159985075","36887.18688082269","37374.00412063592","37576.11959895625","38833.04777048331","39137.86484215698","39604.45040174557","39468.628896691866","39312.8474769896","39260.47614021585","39010.20347321749","38409.92318825052","38824.761138414906","39020.32431754681","39569.813532885244","39625.722526879406","39607.09535576722","39728.96245811705","39724.770930260616","39969.02178341021","40478.693776842665","41435.46276877977","41916.86841802253","42001.04854292491","42261.49176021615","42463.13007736103","42594.1107744558","42804.552583031196","42880.6807038809","42888.665846184354","42832.295428990896","42655.79691394561","42020.53759600735"
"1.2. Formação Savânica","175764.75736001923","177066.74514861123","179711.52633135347","179184.90185751158","178961.10577944005","175483.23482684485","171337.25292141462","168835.7288719422","166791.8833568714","165245.9808221227","163836.21742561742","162750.74111947202","159638.2662240526","157217.64401877593","154480.28589388868","151698.8586194353","149972.98386746322","149289.67999742573","148527.62251459432","147355.51092064977","147149.65933972865","146927.11424398934","146661.80639444324","146307.43845358005","147122.1798265786","147363.24870665022","147403.1923521025","148749.95794534739","148238.41077379865","147315.46395036136","146370.71997286033","145571.80927177583","145470.94633125386","144838.65550634128","144206.66684558673","143525.88443680032","142626.33087637686","141361.8982151724"
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Floresta Alagável","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.6. Campo Alagado e Área Pantanosa","4375.027986492924","3610.6605320251633","3242.69489282837","3189.7255082458523","2991.0823972595217","2941.4606573547376","2911.756305743407","2913.5892076660143","2963.65610772705","2940.5851550964376","2968.1162970886257","2845.016761022952","2825.9647197692875","2685.09480354614","2527.182355480957","2662.1378149597185","2926.3581501647973","3067.3652110839867","2893.199791314709","2947.214269183353","3004.530073809817","3010.131664093018","3038.9907078247033","2911.013431549073","2833.8078127868666","2828.178970153808","2767.8253905151378","2814.4881854492173","2891.391668310544","2994.7066840454104","3012.6767927612245","3069.614569567871","3099.681194079578","3114.4751052917377","3167.484963049301","3259.4970708190763","3380.1297348876788","4156.744562506077"
"1.7. Formação Campestre","58398.68569597149","53911.22886263988","51830.4658879209","50672.9226398377","48649.72571110807","49625.20306995193","49805.6629860531","49183.16876387294","48858.60595861784","48450.23308903757","48377.04293729836","48662.61647672106","48662.34781904884","48700.995024798176","48882.20397191145","48961.8796268305","48581.20037446839","47549.29826529482","45971.88961384808","44227.94301346365","43893.44534002621","43414.78805855035","42950.122314269356","42447.176176006236","42650.57195161035","42473.08881818738","41616.649370238425","41035.65167094015","41828.92280100613","41455.52656212672","41288.85990940449","41545.898349053066","41546.43415137248","41207.45236892031","40769.010128557726","40688.20687236882","40604.470158123215","41666.706078722884"
"1.8. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.9. Afloramento Rochoso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
