"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Natural","1327436.4327774385","1296029.1783229844","1259741.7714863713","1234598.6896057902","1214997.982580114","1205269.375633994","1202892.8722959214","1209243.5013484163","1215016.5958759305","1213116.3385534557","1205323.6505922899","1202557.569015963","1197810.4091549723","1186897.212900523","1182529.775215936","1170706.0347205019","1168835.2118093027","1169050.5469854716","1164808.3533468568","1170308.9770709493","1180092.8866762735","1187365.2940531967","1194566.55210587","1198931.5437754788","1209961.4605809937","1206311.9097796849","1200292.735613963","1197213.5780964838","1187369.3005771367","1183956.898908218","1183162.754787689","1177082.8543241688","1181220.1113911318","1190971.2784073506","1197614.623382885","1210033.960824022","1221314.851482642","1229706.062988505"
"1.1. Formação Florestal","1057471.598132356","1045180.8641803373","1025057.1307525137","1008441.830490153","997086.3300016221","992867.0593300747","990408.7031010415","996483.8866785495","1000168.0238121364","997510.55469435","991140.7712801374","990063.3403009544","987211.8125642983","979527.9590733743","976742.182585729","967613.9104933713","966574.2463575867","963238.5855759927","956756.0941824462","957690.9349607751","965453.8204111666","970927.8544824567","976453.402321873","981668.2601643516","991865.6903261774","994536.1960879976","993907.2685191022","994097.3448064937","987697.6023324112","983318.4251057339","986212.5061533992","984540.5257698175","986957.2351524903","989771.5674882649","990146.3383834223","992743.3969585374","1000715.7843359868","999520.5958642188"
"1.2. Formação Savânica","830.7774824890132","855.1479982482899","849.1705889709472","869.7515539428707","908.2862332458499","923.54665166626","937.9688276916502","946.7404486389162","925.3273266967776","917.5675721069334","919.4164815124511","907.1023613159184","898.153178021241","894.6065087219241","898.8268162597662","902.3731351867682","903.6473585327158","924.4110095703152","963.3004994445821","976.2043361816422","979.8266892761236","1019.3618296264658","1051.0615544250531","1066.905846582036","1051.8071042907766","1067.4943224304259","1100.7253828979503","1111.4432771423346","1094.332704968264","1100.321108374025","1122.5815591125502","1145.6831910583492","1185.4823934814476","1214.7422602172896","1233.1228051269593","1233.3758580261292","1228.8219740112363","1348.717647503669"
"1.3. Mangue","6471.3538923464985","6490.895671454153","6460.680309161676","6429.159494189763","6248.652253204648","6211.548779785457","6349.879600012532","6509.159538751531","6584.6205017215125","6727.644466791112","6859.191938562364","6911.515168799183","6897.173824390001","6813.991522650503","6844.087913122912","6980.600301135595","7036.526113507406","7052.202826867993","7106.7696264773285","7181.705897937279","7238.743339239774","7300.665798968758","7315.644208270528","7288.624059881858","7352.497157696747","7355.123788580543","7377.905999072493","7387.8587643740075","7422.921339782923","7426.629159356904","7329.388260711906","7205.63973430199","6944.121898785556","6952.12059328019","6965.3262894288755","6955.561975195478","7191.690333685541","6929.758255670336"
"1.4. Floresta Alagável","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.5. Restinga Arbórea","23535.233663073846","21821.812557275414","20570.365776904295","19779.66680999149","18509.96164160762","18178.34779893791","17787.682266735792","17922.355266412298","18665.658203430103","19190.99735595097","19213.589556201237","19020.97182844862","18585.939807855364","18235.308825952292","17972.79204538584","17762.274882043686","17517.82758574242","17538.60167465847","18538.047597290268","18632.276165442006","18861.50433844004","18929.647999438712","18766.47318634062","18913.47702193018","19202.13079039346","19152.665778961593","19098.06435312534","18944.044941168526","18826.94513706072","18413.227146032863","18293.24616514299","18119.530864209228","18067.54102476219","18220.55908144551","18523.286061578547","18692.95541552758","18739.21675648215","19652.18712584853"
"1.6. Campo Alagado e Área Pantanosa","78474.27742580106","66488.22476016324","55805.574029065414","50342.68805697587","45261.43968764024","41073.789868102765","40523.927495184296","39664.75668919667","40909.62326584455","41353.87416344552","41642.38652029399","40319.9141791562","39096.75318302568","36605.85073841498","34845.7069194884","34823.07561667472","33917.9747208069","34382.410580041425","36908.2791059142","40982.766415484766","41341.36578005428","44414.487901849876","45694.65277246745","44895.64307261998","43264.638645837666","40327.278122247335","37512.72413710927","36043.73038668814","33966.51837153261","33779.079399554386","32486.71866370234","31338.73116985463","31732.193868255552","35816.375577935505","40153.74211050409","46112.65295272818","47048.32947484113","50706.50288460107"
"1.7. Formação Campestre","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.8. Apicum","351.4797662597643","378.8094729858386","376.96278304443234","401.88214639282097","426.46692214965765","430.3735539550775","427.8634739440911","428.6381297180166","420.22611674804597","399.90577675781145","397.3135467712393","402.57342461547745","404.7921921752919","419.656101977538","393.03779855956884","359.8302128662104","336.1847282104489","308.6374263793944","300.55492979736295","297.1719474853518","301.68014522705107","308.78486591186555","324.55481182251","334.8798949584962","334.34653666381837","337.09597093505835","329.5680866760255","303.8772285156253","293.4404975952152","290.9309231628422","297.2781007141119","316.4750324523931","318.440505029298","311.6823807861337","306.54579006958073","304.27341779785206","301.39963842163155","293.3138163940436"
"1.9. Afloramento Rochoso","67687.7454050539","66964.57217986474","65988.3410876589","65495.34552895515","64996.33038367942","64423.10136509427","63885.594336645634","63578.85575243535","63388.00488444815","63438.91317204583","63471.239019256594","63791.959386444185","63850.168768072675","63926.082943994414","64160.23075663478","64316.13739103411","64328.72838366103","64273.56495028089","63824.15382331544","64038.54577829594","64030.726625921634","64003.00551577143","64035.47839609984","63634.36831170648","63503.3815198914","63056.70050077515","62718.465179339524","62445.52013302604","62483.51761481919","62776.80610874627","63209.968652331634","63374.74165356442","63683.59206512455","63652.23030062255","63595.18835119627","64315.26913159818","64717.24761094373","65026.959915643434"
"1.10. Restinga Herbácea","35351.58655374151","31308.538849438646","28648.450499548635","27530.485948730457","27628.915632641838","27968.037036309936","27899.57188087775","27530.97787646487","27266.121878363123","26675.12919458594","25927.04196826148","25674.109206518347","26160.6792607116","26421.16770389997","26942.323201574625","27560.66500070197","27604.885511846904","27156.863628649706","26653.277296587923","26650.272940215986","26382.457441229082","26514.92355016446","26522.424340881098","26455.786317236125","26005.134449609373","25247.552406866303","24835.99958651108","24736.448652361905","24450.28019103379","24331.031341534377","23873.011777288633","23628.51522645241","24242.137016351237","24405.26033693845","25088.944643982006","25687.24283627318","26457.43746499047","30348.03551721837"
"1.11. Outras Formações não Florestais","2110.9737897094933","1698.9408497497752","1486.7194248108121","1374.3761175476263","1301.3023852173042","1210.4379188354653","1136.2253855957156","1062.2180813842886","1016.0225385009878","1012.8764441223268","984.0257335083126","988.7222323303351","976.3358627197391","963.5044410583615","1003.8782922668582","1019.861397558605","993.625119299327","967.6680922424428","909.0629895630005","906.1340452453736","951.0150592834597","1017.9048435241821","1078.2491117309698","1157.5535064087057","1170.3079614441067","1081.4841751464985","1058.0310263305798","952.9419432617323","861.5352787658803","834.1124989318962","831.3081200622668","825.8799946899538","931.9564657165639","1080.8214836364853","1122.5675595703262","1068.1689585510376","1039.0622601989885","1089.3082126587021"
"1.12. Praia, Duna e Areal","5887.397543859906","6476.891967889459","6712.904097216832","6691.311857928508","5965.078428204396","5107.328397747856","4810.155265490777","5024.400091687067","5467.195135626278","6343.369151434391","7017.680992791788","7124.72035667727","6114.412583056617","5432.443219421377","5024.051182336414","4352.846790368666","4322.034240606714","4479.411298095732","4799.732414526395","4978.177130242918","4984.926276959216","5011.17428968504","5221.793744439695","5599.107522869878","6302.539897888146","6548.314479797346","6192.289512420628","5564.645785430901","5256.859232525625","5041.9249499572725","5009.8142245849685","4852.787112091064","4579.125221166997","4566.380864337163","4201.700083007818","4180.7806166259825","4176.799050585941","4196.467979583744"
"1.13. Rio, Lago e Oceano","49264.009122747375","48364.479835577295","47785.4721374755","47242.191600982645","46665.21901090087","46875.804933484105","48725.300662701375","50091.51279517821","50205.77221241436","49545.50656186506","47750.993554992725","47352.64057070309","47614.187930645756","47656.6418210572","47702.65770457781","45014.45949956036","45299.53168950183","48728.18992269252","48049.080881494185","47974.78745364338","49566.82056947639","47917.48297579936","48102.81765751948","47916.93805693339","49908.98619110086","47602.00414594691","46161.69383137786","45625.72217802082","45015.34787664143","46644.41116683316","44496.933110638274","41734.34457567713","42578.28577996789","44979.538039886305","46277.861304998485","48740.282703161356","49699.06258249486","50594.215769164664"
"2. Antrópico","3268933.0344361584","3303807.9103840026","3341252.471473354","3366596.0049783727","3386425.6443689503","3396233.198619287","3398837.9892873825","3392838.5543106655","3387338.112736711","3389479.3076514443","3397627.483349064","3400274.180215674","3404735.965523367","3415540.0718259625","3419491.0000698264","3431072.7857940076","3432691.3192836223","3432439.832770757","3437117.2730053654","3431227.560157132","3421157.433689837","3413852.3093385766","3406655.1660218854","3402429.545555664","3391613.157177887","3395653.392895769","3401548.006759371","3404560.9598754765","3414283.552612754","3417141.903536587","3417359.4210921153","3423390.900228455","3418966.0444317884","3408988.321199387","3402117.253653137","3389479.952439917","3377919.3575667776","3365598.794376789"
