"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Natural","14878713.634552285","14884524.006910956","14703691.041000511","14476743.526862545","14193475.834199842","13955134.42861894","13721232.460044637","13443274.76954816","13210063.410682347","12987830.837228741","12753876.716006814","12562152.740398863","12374275.805114282","12216872.220864274","12056579.521111533","11900247.5599792","11745955.35818787","11584199.120576145","11407922.232082853","11224444.833606426","11116633.994683016","11061849.77128604","11011449.624184374","10959582.60410866","10921838.490238966","10882287.43296648","10853295.068379475","10778751.470864723","10698361.401339563","10626474.165674137","10572249.383929102","10527648.414168788","10496038.821135096","10485463.950847166","10437598.116819542","10401040.903749611","10332820.385447795","10368421.565829325"
"1.1. Formação Florestal","3664026.737240144","3672457.1761165694","3642732.797123386","3586261.060839778","3542426.480351382","3522391.5092916875","3505830.7934750468","3477973.771600138","3468502.959268177","3440671.3981807916","3411874.335231468","3413087.413327929","3364845.1338446364","3354685.5013260012","3330776.8893059734","3332664.6118901577","3325368.587140696","3290971.182913999","3264426.741800874","3259231.90731859","3247133.751014853","3235409.3102097064","3243152.5857104873","3222296.2500225846","3208261.4486526586","3203618.818667339","3197136.0212556017","3194402.6049950076","3204754.6507426146","3208117.8423465015","3202539.2237857976","3202565.39992467","3184479.061674642","3182072.625613313","3178808.8689740174","3182141.276269462","3185935.7576322933","3195751.483571204"
"1.2. Formação Savânica","9081288.93059984","9299716.495128822","9247665.910615776","9120226.438738706","8924867.731238978","8720025.23344361","8518378.348315418","8271053.791899557","8049094.308994863","7873484.044826709","7678441.026406458","7499036.372754073","7293089.934740115","7136970.976120458","7006687.297558914","6866209.263862274","6738468.230047452","6611915.227544445","6474252.600346657","6307418.357743172","6200166.537046954","6149291.104965245","6091617.656521123","6063941.137949143","6046067.033194874","5996737.15228517","5963341.416125382","5905410.0721532395","5828769.53717196","5767591.2348152185","5730654.842995175","5705987.663116352","5706262.823712761","5694022.276527933","5660869.762555434","5609148.903891852","5541144.077445937","5453349.837579016"
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Floresta Alagável","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.6. Campo Alagado e Área Pantanosa","583373.1582304748","495256.30592086865","466251.71531328995","457274.86450068647","451838.6357477501","449944.9650643686","450715.24182554375","446663.91657831485","445840.56926890946","444548.33925143705","443785.6908715775","440884.60760037386","434157.57028565265","424160.19421896624","422729.962350675","436353.90923640516","442344.37182303215","445018.4882691751","438827.69501153025","441678.7977390514","444576.2709433247","448232.29874370445","448511.4758371243","453000.3428570216","452636.4707773948","447807.1544539943","449646.58533405454","448532.62374673004","448884.20621946634","450258.5286998298","450288.51782765106","448030.3540486275","446694.6202616583","449453.8160651445","448355.7929022062","447202.10226794076","443862.3951391567","473578.1535711498"
"1.7. Formação Campestre","1272786.9069649675","1138547.4881875596","1067558.2548998534","1032722.8309241832","993953.8795160452","978117.1790686118","958387.19463862","949875.261196272","950243.345102782","936056.9583031969","934534.1915831853","927477.8505670188","919625.6827345389","912379.2987034821","912000.8250399549","916590.6035890375","905748.8581122775","886761.0273951596","870882.957989057","851266.9861930992","842149.1115957745","837461.0656448945","829923.6229863109","823170.8905412537","818264.3145754754","810535.1284050223","806867.4613767813","800797.3504058728","803835.3134773058","803043.4976567922","802882.2858409418","800638.9381145865","794787.5399313037","791840.961902611","781539.3773135239","777392.9386630942","777324.91677866","836206.235344156"
"1.8. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.9. Afloramento Rochoso","28195.722821444702","28183.215248953253","28182.530530868535","28187.402509787","28183.52319292909","28186.25335459289","28196.38552026671","28197.622565451034","28193.899183401452","28203.31467823178","28212.922987307684","28211.30147403864","28203.35256579282","28198.305589785752","28210.471711019916","28222.626179000872","28226.33098974917","28230.170535495028","28239.17860538026","28248.205795108042","28252.22340905458","28242.814690066523","28245.79398150941","28246.928174386598","28243.198778183","28242.097389755283","28230.686082186923","28234.600445565833","28238.827101406885","28243.55093928528","28246.00041678163","28247.40004490665","28243.413500106846","28233.034281466716","28233.771644412263","28237.875443496727","28238.140542721565","28241.65847843327"
