"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Natural","27648038.293397576","27812517.450683556","27718979.72476421","27505582.197180543","27283866.90058001","27136471.595708903","27020124.400088824","26752722.198397435","26519576.220778424","26350910.820772883","26208351.0855411","26028389.998586472","25881281.10406854","25556436.59060449","25334134.327362612","25202097.142592877","25032127.09771686","24834404.216467146","24515550.06654756","24254768.479707383","24018074.912377793","23767833.192353196","23479251.93023578","23226165.27853743","23063716.43796282","23010729.652848583","22861819.77727145","22604089.966662895","22343831.6069904","22218046.80990966","22084536.897612352","21911662.94548891","21821893.467489075","21714532.19772963","21603143.91870179","21359216.668237142","21093150.83552485","20596929.43388852"
"1.1. Formação Florestal","14569720.530267753","14783742.143848695","14702104.892518181","14490183.275643786","14243534.620617284","14124155.025784625","14044254.650829572","13819065.529383736","13604447.869478675","13478533.970373034","13359772.21047123","13215536.113814447","13092938.182032596","12782340.66019888","12633777.75310133","12575456.895323107","12495664.828771872","12418202.022179872","12169138.026163846","12026105.456454463","11870635.96132821","11701461.751542035","11467664.260749836","11280934.397472432","11141774.260037752","11114370.458656624","11006432.144454198","10867462.183406305","10764208.62213207","10730715.875116466","10687357.518097246","10656104.590527844","10688206.770596707","10673083.426231924","10672652.250376044","10618063.704831302","10550358.991084097","10337897.907267345"
"1.2. Formação Savânica","9499041.216646247","9460691.558944669","9465178.171123829","9453191.435967816","9463659.122593163","9444589.481280271","9427271.846641405","9388359.682042724","9370887.52619514","9323987.161153698","9315302.50761947","9278983.130480131","9253210.369154274","9252577.288013604","9190765.021195099","9139422.333006352","9065503.946873888","8950953.567070985","8881188.156082619","8767921.210358135","8694693.838172315","8633861.609857228","8604310.955901667","8548031.074023167","8516702.831812004","8481616.1600457","8442153.248471564","8401848.131971672","8267570.757999925","8184612.511888068","8112745.641060799","8012139.644086108","7905185.890392651","7809345.818900848","7664946.498909833","7481699.688885977","7306248.032378357","7111335.592108393"
"1.3. Mangue","475093.4313257623","475667.0560470648","475296.88185694005","475554.8111818923","477792.6736716271","479714.3081108247","479328.2386259337","478413.174280544","478195.80740201526","479055.494457185","480126.04369091213","480846.419634406","479888.23815150984","474673.34954000305","472218.9637783056","476080.8578996968","477003.9677577677","476872.5863034678","476809.3789595035","476792.5068666027","476335.566833323","476322.5893536983","475985.7580836198","475801.668208945","476773.83684778307","476867.1748954581","477239.4217208165","475581.6616116166","474551.34700514015","475196.4536697817","474336.7829952646","472115.15385062475","470371.10589706345","470625.97337087826","472540.4071829139","471632.5270424348","476829.1731608774","474963.6824109757"
"1.4. Floresta Alagável","979793.023803653","993105.4360470334","994279.1285249864","981442.9972920606","960326.1502922358","972729.9824188707","973672.1576852906","963693.6555626168","958904.6447479428","958836.9638579215","947665.6120917349","928235.2544774052","931352.326561537","908041.6838608165","883223.0626634541","878969.2751948314","869216.1075032876","857364.5189676818","848533.328354552","841467.8370453023","833719.6528965407","824246.2315327255","798963.7993499958","781181.4602457641","786344.351056285","799393.0020807408","788683.7560045406","751826.6244802137","757213.2797229156","755619.4602602104","745592.2771035346","715462.6973874259","702091.1091568932","695546.5712349346","701310.9792298116","701290.425156941","651415.275188934","516845.78010868235"
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.6. Campo Alagado e Área Pantanosa","510945.3799484008","496440.4623456312","498159.8983086859","509137.26995957","534234.8185469793","515777.7672080865","509379.31702000694","516593.84238861984","542195.1782085319","540882.8169001134","539347.133774323","538691.48298755","529627.0742134263","547844.3218522274","540019.4335226106","561824.5683671883","556559.448657041","556268.183396519","553454.8684882373","564091.5177692047","586925.0600780812","579366.0028151822","585442.7741766407","582746.4014374485","583121.2852970031","599634.2387266265","592248.3810850115","561864.1688238826","543575.3917633167","525285.9977840387","532415.9010989313","525972.7128404254","529140.6830256218","547902.1573426973","584889.9046888319","592468.6260430187","628461.2136583457","670630.6745847767"
"1.7. Formação Campestre","1029931.8905215448","1010932.4335512498","1009332.3412213668","1001916.9869800202","1006562.8575304776","1006962.9409712014","1032372.7659958476","1019002.293375249","1018791.6050675096","1011932.1911423082","1027799.8534164181","1027743.4930608872","1025537.0230415887","1020910.000023639","1019182.6581818527","1024746.8996129545","1021823.4962916872","1024473.157756569","1036272.8640645759","1021229.9475336666","1018429.1752154402","1014814.3315330446","1009957.5023159595","1015088.6600211894","1021700.1568504178","1016799.327643834","1002456.0488999012","1037854.1256887789","1030130.0136534162","1033746.5107879152","1029840.4652903286","1041040.3730552935","1024473.7470093729","1002879.7772437207","987694.9125555855","983080.8441410563","971720.6017443874","934553.5521087133"
"1.8. Apicum","32358.562694781704","32462.39213999653","32436.57907875996","32283.95740625022","31363.223298193687","31079.921732171955","31582.297933856495","31574.801376367446","32220.740593023907","32467.503461041473","32569.736869329965","32817.06299719862","33141.95499747939","33561.53837851578","34402.51471925061","36098.903919128716","36421.618814844034","36550.72263485134","36520.89019797999","36382.955818536706","36485.94955582916","36556.016316906986","36141.90773016386","35468.56162230248","34977.815804321566","34556.25922077047","34225.15776662011","33942.40259199852","33900.36056413595","33685.89704951798","33241.78433111586","32958.79911752336","32621.139723175234","32210.616261700598","31802.49528660289","31469.97248693255","31484.0722770021","30638.366394824305"
"1.9. Afloramento Rochoso","2502.459101232901","2501.8384884094157","2505.209783508291","2505.1239340820207","2504.8572207153225","2502.6417022033606","2503.084685009757","2501.665499023429","2502.9935358032135","2503.2582977722077","2503.1713106079005","2503.788082354727","2503.43267932128","2504.3202965576083","2505.118624005117","2506.181791119374","2506.1813726562386","2503.7896513366604","2503.5235850829977","2504.409774023427","2504.7653774658097","2504.942853149403","2506.0122051147355","2506.366819366445","2507.7827272704985","2507.338048968496","2506.362514025869","2506.981997778311","2506.7146664245515","2508.396682067862","2507.953098394766","2507.5090726684466","2507.510358166494","2509.0169916992086","2508.308503448476","2507.5103585449106","2507.776312597646","2506.2700486877347"
"1.10. Restinga Herbácea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.11. Outras Formações não Florestais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.12. Praia, Duna e Areal","100056.07186823917","97258.7907170555","97075.45334259263","98572.00714511843","102901.11125172171","104508.26519575316","107885.44669960624","108026.54259864787","106835.45056463558","105288.795413291","106392.56029087956","110231.25769369378","110920.82136453546","109495.99190424108","108054.79080479643","107512.81748664126","108857.22661501443","110453.54343303472","110879.31866743558","110408.64427936864","110974.92879111403","110653.89364787705","109720.32221826391","110161.03505673811","111437.79050301932","112190.21824853792","112685.34878099927","113334.15148197561","112606.23105947657","111540.52933670089","110743.01384419661","110832.11790943683","109042.38594805468","108779.15671448628","104470.3888856579","101796.01439599825","101871.05316967974","101569.32962459963"
"1.13. Rio, Lago e Oceano","448595.7272199624","459715.338553756","442611.1690053577","460794.3316699489","460987.4655576122","454451.2613048887","411874.5939723007","425491.0118899091","404594.4049851476","417422.66571651964","396872.25600619597","412801.995358403","422161.68187226995","424487.436536014","449985.0107719032","399478.4099918598","398570.27505879843","400762.12507283053","400249.71198373096","407863.9938080773","387370.0141294712","388045.8229013514","388558.6375045141","394245.65363007557","388376.3270269669","372795.4752813206","403189.9075737654","357869.53460867156","357568.8884235756","365135.17733489576","355755.56069253833","342529.3476415562","358253.12538137","371649.6834367307","380327.7730830592","375207.3548949437","372254.64655057894","415988.27923152386"
"2. Antrópico","5214376.765976529","5056073.663723381","5153686.297967162","5372836.427432491","5592307.9429397425","5741676.6787596205","5867150.612080713","6139538.0253853435","6376100.143854403","6539635.506333841","6681850.35232557","6865787.499922337","7011104.095549558","7335048.841509959","7557226.2547802925","7688869.261675298","7859228.72768049","8056156.914534874","8370264.477075759","8632133.092645725","8865383.194816282","9120857.638080059","9414810.787269067","9664308.383717347","9825248.759840291","9880006.997903256","10033282.568895869","10297416.97898707","10548827.665126253","10666852.958053725","10802338.01167673","10976052.716825077","11065004.936869152","11164517.976593077","11264199.423524508","11508542.70672229","11779361.829728946","12264955.546104463"
"2.1. Pastagem","2081799.3122838186","2060881.4766485412","2250215.924953004","2568105.652649451","2886718.117117708","3110384.3763438878","3295640.9570307457","3609825.72007334","3873767.889635024","4068485.1122387713","4222813.959972276","4412625.588361788","4587420.071429298","4942610.976289746","5171735.032791395","5317272.306834297","5473125.754926193","5697226.608216487","6068181.137631509","6306645.484798247","6538840.899773294","6805427.840599532","7097205.595717018","7309779.730207726","7440072.821727756","7492906.533254585","7670104.213215713","7942570.813090626","8146836.866937444","8283249.336231588","8428035.926724657","8543788.478667624","8548536.954524115","8593479.913873052","8621268.043018015","8662692.448415939","8813655.90159614","9145176.43513065"
"2.2. Soja","6.793269342041011","16.674377679443335","55.3167433898926","338.57340920410405","393.37187410888697","1734.9827892211927","13785.833548150595","22104.716329504467","34834.29391279288","41560.40750861196","50303.91407541503","85391.0914945373","110211.1640971312","121340.63236595402","138488.17788773746","162158.23076994778","196895.17946062394","255221.5678786662","269347.8124100309","349397.32180206897","397824.1575639664","450978.4425698145","391865.28306627576","486169.3391026913","515457.67447541247","534455.2951458468","531852.9210499908","606440.8350669078","695267.7408360109","756115.1390174348","785523.0870094108","860940.7759054293","935489.9102618105","972809.0343114007","1000346.5277236284","1008353.467662256","1045941.7278592847","1069362.6937895573"
"2.3. Cana","","","","","","","71.38987746581982","240.62161203002893","237.24751007080064","217.7127861145018","6.12633249511719","3.107528680419922","0.9767349121093751","3.640428308105471","17.04737290649417","12305.256011890246","10128.335518591086","6654.07586245084","6059.920430651954","7191.000009374724","9527.20561019858","13287.644858612975","17018.999954633047","17856.330207739556","17956.150925952687","19822.86314155256","18845.392887024715","17242.776807635702","20583.903290590013","19511.8018651685","14490.64479790674","15856.635691791593","10492.441562445023","16711.735250592323","13868.473759680961","14568.978204292342","14555.381359150744","12014.828934203977"
"2.4. Arroz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.5. Algodão (beta)","","","","","","","","","","","","","","","","","","","","","","","2.1224685058593753","0.08845174560546876","3.88887865600586","12.204389550781258","7.990484936523434","2.4751534729003906","77.84099231567389","21.744776397705085","","0.7072908447265625","0.6215795166015624","1.5933767700195314","1.1542514587402344","3.4443176818847663","6486.072747772139","13986.50201080915"
"2.6. Outras Lavouras Temporárias","60.6196745666504","98.97135194091751","154.40600787353463","339.2628583068851","558.6703117309572","1018.266902130128","2708.901319030766","4348.301947711169","4256.857865472407","4975.374910186763","7290.074287933355","17533.714961267036","16412.14594247444","32300.787730681834","43031.77063734746","41591.50141370185","50212.10551932894","25076.856862408225","27780.124991278","24314.897768224982","27326.59020567616","31174.225196740575","121206.89737884613","60495.426601056126","60378.42425080619","71135.84429996993","101234.929404479","112741.75115493663","137718.34627593955","114007.31180960708","108440.32853265372","114631.48158900124","132351.68909423775","144190.68821469642","140316.01262294906","159416.02620263048","114567.63093275136","92766.27386160272"
"2.7. Café","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.8. Citrus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.9. Dendê (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.10. Outras Lavouras Perenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.160511212158203","8.838227941894534","8.838227941894534","8.838227941894534","8.7489462890625"
"2.11. Silvicultura","","3.191673095703125","3.9911766540527345","168.54568709716798","420.6135121826171","1402.6964729248052","1556.7766028930696","1398.4475939819356","2660.184767828368","2694.3975575622608","2283.235469384772","2629.1105376037667","6091.368683435043","11055.669382714817","18819.037165173184","32350.894597137183","36900.423032848856","40503.306261858546","44827.697756701404","51846.745115209524","67231.28930935696","70203.97933911787","72826.15010855741","76362.07009221775","81429.01908248234","94068.47761976898","96725.82420380233","102258.1822178461","134228.89386129862","139927.0143266372","144549.1671538403","145818.79879351976","152917.88959304956","154107.3907899429","162370.58873560323","164464.65151660278","169554.39993911772","169762.4587463749"
