"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Natural","20004048.345760167","19820403.89988624","19197197.81420645","18707153.56348043","18277656.02440337","17885007.215230126","17552639.340959813","17174140.397590615","16848341.65703721","16571943.516042452","16297822.081725117","16074539.723270908","15901433.772186246","15756870.66473011","15632865.65638781","15505412.641492413","15395481.546805877","15286404.286434606","15095051.887556564","14981273.527302604","14923473.798925422","14850055.288487103","14818201.086831037","14797618.926019209","14772500.765007064","14749070.287821604","14733131.14600914","14708096.458736658","14685702.193938905","14653341.863788065","14649527.729008099","14645506.171873113","14639442.402362","14636657.52476538","14585921.410974996","14490004.187678743","14353854.60017401","14371402.636311999"
"1.1. Formação Florestal","7046700.283676836","6760041.553192983","6501463.280252489","6245900.485074151","6056131.329072618","5905565.184273228","5766686.205155125","5645665.459809808","5556898.230510664","5470014.605314691","5382924.710645126","5308140.082413449","5255453.740330027","5210315.324690951","5162292.927963552","5101418.653800328","5054275.121555238","5001899.292158362","4927366.103045664","4872968.0600314215","4833252.316924301","4795894.9083667975","4775275.958895866","4755107.427026088","4741052.557607725","4732928.293204908","4717726.223729067","4707873.946405781","4708795.734898076","4708305.401977234","4718087.786530059","4725845.538785484","4733300.602160293","4736866.050313344","4722363.977601182","4701740.436392189","4659289.929986482","4642996.780755135"
"1.2. Formação Savânica","5900603.559487091","6119768.651685366","5797358.304220762","5371125.357283905","5147008.876330842","4871317.84122076","4717770.91687302","4432857.598698814","4291512.40575664","4182924.3918747073","3977816.1484234603","3926382.3366804463","3792828.5367978513","3672421.859367167","3603015.8311342346","3512382.417058097","3359827.4324388886","3235441.047259046","3123255.7904666536","3077454.532780724","3075015.718444185","3057771.0410063155","3038645.782934662","3022141.6363058137","3010326.9869492184","3026100.0530870217","3052349.9582475526","3056963.0539400578","3057982.631447208","3042161.9377120757","3030873.922821869","3028430.846062121","3021439.213091004","3054866.621039692","3041279.59351558","3036396.3068326632","3012595.491825688","3001639.0397829292"
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Floresta Alagável","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.6. Campo Alagado e Área Pantanosa","3257983.7583339764","2259686.3639035937","3378099.084112669","3220686.3073251797","3553379.6726465016","2295218.9681754815","3086338.4708774383","2366536.583554714","2501062.003788953","1899202.5787146606","2995123.93302644","2535263.7741884873","3335119.6698413957","1970216.2020502412","2368885.994604507","3184970.0201148973","1864049.6194577154","2607021.1235122844","2589950.8789538713","2048143.107001299","1968194.1842622028","3092454.160768953","3161025.2360723084","3290318.2585858325","1688854.931347382","2420689.1046016407","3918368.3064986356","1570228.5487351338","2202640.7241680906","2900963.581889616","2227995.927088576","2740171.4103760244","2304158.9341507712","3668629.034310525","2113032.392617727","1381338.2339208557","1357615.803546295","1439351.4467144369"
"1.7. Formação Campestre","1206256.8720902978","3303058.0994015886","2095557.056831822","1114559.577207212","1227754.0770617758","3584457.879337309","2253625.0109961536","3022992.340454787","3033284.093018315","4029831.5941741965","2454076.679546499","3120685.3984279376","2045635.7398095683","3685021.070534843","3214827.3546733717","2617363.096518402","4154618.914089208","3276622.692559627","3435771.874975598","3857014.6602015137","4087443.819755922","2626650.859611088","2541043.226750031","2499803.360734514","4428572.026969897","3678831.1304284013","1705296.3939317102","4424673.711042297","3814164.175746537","2621140.030645759","3633175.5911321496","3109803.3499985705","3628579.144960375","1821413.8672266123","3747467.601693159","4592678.06886937","4577912.092242078","4579379.747262797"
"1.8. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.9. Afloramento Rochoso","2780.9049783569217","2776.923855328357","2783.0520998718143","2789.768746569813","2791.2759750244013","2794.3914619994994","2798.084613116442","2795.5789710449085","2797.8568493163934","2795.914667651354","2795.9103568664423","2798.0849445373406","2796.658320013415","2794.633661785875","2787.5049127014026","2787.4171331298694","2786.1608947448603","2783.55952743529","2782.890137384021","2785.757139837635","2785.0929661193722","2782.47778200072","2782.8106260131703","2782.387341192614","2782.725253222643","2784.7439182372914","2787.6010133788923","2795.8179815307494","2796.6422854736193","2795.1307426025264","2792.6162296386606","2792.1990452697637","2789.511550433338","2792.9600632385127","2793.6316822936897","2792.969145300281","2789.6123105285515","2792.890847692858"
"1.10. Restinga Herbácea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.11. Outras Formações não Florestais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.12. Praia, Duna e Areal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
