"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Natural","78550813.55633529","78309853.02716596","77519622.45345144","76771156.11997803","75920057.34807156","75291470.51997232","74672649.18675852","73788810.86164904","72889480.6056866","71711307.71628344","70420977.28195666","69352242.88455503","68338095.48157838","67239251.56092238","66066820.00218427","65203328.15700286","64370689.788053155","63325834.382605515","61801898.49779532","60534244.8038762","59715032.89084801","59198043.75541901","58924100.00962115","58575294.69408716","58432575.27455696","58348544.012504086","58176567.36935955","58060983.38054261","57857863.132319786","57590432.670133516","57331461.638609156","57148539.62652683","56963625.64399481","56791705.42021072","56516821.92502003","56288682.96334025","55897336.63294323","54931809.01426822"
"1.1. Formação Florestal","51217288.27339753","50973404.23767044","50558479.91782813","50116924.96316866","49600958.0922198","49346581.96243866","49030486.53702729","48515734.83304766","48074948.024795085","47343183.08955109","46424558.66697827","45692421.94370031","44987753.03844389","44268095.79722194","43442129.6723804","42925448.0026664","42378990.33396939","41600123.86226838","40433401.02045092","39465564.96867748","38810037.93483138","38414856.62990283","38188104.651353285","37881565.68318023","37773455.260690905","37739419.12189958","37567738.84370347","37508528.286877","37385325.0337925","37221157.6178078","37079540.36368168","36974825.31528916","36841780.08721985","36682814.13304794","36452890.22464084","36304111.36905041","36022525.851576336","35570509.936021045"
"1.2. Formação Savânica","17754462.765469927","17972480.104791507","17776516.22530078","17434825.129160397","17143509.530145608","16790322.11664855","16566940.122088635","16177717.472568603","15771388.80371733","15402903.99411614","15022474.70122133","14711731.640236918","14414725.31751722","14078521.929304048","13804714.439427596","13541212.646690348","13308522.164503263","13054443.822242245","12740322.068049967","12457870.277976343","12318834.141038893","12272182.535147063","12247607.443868497","12286181.274681441","12281081.540487636","12235432.611379648","12275831.877632177","12323572.806497933","12419684.720105562","12367358.13394307","12327263.33674377","12323403.060921937","12304719.67781066","12303779.448061498","12265955.34619521","12226155.880291816","12173393.045434132","12039324.645514684"
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Floresta Alagável","16394.467561425798","15797.723971398913","15684.923445092767","15506.130153771948","15439.227073663338","15441.075327386478","15067.437266375742","14989.219331134042","15111.14046805422","14971.092888543712","14838.14079183349","14754.42434331664","14536.396709112543","14237.621849078363","14026.767038128668","14166.15990420532","13901.734497680669","13407.821384967045","13323.099274597158","13590.359700646972","13787.483087994386","13590.206511871329","13526.981450329575","13492.671171801743","13395.075297668449","13267.23128222655","13283.113091168203","13377.734709594724","13575.111884545899","13512.08448275146","13530.770574914546","13679.050955310055","13803.15675603027","13813.339944927975","13643.395569580067","13591.927068951414","13487.324085021959","12119.710456140148"
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.6. Campo Alagado e Área Pantanosa","4746678.568058776","4269325.891603102","4263508.701179074","4443208.592515681","4680325.949086247","4325593.144510635","4368917.49725243","3817764.784556102","4328964.991815129","3960602.187836977","4144147.9735006383","4467663.724223173","4304578.794310292","3730536.1107295407","4068366.6159920474","4272781.420939369","3832744.688778293","4252143.306299972","4304114.622563493","4073087.301914616","3930580.785202777","4422314.544789242","4205421.074343712","4266924.175860934","3952671.6071218625","3988769.063469889","4238977.024696628","3417348.69523347","3646209.167737608","3960358.8330415026","3674192.1952848844","3591940.5486913123","3745986.583797711","3821629.7854058044","3554109.169674965","2895693.801097542","2920656.0451595085","3306825.208154415"
"1.7. Formação Campestre","3052232.2241382515","3612075.530312593","3403690.454203119","3065880.1017335495","2839472.517124432","3386711.4476133343","3099371.9711082843","3811989.4690945847","3060708.2698093993","3641198.586390887","3381344.8330846447","3091424.0368542196","3243057.155969798","3985373.2194503294","3456736.259194072","3319723.954142264","3794174.5466904314","3254491.7669230043","3164858.7688313066","3436325.228586111","3596089.898067713","2878847.27306802","3104396.1227849373","2981957.6413316694","3384641.6308562336","3339256.056210898","2963350.8092476954","3857622.5147199635","3407504.51119338","2862546.618749197","3170100.1426238376","3209594.5264982833","2961811.582139941","2757965.3503043847","3155411.024879228","3877851.4691852704","3843823.282195095","3086386.410669114"
"1.8. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.9. Afloramento Rochoso","204302.6910306089","204284.5800543394","204288.71210850208","204280.6999867798","204268.33709461658","204270.1478636899","204277.89630394877","204270.8738572263","204280.71998279996","204293.53825516938","204294.14500016454","204304.48982604351","204301.89064097282","204295.05733496082","204294.74311449553","204236.62697681843","204225.1523453792","204232.20226860925","204238.65497965677","204239.95998213466","204242.56745487047","204200.03096314048","204185.84745357002","204182.47176240175","204159.92791472725","204164.70179976764","204131.24678798768","204125.44656450133","204130.35092991276","204124.24223919614","204121.95644885814","204115.29330156185","204118.1210392327","204102.65246550855","204100.81269979206","204089.2350000483","204057.09862924783","204997.42159797365"
