"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Natural","24192392.0424979","24037757.999689147","23790416.918293323","23567387.156641472","23387631.578695692","23385316.88210637","23278245.483115185","23102276.235115625","22979466.53234151","22908818.170709427","22732281.50678311","22608429.59135652","22528341.121969562","22442362.389031887","22305200.51022743","22175179.467377502","22131007.940401398","22018813.991957374","21985086.88884962","21950827.860710703","21896541.465527363","21852000.44770872","21824695.929822903","21794652.80587444","21780564.34743653","21755892.8295051","21738584.53726249","21642993.434818905","21550618.7221163","21437031.553634148","21362228.864152405","21294758.656232916","21316160.69986963","21368514.45620697","21372664.965801902","21375847.209722333","21359296.510223918","21416948.899950042"
"1.1. Formação Florestal","8877224.651653105","8807229.378633928","8664871.228382958","8545809.295121536","8472901.499949431","8433526.764553044","8373880.328254772","8328448.701727501","8316091.093275242","8304787.836801938","8267025.321527518","8251488.342416227","8210254.95100741","8196017.260355121","8172328.214223212","8146791.148774999","8140373.242233494","8123046.462402161","8127629.095783307","8100684.025579668","8095376.680757962","8109796.071592171","8134502.236359243","8168642.842985432","8195744.441542092","8233280.469154365","8267349.281009723","8296496.656161356","8319021.708096196","8332031.639885639","8354866.617857318","8390973.350610867","8435304.669472532","8465755.510430723","8469048.088052291","8476492.710376002","8517556.94073276","8504207.835746119"
"1.2. Formação Savânica","11378734.951895138","11526131.722797606","11520642.638683336","11440021.832383947","11361282.172066962","11415661.00097829","11362679.908694005","11245453.19297082","11153815.370082337","11088761.61732046","10963464.387978556","10871059.972487211","10832323.399999134","10773436.529066889","10673130.439391237","10617475.748269418","10589012.350699626","10481952.647051644","10448013.935243841","10407726.234069863","10349666.385513486","10278080.867384778","10217279.567211205","10162206.629019799","10127157.359139826","10081895.169729883","10042624.941303257","9943102.032761296","9880286.835974624","9793308.934380343","9702636.13196681","9572385.25534781","9565178.441913111","9578522.240287196","9561669.562993908","9532142.234877486","9475648.803524775","9408646.77379653"
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Floresta Alagável","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.6. Campo Alagado e Área Pantanosa","544025.284880428","432543.54331137764","399573.49900587194","397022.97068172676","403557.3813784728","397122.2646293953","396781.59520049434","399719.9622597232","393651.2285408274","394470.85360070324","396396.7551351457","387196.74300423695","381410.73908167245","376746.945829029","373838.1733422304","382502.72908834805","385796.91412250366","386766.51891835395","382697.21522957855","386179.7093532786","392249.2750784065","398516.0974038652","401417.5112438056","402895.0458252207","405950.49384719366","404946.899597181","404794.8356786991","400719.4983159492","399034.0848238595","400002.0691852246","401877.03551262995","404207.7037071118","408506.22942143056","412203.88011454087","413618.44055249175","418326.4740815383","421509.28423977166","457190.89316109905"
"1.7. Formação Campestre","2033230.300291599","1908227.4310661836","1862952.341963332","1842716.5737747138","1813169.4651241763","1794408.2452435202","1766915.1737589883","1745781.8294806147","1741574.4270321408","1732824.0429983237","1732686.0374588922","1738399.461260308","1735479.9310597344","1742876.7507526758","1749425.224660831","1752898.8118664667","1756371.4568653656","1746814.5502831405","1723467.657325602","1720067.265842888","1715816.8894701048","1715718.3601541515","1708331.3755773124","1708233.6086363932","1704714.0613046263","1699979.8962343382","1692877.4539754745","1687022.5331680719","1679961.0388663383","1685788.2755358606","1689326.3065977825","1690459.2506438722","1693260.554376449","1694950.6476257553","1689840.809258628","1685668.8068303724","1680126.84053886","1725570.8889932884"
"1.8. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.9. Afloramento Rochoso","639655.1198503239","636584.9012033638","634881.5780161453","633638.7232215346","631432.4690055925","630716.9325184042","629950.4100859761","629059.1725898221","628709.107477956","629035.4242941982","628509.9376986473","628602.7286608604","628531.241537289","628351.6205730065","629566.032819156","629654.3192821807","629860.832900357","629685.6349833824","628434.4863832786","628972.6012867212","629365.2448969936","629683.633716336","630190.1058776277","630758.961919474","630754.3774188817","630007.7052143649","629631.7117448709","629541.5517079197","629673.576280088","630569.1097761997","631504.9365631317","631989.6705763342","632571.1189574552","632373.9234461632","632142.3120206143","633002.7219469197","634536.6166989707","637232.19454946"
