"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Natural","6185439.573316116","6122306.346700771","6017759.929790888","5907354.190793388","5816713.50220079","5781398.256087253","5751061.746227101","5737621.75493246","5731087.294779543","5717661.97719782","5699716.658520227","5690974.150389059","5669487.98485699","5667722.643810317","5664454.37721185","5629106.821125955","5626629.8370946925","5630276.291178525","5617566.412144777","5626868.457789532","5650483.817492835","5666662.497667734","5678984.399248429","5689303.524418098","5700052.462608734","5726370.970832714","5736500.636784282","5759793.380216854","5787458.142882907","5812036.239594184","5834990.056383094","5862768.37908363","5879693.883012053","5893181.902470689","5892694.341991243","5897563.487750131","5907697.913205238","5888782.458252279"
"1.1. Formação Florestal","5460545.026796546","5404579.649461994","5298522.713509181","5194288.676084726","5110956.310427222","5075838.737634444","5050598.989988935","5029526.75181041","5016894.184737222","5002877.118829983","4989649.572398758","4980471.531046455","4961086.44601433","4950385.36718143","4940433.681588029","4917670.599812598","4911423.920619821","4912464.269705646","4898702.220932805","4907389.2106915815","4929645.62455414","4946455.8258612985","4957822.485134661","4966692.880368531","4975437.353716722","4996285.472486949","5002843.731991633","5023167.195550371","5045419.215740992","5067867.245385736","5088929.907683192","5110593.875799426","5127979.569589066","5139829.26064368","5138950.549332989","5142181.355062433","5153485.368287945","5127551.35564704"
"1.2. Formação Savânica","5789.116128027328","5167.6067035400065","5739.042108123738","6019.201852831973","6626.776974658191","6485.757635766579","5290.125552642774","4234.182990826414","4107.368037744092","4211.809734094175","4258.174786602713","4786.441863659613","4957.188939227222","5844.257150469968","6931.774149560593","7876.739280896045","8832.57938058479","8854.1790764649","7187.494702777126","6948.482165448024","6465.88228178711","6704.514682690416","6944.532640191657","7577.025330706766","7916.990999407921","8288.385204223603","9151.119525299082","9464.636500671435","9182.059123602387","9441.53473397834","10147.232937530616","10938.666654016251","10919.058546447908","10740.365073779394","10036.924362329151","9421.22122700816","9192.25830866711","8648.331687762575"
"1.3. Mangue","17639.890368243978","17262.856144220474","17185.68584924977","17154.56255056819","17315.86542743595","18102.023253144067","18652.63310448081","18143.693121039574","17639.75045227121","17178.47097555006","16838.268570984583","16582.71135410212","16975.795252808446","16981.11933229433","17949.90471931839","19483.26821203085","19793.104978778927","20140.79216705422","19892.332999152455","19968.279461701324","19988.598991132552","19992.01829326265","19752.267364710347","19441.916029169566","19289.799253723977","19402.652018073324","19642.338069806774","19473.473041852674","19251.527344672508","19143.080415290155","19352.025629517462","19154.204906043287","18706.542265644104","18705.939710382874","18768.131774933623","18731.3224347359","20253.923223505477","18486.57330170981"
"1.4. Floresta Alagável","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.5. Restinga Arbórea","139860.80509974275","139086.57240308876","138886.85362894647","138471.69156398275","137842.44557595736","136779.62156450283","135413.98122902392","134803.21705602854","135238.0759746839","135381.38289956772","135370.5150979585","135308.15213778656","134529.99369773752","134297.092930045","133279.50580644817","133353.63933530383","132885.30674032087","132167.73804814793","131249.84476058563","132076.4121423148","133220.93849272552","133395.2199192712","133238.83671698626","133345.7130671949","133363.93598821547","133204.96830560936","133324.4521077703","133339.45074762078","134136.7391090027","134179.72630699415","134222.66456407862","134316.39729676812","134296.40732235488","133917.4566216178","133962.54702944896","132952.5318663125","131364.28017421562","129949.18919704221"
"1.6. Campo Alagado e Área Pantanosa","158178.85146232357","153122.59282506324","142112.21280559304","136270.95049663825","130651.72121886045","127927.83507042918","126186.90008884865","128644.83167568326","129607.84312959074","130313.49644424506","127084.8142046941","125914.99997984186","124979.2872883257","124393.35213246004","126186.35111927062","129871.26308181314","133370.00666119557","138131.07967277928","141414.40283996664","142996.89601619373","142037.85417379835","142894.96404824828","143354.41692746565","144270.10393105514","145181.305103077","146412.9214074589","148829.82987501353","152473.73596605367","155046.21438125786","157927.81683569707","158585.83875163962","160413.52958296993","164516.12500280087","167750.24168923066","170660.07123871706","175100.39079331778","173982.6554331193","178995.4306840831"
"1.7. Formação Campestre","30024.825089580958","27157.129834478546","25161.711278924253","24406.74878971537","23200.877766436763","22919.273594738806","21635.524014239614","22008.141504693795","22527.998776843277","23380.31073826276","23550.332509393153","23443.179531439066","22129.50781815802","22651.491461163427","23221.13825470579","24960.506914398105","25136.740698748716","26316.795860619866","27089.3233607786","27479.33566287211","27578.416765746824","27752.42292501203","27471.434550140082","27513.663580315813","27694.164678875386","27900.761292101753","28054.896703362705","28404.84393129857","28519.979211419388","28753.54495395471","28329.34807447476","28328.78718508876","28476.14247449299","28861.10443143877","29491.82272503057","29988.959519463828","30123.225053606886","31010.9342997251"
"1.8. Apicum","74.57062086181644","88.47924519653323","88.15572897949221","102.4699924255373","107.48414459228542","107.80982291259787","106.51593159179707","106.35433100585958","106.83678179321319","107.40150083007846","103.83942171630889","93.16284362182626","81.922799798584","79.90231182250979","79.33728685913098","78.04294534301769","83.9428313110352","81.02782976074221","82.15842979736334","89.67684035644538","94.28455648803725","96.22640208129893","93.07236123046894","86.84600222167971","77.78949161987315","73.90721560668949","68.0843957336426","59.677155828857444","53.37482449951179","45.53179383544926","44.480045269775424","43.590809600830106","42.69910508422854","41.15955354003907","42.36951967163087","43.25966094360353","43.34060112304689","37.682744610595705"
"1.9. Afloramento Rochoso","2327.751744232176","2305.8060183288526","2280.9249939575125","2260.8508426269486","2228.179714910884","2181.6411346252426","2151.0340169738793","2142.2055859069847","2135.9129740722715","2136.8867480529866","2124.7821121032835","2120.735338739025","2102.65541098634","2097.6518595214966","2113.785616711438","2129.7899798156864","2140.8704025390734","2155.3130244323797","2144.857811846929","2148.988583471685","2150.9143843444854","2144.043315576175","2111.076658636485","2100.467821533211","2101.2145949218825","2092.0152245910713","2074.444627813729","2073.0152696106015","2082.9541413696343","2102.01536834717","2093.718861853035","2101.7884295837453","2104.765202801519","2111.5555328308164","2106.7266948730535","2136.0121678039545","2170.7083108398383","2180.518414331051"
"1.10. Restinga Herbácea","6426.038466540618","6353.530508990555","6311.6249034912835","6255.761762310865","6210.408133026193","6147.544045117249","6048.391537707583","6116.480008142162","6183.717159607018","6187.127490588465","6163.984476019364","6134.102431738365","6064.961422955399","6064.390169970771","5959.713407330373","5874.306279150439","5857.338612402398","5897.3469485047","5918.240847735662","5917.441913391178","5858.85687908942","5822.420637036195","5877.004325341859","5947.183885607983","5921.6428817993865","5906.03109941413","5949.466193292314","6030.973924786444","6158.935638555984","6178.905404187082","6088.138034014954","5976.5519056397125","5956.297874542325","5944.508469580164","5939.755912841882","5934.665197052087","5910.606646765221","5936.000524945153"
"1.11. Outras Formações não Florestais","361.787682440185","320.9056155456539","300.4320582824706","294.8445120605469","277.3453241333008","271.36359192504904","270.80321735229506","269.34846103515645","273.95810603637716","282.3083997497561","283.11541712646505","283.52393284301786","279.07612530517605","276.8938741638186","274.62647625122105","271.2306210083011","273.0932040771487","271.5517189941409","272.60216984252963","275.927537249756","274.79416294555693","276.09364742431666","273.3485302124026","262.5869275085451","252.4690788635256","250.28482416992205","248.174593878174","247.60520842285172","248.33025972290065","248.97534856567404","252.13369299316426","251.97444110107443","254.08090197753927","255.78340345458997","243.46507319335956","228.09435181274438","231.90063256225608","226.74901097412118"
"1.12. Praia, Duna e Areal","569.8007848266606","537.0789429504396","484.5272399292","459.0716098022467","467.93964387817414","488.88633886718793","465.7647149475105","438.58982148437536","444.08569725341823","429.7820050720217","425.64416212158244","467.4868165039067","526.4714861328131","474.25129983520594","459.2831942565926","462.03241953735426","469.77826216430714","482.3732140747075","454.67368204345775","419.123727941895","392.062326464844","391.5598622680667","392.11254333496123","383.45775208740264","392.7533373229984","440.2306001892093","472.9858966186525","484.8703921936037","489.1518025146485","495.12056447753923","468.6893438110355","449.6133519287115","465.93321740112384","464.3169949523934","455.34236359253","455.4993341674811","450.5786153686528","451.78786443481494"
"1.13. Rio, Lago e Oceano","363641.1090727514","366324.1389973726","380686.0456862307","381369.36073569907","380828.1478496758","384147.7624007795","384241.0828303572","391187.95856620424","395927.5629524238","395175.8814318241","393863.6153627507","395368.123112328","395774.678601226","404176.8741071408","407565.27559310925","387075.4022440612","386363.15470274683","383313.82391204726","383158.2596074467","381158.6830470084","382775.5899241748","380737.1880735639","381653.811495517","381681.6797221666","382423.0434841849","386113.3411543263","385841.11280405853","384573.9025281417","386869.66130529565","385652.74248312094","386475.87876471924","390199.3987214651","385976.26150943985","384560.210346202","382036.6359636221","380390.1761350805","380489.0679175214","385307.9048756198"
