"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Natural","3370097.7034712923","3353780.5902100154","3196980.9995527915","3168259.5363192814","3147980.885916789","3157523.207675728","3172955.4271031497","3153662.7386911716","3119766.7112412015","3141374.059058882","3145228.030927103","3160883.9646993075","3203201.014361144","3184512.3491401263","3163258.5660303542","3137171.2310828264","3089316.7642136826","3088757.0621349565","3095537.1265895944","3136781.5153762707","3184092.23611791","3255583.401770131","3271864.433907816","3296524.263584191","3305224.7562595266","3229590.889284258","3192531.013763868","3072645.8243330973","3036257.603935989","3033902.8792617256","3036593.2584050014","3075396.036714572","3076264.008307156","3086670.9094445272","3087830.027917554","3090941.4184492817","3083973.910841938","3089999.113627143"
"1.1. Formação Florestal","78982.23932651144","71910.36666025071","70113.30954234621","68310.60784437944","64201.395030012136","63235.843605817376","63991.35555063648","61252.85438097718","60430.55023942895","70165.01758827022","70768.37557050827","68588.13901306322","70297.70861150503","66730.40226362238","63943.54075587163","63810.1805489875","64420.58239019732","64482.43394739344","64347.35628978805","64909.29916217535","63584.6896360899","64289.398326624156","65261.59894195532","64770.34441393427","64938.60106608225","64118.60092951768","63606.81926425316","65279.187733396975","66834.19460583618","67653.23556359901","67566.04320701279","69291.86388129888","69690.4532901669","71878.83348076703","73501.94367459045","73631.55393846288","74313.49648985395","77121.2280528309"
"1.2. Formação Savânica","3184579.140833941","3175495.136521108","3028259.130291609","3008411.6664633355","2988998.057829493","3001794.011270844","3014123.3970000036","3001750.813558429","2978277.2772205947","2990440.899193852","2992612.6553539997","2986647.2274706876","3023584.18813534","3017475.0801418917","2993976.354814125","2977092.476028424","2945319.6464010607","2945092.6386198867","2949924.911383644","2969234.6916996236","3018206.7123747817","3074091.723224779","3084344.932372946","3098887.6907554353","3113113.1273130225","3060011.4702865505","3021062.2364346553","2911192.152370641","2878505.52638579","2868678.6438236935","2871645.7797344765","2910854.760781033","2917654.193873995","2918722.316875154","2912783.2226032466","2906902.7560367817","2900217.188259846","2897440.1359617678"
"1.3. Mangue","11010.096571557096","11024.454947185817","10980.8767597713","11018.419427135817","11101.119539092577","11150.82894434765","11256.157116729133","11372.569063280549","11369.985675927099","11298.54936606996","11309.456911290898","11356.737028301368","11448.580251116353","11476.260166674248","11587.469194756412","11722.012641277503","11760.075092913274","11759.717055602478","11739.309119549014","11700.882500622021","11695.032152990183","11723.25743090156","11716.780124694289","11668.051574889507","11638.488212670232","11668.378026549632","11704.928371154117","11752.580203527174","11817.457136876868","11871.069413555357","11888.465867772904","11873.909999199888","11822.689667357847","11821.98217709294","11835.733648418627","11826.239143316092","11919.060416497274","11913.642861840284"
"1.4. Floresta Alagável","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.6. Campo Alagado e Área Pantanosa","9139.142565259182","7839.692227515091","6473.549525109969","5920.443344690294","5460.668228723586","5251.315413342713","5327.075733600259","5351.819692279448","5498.529870752345","5535.794471875402","5174.235189215439","5136.955063342603","5288.115929663412","5383.639179169032","5527.752501123426","5686.975966937687","5842.781908868841","5868.6491516422875","6011.736936786296","6042.708590094396","6114.511792895891","6257.425823089978","6167.355851636059","6191.143852405098","6192.384379278874","6240.829262109712","6244.685254809904","6343.572268793029","6435.762235858424","6681.735939526503","6804.816483282559","6999.112628729366","7106.649391711608","7069.305169012698","7134.198725085686","7291.84182647107","7171.114740741195","7191.122013415762"
"1.7. Formação Campestre","23373.127643023672","20175.2828505492","16280.988290704398","11903.424961132774","15909.258707087212","17456.904580267663","21617.615964722263","20038.204038306456","17030.063657966177","16072.771998341133","14965.601022333694","38496.925421208616","44543.90713848756","41522.6466278613","45483.843262798386","36920.67753959379","19982.449440637676","14239.875609032984","15480.321265807848","12455.799845397873","16749.94597147936","30862.262080915796","36425.48124953117","40309.48088792235","36480.19157433004","21134.875387329557","25133.505865685853","23825.965588715575","32369.582816072892","43390.810333076435","48254.86599022782","47899.143553113725","41334.73324752311","42294.78372555138","46568.15856086007","46441.88242851737","47511.95517998883","49671.45447290234"
"1.8. Apicum","89.73580621948246","97.45562327270518","97.98837036743171","104.20041275634773","111.2111162597657","123.5456410766601","128.60449420166","135.2610579711913","137.56916611938468","133.66445842285148","135.79380799560542","139.4334361022949","142.27476206054678","143.78355393066406","147.33365311889645","145.20440910034176","135.44054395141595","132.5121200073242","123.63721156616208","114.31835587158194","105.70688999633795","100.91192407836924","96.11970203247083","92.39189722290052","91.15048420410167","84.40522913208017","82.4528243103028","71.53445996093753","67.36334432373049","67.36325159912111","67.09640073242188","65.94209638671876","64.166677142334","63.01329867553712","62.48067202148439","61.149553033447276","60.43946145629885","55.11505762939457"
"1.9. Afloramento Rochoso","38.205453857421816","200.02179118652342","200.99932788085943","201.1770951843263","200.1989528930664","202.9531502746583","205.53013314208997","203.5754193359375","203.93069873046875","204.10903222656245","203.04273234863274","204.0201252319335","205.53038793334957","204.73084624023423","203.30924516601553","203.1312190124511","203.84233265380857","203.84297262573244","201.4437505004882","200.73272439575186","199.48863290405268","198.5111954101562","200.0218741699217","202.59860013427718","201.35471673583965","205.35350549316394","206.32891582031237","207.83987214355452","209.61674449462865","209.34948463134737","208.10549442138642","204.8177183898925","204.19557420043947","206.15047343749998","220.2782394958497","220.36706564331058","220.2782017639161","221.1667430664062"
