"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Natural","119743929.89106095","119708246.86787488","119135709.70005073","118654835.59624647","118529537.5863781","118272007.55322725","117881742.96542397","117236274.76186275","116675583.03380361","116189719.95751944","115356285.20027913","114674712.72807105","113924090.9355267","113253840.86747529","112705306.42878854","112136397.19843963","111340555.96900102","110637483.43075393","109775823.918189","108758893.09560202","108022347.3649283","107358180.85810702","106839126.55698822","106276778.25551048","105898443.72713602","105731961.54233377","105687764.95119907","105633242.09276296","105388250.7854618","105134399.67030053","104787291.03950252","104330482.03159922","103984699.0908872","103646436.81395972","103197166.50875287","102722385.86710903","101919519.19650151","101012736.22297019"
"1.1. Formação Florestal","107079486.18197289","106994363.01104736","106394375.99241813","105923187.68943135","105719065.75707752","105510815.46919039","105131330.1321696","104494083.57744028","103958376.08215503","103488288.57298906","102687598.51494695","102013159.72994404","101283229.26592942","100644021.42705774","100105162.45593931","99582682.21268798","98790909.0663338","98077872.19134595","97233122.27974696","96234904.62485018","95503854.75657934","94839462.86205067","94320467.2591358","93771334.21396895","93395861.44893712","93218891.36771014","93162828.83906181","93113766.18672624","92921150.73371595","92692552.18619643","92358661.33266973","91906768.3127023","91575813.59908456","91256157.60957476","90803687.40115547","90319598.78881697","89511689.76648405","88888204.6756441"
"1.2. Formação Savânica","636517.2200854071","640180.4110241316","642002.9888076684","641927.6610159074","644573.0652422917","643476.3546242268","635610.3438919189","628325.9173490038","625164.9727332704","613411.991485837","607820.8569941049","602926.7501443734","601529.2620396701","587413.5853885787","580735.0854954275","584745.4363318407","584391.7026538446","579907.3761810764","570125.9554825241","558621.3393810479","548384.900517839","540006.9099618442","533719.4392946288","534045.9722321633","541522.5118359649","542487.6564646207","542260.6046067374","541189.4387651347","540354.1594201575","536032.3440432188","532042.5913474245","528575.7072915953","521029.79277860106","504120.656293677","493574.9740420324","485132.06471551023","473141.6968895001","494941.18284018204"
"1.3. Mangue","228306.52310133004","228865.0271932668","228477.08138426542","228517.27679660654","229381.1029602709","231351.76346671968","233512.66165783172","234503.58628254486","233701.34940661973","233702.0712535732","234373.71454216435","234493.6743174019","234923.62688793463","234733.20150139352","233267.29650462902","232825.2998950833","232182.45238796726","232390.73332258695","232706.59121989584","233175.9195254341","233134.68745454148","232376.05574253516","232028.87011151115","232321.68391874828","232355.46733124217","232152.39831212448","232396.72762124366","232696.990807843","232756.59487746656","232460.50993452698","231741.0303134758","231111.11363463523","230738.75856830372","230815.45476743084","231489.23872298741","230967.94429813084","232857.10422273996","234120.7851704372"
"1.4. Floresta Alagável","3542414.9455673113","3551961.782547666","3523981.958261665","3537079.005908816","3504079.681027047","3548944.928899651","3530414.4193381327","3489449.494630203","3485320.704909493","3496522.2764653387","3470687.2328880527","3434186.1936547677","3405192.9287771177","3405198.3059128826","3390243.4125501364","3418256.309962167","3420979.4572243146","3417433.8860597615","3422576.8940211865","3409004.5887635415","3425030.8537917184","3445072.7022676356","3459022.195972061","3449366.7889073114","3425787.1536118016","3435178.014707661","3447558.0955175925","3456276.1237723725","3466863.2984107","3465694.0469843037","3460007.245715986","3455412.694980619","3456245.4080626653","3451399.970023576","3436090.3430562103","3435949.722720971","3449323.958215255","3488269.2462402023"
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.6. Campo Alagado e Área Pantanosa","2126886.8722236855","2398400.429490626","2408202.853874162","2450408.6219077646","2511312.159066296","2415527.2918260205","2419494.28289943","2464950.1366196857","2422032.1167509016","2511323.2632801346","2429604.455806457","2372046.178641477","2286451.7389894156","2379839.916336094","2353883.1092009908","2405297.8679773123","2387479.1984449364","2281783.6259975275","2307585.9268153333","2269586.512536839","2178477.3337375843","2215084.9093746115","2258178.6301497035","2315982.3934610668","2270021.484833683","2503765.146518171","2514212.2839914085","2336691.92232024","2055596.896429365","1928150.8554127612","1737757.4718630146","1726965.3765773429","1705054.4655639308","1853287.3160186766","1996624.4759934866","2080228.907527539","2107565.937389468","1835206.380365379"
"1.7. Formação Campestre","2031633.0182321821","1642394.6217365733","1598107.4500962165","1467541.5929196118","1481447.0783803202","1500494.0453250145","1473201.326805354","1603570.358808699","1480502.4740494296","1422461.0080176552","1576412.853164067","1539726.2688542912","1596872.1913786617","1528001.0433341598","1389287.3263282257","1477305.765230269","1519695.352917909","1562285.8117919744","1593152.7961998014","1659202.8616678442","1705005.577477151","1644956.3779330326","1525752.768720513","1501410.1993066566","1531782.938997157","1370387.2542105706","1343241.7136069154","1464914.808685261","1719632.1063016872","1839211.1980370309","2036039.2133804387","2175077.426534983","2137562.3723466555","2014105.3660675273","1871136.924860364","1847382.3913901218","1769897.4825955327","1512494.593625113"
"1.8. Apicum","1432.6732369873068","1475.8505390869163","1468.6993189575214","1488.4598560119643","1497.9367980957052","1555.1442294494639","1857.267943121342","1880.3309514892617","1827.594092510991","1806.1392986938536","1793.7138830810604","1784.2385754150441","1783.4350163085994","1854.9477155883847","1985.6324229126037","1890.6147965209968","1836.3602349121106","1806.9547648376474","1818.9316234252929","1795.0652897277819","1741.2513679199212","1752.421890197753","1750.2745929443354","1756.7998858642563","1722.654379681396","1611.546321887205","1468.7063350769026","1339.5415314269992","1211.183689678954","1159.7850729980455","1135.7399932617175","1109.7285185852022","1080.4986125549276","1055.6494924743608","991.2017266296367","978.866208593748","980.7433058654766","894.1284185913062"
"1.9. Afloramento Rochoso","205431.02250004982","205296.92831978854","205191.95209613736","205122.8569640146","205087.61632817486","205055.78489655242","204947.23325858254","204887.6537920603","204825.77582868133","204713.17330629972","204675.67003909388","204582.50720197224","204517.86683034146","204480.81133106173","204468.68110420628","204442.5411240854","204430.98700151464","204421.10955642778","204420.98610481652","204426.87762331025","204362.86613574316","204353.2775788217","204328.315958619","204311.3532995614","204320.59502675873","204315.62388391813","204304.86475570168","204306.70038485815","203897.08244482524","203865.45310888143","203766.88167461642","203747.99166093845","203751.13185009852","203748.10124119962","203758.60026613268","203762.75478143425","203690.20422803456","204407.20110889975"
