"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Natural","5798165.847068282","5751363.150327597","5668519.102275601","5625005.603178195","5562287.935342219","5454388.636018191","5395270.640551723","5331544.077334683","5269209.243537516","5251700.555971105","5201168.332774436","5215478.78023133","5199318.3321761945","5176448.131028723","5210713.769499458","5236040.781051748","5270200.545514014","5297685.429987973","5252102.827351783","5252576.483269365","5226059.522485511","5205191.021375888","5208874.318643825","5190267.677412315","5181437.292500888","5177436.666767645","5143816.640624626","5097348.311033412","5092303.911668064","5011549.000792341","4977176.7254130235","4937935.520253965","4890711.923623215","4915187.788586734","4908791.89794944","4918288.575083709","4913896.259362095","4924108.173568849"
"1.1. Formação Florestal","357808.5170369879","334229.57928299555","309265.8258914928","298241.22586384526","287855.3582512692","282126.1946783688","276856.5816189675","273164.0940135876","269860.74511531676","270889.2827625558","268804.03022420936","267988.15318650467","271595.22130003176","286615.33042394585","295171.1967314566","300824.38971374684","308822.50428042817","306926.90385592816","300620.20298250916","294779.07030594704","296893.3741927458","299135.0477253031","306100.46897204703","307035.7380948682","306543.4732345777","308107.52821376844","311056.7727209175","304337.1758687993","302743.90485327004","310329.7897657673","307925.83909355284","313604.3400317024","318054.22430033644","321687.8782037721","332132.4155858362","335763.3780460919","341421.4308281989","355985.7159989779"
"1.2. Formação Savânica","4786067.526384515","4773483.819089069","4782002.202902469","4812426.982011643","4762728.283668295","4663169.964569586","4603645.525079155","4510460.714963215","4444711.93439927","4426026.986598339","4367080.1737956535","4396259.538492989","4413525.748399338","4377909.450790932","4407446.07239193","4433070.6197785","4450488.868825688","4469131.484883097","4420449.306745939","4413054.267149621","4388964.87849271","4373139.058514592","4380530.85538712","4366124.000291855","4368933.601699442","4368192.666392815","4337725.86839297","4306091.67295422","4286195.422217228","4219945.706019883","4224986.1167016","4200580.041306302","4173423.4167309194","4190087.7884707055","4174692.369537604","4170983.051405168","4160134.9472248154","4149023.3048427333"
"1.3. Mangue","13008.138520654307","13174.334936791993","13158.197832275331","13304.257648938034","13351.818827386482","13427.26580874636","13468.197418432632","13600.937953686423","13388.53342412112","13097.453826617428","13342.555840502962","13658.339475054932","13858.801492285163","13789.706327642736","13810.118186206037","14032.925940362546","14233.603722851532","14338.120906854188","14457.682435412513","14355.3302828125","14336.011329736271","14354.147620135416","14347.155121899348","14345.076022320573","14441.993674902353","14584.770764391998","14683.596821349965","14724.055796960338","14753.617383575323","14803.924735192732","14847.110722802634","14827.620542553623","14817.914072570722","14794.546601708907","14804.899218090748","14818.015519470131","14931.889407110491","14903.416784875435"
"1.4. Floresta Alagável","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.6. Campo Alagado e Área Pantanosa","2234.82188266602","1993.3675780944839","1304.397897766111","1159.7015834228514","1083.4619660034182","949.4196772888179","856.3493310363764","819.6843299316399","741.2834888305664","736.923810809326","684.3044410705567","714.5898313537597","740.1516551513655","741.910914678954","749.0534834960935","895.0474677307122","1013.0929754394517","1063.349942022705","1082.8277842285147","1048.3263267517077","1077.2881604553195","1134.0929641052207","1180.1111925537052","1236.5726176940875","1247.6409545349072","1226.2275984252892","1169.5276757019012","1150.560624230955","1168.5655349182105","1236.6098553222635","1255.357562304686","1261.9158006408672","1274.5497284851058","1348.3715312011673","1416.8599161926209","1486.5065169372506","1489.6767271179142","1566.2115036193793"
"1.7. Formação Campestre","548040.8536751538","533073.1701405729","469591.3087862048","372355.143386473","367738.51117780793","364505.20096674806","373494.25343278446","407298.57252420974","420854.6486591741","423002.39298466546","434851.12807669485","420541.75892664946","383343.1722626069","385744.5726777345","381477.2219389165","376201.3752182024","383941.96578999923","383584.6068073624","395019.3857892997","388044.53180434514","388065.23180159007","383902.6597606311","373357.49890576204","366731.63840864075","358038.70319109043","356842.7527513489","354961.4839545282","357387.36712508905","384675.39979565266","366452.22461721196","333375.6748106009","312131.1097383904","286327.51038033894","286123.00700196397","283448.62507058197","283352.72735077795","287454.57907940965","288963.72925571003"
"1.8. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.9. Afloramento Rochoso","142.95605178222678","181.1999035888681","206.5172628662117","212.5363510742193","210.235047460938","203.9504291564947","205.1015612854009","206.87222130737348","199.70288369140704","171.81974023437533","183.23822332763743","192.3547758422862","202.53369428100655","206.07458342285224","204.65881397094793","203.5081537902839","201.91482434692452","192.08900609130936","189.87607160034284","194.47952441406335","189.07977081909291","174.82785940551815","174.8277077270513","182.79421900634827","185.18407571411214","184.5642549133309","189.52063247680766","201.11744553833088","211.6510438537608","220.59139570312576","218.8209370483407","218.99779058837967","222.09590704956122","227.5839473815925","233.4261339355476","232.54093065185617","232.98355224609443","232.80654716186592"
"1.10. Restinga Herbácea","3.806174731445312","3.2754931884765623","3.010132000732422","1.4179609619140623","1.4179609619140623","1.4179609619140623","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.11. Outras Formações não Florestais","43.29080265502928","33.37377237548827","17.876196832275387","9.822385021972655","1.8581890380859376","1.5041697265625","1.5041697265625","0.7963249328613281","","","","","","","","","","","","","","","0.7089027709960938","0.7089027709960938","0.7089027709960938","0.7089027709960938","","","","","","","","","","","","0.885267498779297"
"1.12. Praia, Duna e Areal","374.79298020019536","401.18043084106444","473.07628093872074","492.10941435546897","491.743055566406","472.5157368041992","491.2685312500001","537.7423477600098","559.8801601806639","573.7913084350585","552.4726376831054","525.1365087585447","532.9204419799811","500.1831903503418","475.3119538208007","452.7354457275389","441.30929629516584","453.16114498901356","486.6935451721198","496.6944710754392","477.66187215576156","472.965922869873","471.45676343383764","472.25265324707","479.15294900512674","488.795386340332","507.65244197387665","507.58086552123996","453.86970245361306","388.37391123657216","364.3907162414551","371.1972510681156","370.9234402587896","370.3035591735844","351.18633532104485","348.9739064392089","347.64638550415026","347.91127575073233"
"1.13. Rio, Lago e Oceano","90441.14355893589","94789.84970007962","92496.6890927554","126802.40657245717","128825.24719843034","129531.20202080254","126251.85940908438","125454.66265605157","118892.5154069306","117201.90493945015","115670.42953529365","115598.90903417674","115519.78293052064","110940.9021200162","111380.13599966094","110360.17933368773","111057.28579896524","121995.71344162825","119796.8519976222","140603.78340439723","136055.99686529828","132878.22100884694","132711.23569051182","134138.89620191348","131566.8338188507","127808.65250287138","123522.21798470721","112948.7803530522","102101.48113711143","98171.78049202407","94203.41486887251","94940.29779271863","96221.28906325733","100548.30927082562","101712.11615187896","111303.38140817385","107883.10615769215","113084.19209252203"
"2. Antrópico","3920930.404816386","3977741.8457797924","4068501.446879326","4124297.453517141","4192242.9850527863","4300387.734530361","4359263.186445861","4420329.3473607395","4481092.654867129","4496333.9503558995","4546849.902193192","4535959.103997137","4554951.231438684","4577792.65676973","4544061.146052174","4520994.052523492","4489235.977335468","4459120.076965644","4500445.875776976","4494710.0302638905","4507356.599170528","4527923.243801026","4527756.256901117","4543517.536840928","4555175.010703903","4561736.852733675","4598963.6046007415","4645958.96842654","4651355.418741981","4726757.454232596","4759826.628776833","4797448.679826742","4834212.27241269","4803632.094415866","4813183.179732538","4805512.1000702875","4816236.235018636","4804819.63190714"
"2.1. Pastagem","1930055.4501256214","1972467.1118115573","2108000.7127149887","2252226.5744137377","2402933.655811445","2553102.3393549067","2670479.6666491264","2803358.873602381","2903120.637649109","2924696.2361810855","2928582.7024866045","2948038.7836937136","2957133.737899665","2988597.9337724755","3014186.6386942775","3041245.56572676","3050150.3336881436","3022396.607382555","3041578.29636687","3030283.060538124","3026710.806576644","3019436.2710979","2956145.361660375","2955289.028425934","2967763.0739774005","2996270.380421956","3053468.6894041845","3153915.4572669594","3197718.818042612","3258161.021777478","3265526.4787913193","3261743.280521106","3275265.2813514816","3190449.8464835403","3127484.5592123275","3058799.4094698345","2974055.1067231214","2903318.086626545"
"2.2. Soja","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.329806127929687","","","","","","",""
"2.3. Cana","249121.26016357812","249294.23435352911","247563.70913063397","246663.53982789768","246781.68395291","247431.8369926221","247630.78589088895","247509.12233349672","247077.722669127","246591.2577139766","245867.60246835556","245835.27856153646","246400.38698277317","247325.83008234407","249005.19205527235","248785.39974248566","248359.16258184175","248009.3040299913","252486.36389266263","254034.98984215388","256028.58999053802","257152.07389824954","259460.2130477939","257324.59959193307","255741.72296243274","255520.41429317193","256238.3973602765","256162.00149400992","252643.97690279246","252041.891723526","250813.7577552488","248911.20366714703","244583.09683058105","244132.5331418159","244052.69352706932","243883.0767101194","243946.93584920693","244105.63756280043"
"2.4. Arroz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.5. Algodão (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.6. Outras Lavouras Temporárias","4269.740219921914","4038.7682674377857","3802.6808706482243","3853.737158306838","4538.194003088342","4744.5580718871315","5089.108563531431","5618.947894195515","5943.556579382311","6538.187260589562","7263.974539349341","7465.62212910158","7183.8863331298835","7259.693937530511","7704.300080920362","9540.600988781685","13581.674981512446","15589.275499835156","20459.899621789504","26432.24734952409","29842.70154695476","36010.32029096765","43312.23520193594","48249.07546157917","53113.85364303682","59616.545620283185","71812.6164737494","85618.63263549643","87934.4812117775","94663.11692751845","103720.01088838532","104648.56095263934","108546.77579753508","102167.3867772132","100804.73215419088","103688.98105475832","104987.68172271524","105190.50504929005"
"2.7. Café","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.8. Citrus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.9. Dendê (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.10. Outras Lavouras Perenes","10226.583059094286","10440.894595532282","8311.172656134086","6390.325317327887","7752.000998169021","8516.263008111662","9516.032527471962","12642.026333972337","16860.154212665104","19871.856657044027","22446.835356281026","24732.785159137075","27039.82524654585","29313.188096204824","32485.262120973744","36041.58165945112","39584.60679024887","41609.16071604873","43579.52450995833","46114.766732681324","48427.524638315444","50104.06081416979","52240.06120605785","52573.31658749099","52698.475471670485","54011.11178093557","55460.076515","57277.919491714725","58692.87361536549","59991.96135956106","62478.17248905361","63163.875542648624","64065.0956775621","64431.294472000845","68360.08062042519","75680.75184936883","75710.88017753659","75614.91476816757"
"2.11. Silvicultura","2.8342638732910155","2.8342638732910155","","4.786012792968751","5.938239550781248","8.862965429687504","10.103443518066408","8.15359330444336","10.457031427001953","16.748009326171875","28.62120736694338","71.85418665771488","78.94218999633793","78.14292177124024","66.35711668701168","37.03557966308594","38.0092978881836","37.74476090087891","35.43965953979492","29.415009741210923","32.24955209960937","31.27427368164062","31.360625421142572","32.1575389465332","31.271254266357428","37.91290819091797","43.14022064208983","42.87560109252929","66.08050336914062","72.81125943603514","76.2615838684082","79.89593686523435","94.95187599487309","91.31620838623047","102.29571818237307","128.33800779418956","296.5757221679687","298.34469556884756"
"2.12. Mosaico de Usos","1704862.2057226086","1714345.0215543965","1671776.1406305784","1584465.9665391953","1497544.416637094","1452700.1692524736","1390878.7082881324","1314337.790146113","1268024.2814502898","1254455.6373477676","1296309.1402617057","1259215.499394957","1263904.434582796","1249741.498876695","1181817.6025888892","1124756.314078565","1074817.0172631547","1067278.3151001025","1075739.1862766063","1069852.7865681534","1077001.724563332","1094420.32381175","1144742.925841131","1156685.1642600554","1150744.2957646695","1117970.4436724598","1081170.6082764785","1008894.3757957653","967471.944422342","972301.6390483066","985209.3901512432","1024823.8611793622","1044418.7297476375","1099344.8769709994","1166377.0203217827","1215656.6075496017","1308969.515583372","1365194.8584701698"
"2.13. Área Urbanizada","21997.73059907234","26679.622346374497","28574.503141320747","30157.1970048951","32130.352838574323","33283.221048718515","35020.77541551552","36178.40130766641","39375.58430625651","43468.89978129946","45721.309351074626","49820.26186089519","52234.34718519317","54234.92375417492","57373.021019110536","59112.12522368852","61148.282323212734","62568.033897407055","64844.60096472283","66166.42478964964","67468.02927261464","68855.19794168799","69840.6751027108","71348.62308319207","73022.39738906392","76164.12311932533","78593.62644413582","81837.54003888137","84578.46691115909","87286.17380725297","89690.8872680073","91747.11978473068","94882.12608721502","100669.42992534381","103547.3076262105","105135.12748770317","105571.33120975504","107948.57668089823"
"2.14. Mineração","220.29948665161166","237.03038599243206","277.5847345214845","318.7606894653321","344.69972160034257","395.96821444091836","437.2970019531259","494.5609690490732","517.2207190246581","536.0729398681638","553.0705814941393","584.8590571166986","618.765435235594","661.6249402587874","695.5315317321758","754.9327268005359","791.1385264038059","808.5734681274369","828.1342842773383","844.1549249389598","871.8769924560488","894.1026952453582","927.7469923583952","950.1520162597627","1000.4366996398836","1079.7023245483292","1136.9134449035585","1202.6312023071278","1255.5988094299323","1287.0396432861337","1316.609492443847","1350.1721390930147","1377.9829357177723","1416.082094085693","1522.5009381591794","1600.477108587648","1633.0845378723136","1927.5442982177783"
