"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Natural","22048989.478582818","22025244.230734356","22002362.057843674","21926507.22560834","21831395.49992224","21745507.531036466","21680147.60525025","21623207.998092905","21586005.960973293","21556584.421782378","21555463.56574626","21581068.843322463","21598502.00914221","21561259.49324441","21544950.99768776","21533914.815440983","21504000.288931727","21505245.213447127","21460415.56785738","21340730.277961943","21244747.35546973","21220832.132652346","21134115.294262275","21121330.521169547","21116304.718973517","21080973.554765098","21028509.561443392","20837240.419867124","20679854.424775302","20514155.320538267","20355066.250715714","20314304.399409764","20198817.7923628","20051018.315791953","19970117.689841922","19866399.6768708","19778824.306822564","19630808.170251984"
"1.1. Formação Florestal","2577216.5480008186","2588285.1536182268","2604642.651951854","2607837.644741894","2600684.9149182546","2610855.920986961","2614833.9860769976","2589352.066815735","2584567.583965492","2558386.4871624517","2567182.3378294283","2582372.545248384","2574425.775278896","2578594.507857248","2544886.5183843286","2539674.705742796","2543629.148477817","2532540.1562239765","2523195.096046034","2440227.8564913673","2428744.779192217","2370107.6751274327","2309357.31468157","2327509.971750843","2310963.562625466","2302388.6573268124","2273467.9279800397","2249566.2742662802","2238654.9319654773","2272486.939933776","2256136.7092601843","2265339.246837881","2285400.2936957977","2326826.405839109","2250435.377492135","2262381.4708976448","2285303.7580007124","2296262.5001328858"
"1.2. Formação Savânica","18399415.327670444","18377284.115617607","18406106.554807298","18347858.565571006","18295092.671271116","18205332.320463143","18155459.989183318","18101297.29790159","18078269.349344548","18143088.10235756","18156832.173349276","18184829.806306366","18237473.39840872","18217172.655067977","18208916.450667053","18188775.22628544","18123657.168102607","18049582.306264766","17959214.85026207","17923797.655283347","17849453.432856426","17884673.10674216","17928999.2103261","17862539.14466519","17852517.80435334","17825749.784493636","17749389.364837594","17546237.675416525","17361690.73733623","17184529.448839072","17141482.54684763","17081532.856257923","16955613.21006197","16731050.390833564","16692881.078026533","16574342.991905842","16464548.0014125","16302256.774985708"
"1.3. Mangue","5048.809535095212","5119.879171075424","5113.89706666258","5173.807391912801","5173.35987335811","5198.001612286327","5211.928722015318","5209.876690179387","5214.162930529736","5218.449490368615","5163.719088323952","5225.862074444531","5304.7018212157545","5333.808116717465","5354.254030316103","5407.468082311973","5412.200197784389","5392.02122388911","5368.539563415468","5357.825247454773","5356.398633288516","5368.007505041464","5395.686455126904","5399.972682550004","5400.2410637755975","5413.007788891558","5470.149881323182","5521.1321967833965","5555.506297570765","5562.826621575909","5532.6490988464","5535.594272973615","5493.363643188434","5496.488624871782","5514.702099029499","5531.576076208475","5593.090365673838","5531.220558019982"
"1.4. Floresta Alagável","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.6. Campo Alagado e Área Pantanosa","56399.46034677721","47496.81316454469","46049.85193322742","45673.77777943103","45486.593368121336","44480.68287227773","44317.06313007187","46485.96445173928","47548.5191401183","47212.837665160965","47027.74302633066","47335.41017405407","46551.58790613392","47749.0222743166","46821.745684240916","50578.026764764516","52598.57955619518","52041.90865891117","52201.69733860487","51163.76334346317","54006.91537395653","55121.534413696485","53442.81398604142","53123.523476434435","53199.10380777607","54869.23156067511","54942.7767064698","55338.332859045455","56645.41636185909","56888.19603287959","57886.79320719575","58223.975786028794","58879.69116740688","57931.21339078948","57811.46154697241","57735.70207357748","57132.31298574188","52996.43090690899"
"1.7. Formação Campestre","835817.4507176717","825971.929636003","768334.0560038179","749424.0520494519","716409.5108991546","712831.9332845194","694489.8437371523","719832.7947780263","712847.15280123","640592.813325468","617232.6769611397","598528.6844945981","571786.2133478785","555173.8992775369","576935.8146952176","593676.4068214628","624049.0131634278","705884.6709089439","759210.2148296405","751902.4740813853","743879.6586524926","742851.3538863603","673403.9695236173","707425.6126661876","730546.0826238453","734499.4697627288","788010.4578679587","830944.8751997416","872251.7506763093","850405.0390817543","751609.6739405473","756540.9115128007","747709.7016831238","782166.6684389244","815287.2908594408","815809.4955986001","815882.877995559","816959.8262660352"
"1.8. Apicum","1985.9482921386932","1981.0384019287362","1986.127347625754","2016.5719846435763","2006.1258000854714","1962.8250519653534","1921.3991603943246","1924.7023773743067","1907.1138579712283","1883.9901645752416","1866.8485775512925","1856.0451381164733","1848.0992381164767","1844.5276489074927","1929.5218874023565","1971.7508024047952","1977.1078346130525","1931.7536714172543","1903.6306102661456","1850.6872221374813","1889.1670458374413","1927.110614141895","1960.4115910034516","2010.3194202148686","2073.707951721214","2065.5831489196976","2014.8723351806957","1937.1999200684047","1913.1835765076148","1918.0048830261696","1924.2545520630376","1939.6098919067847","1946.0376533874985","1958.983101367219","1953.0900998169272","1941.6623126343197","1926.841589923142","1815.4198291015962"
"1.9. Afloramento Rochoso","56402.91997326949","59583.94279123236","59723.581599405385","60339.67990800512","60392.93243591078","59759.878214767785","59955.68596584837","60392.78505989708","60342.64237624242","60143.125077262026","59948.14920025379","60728.70638851053","60984.47631990704","59420.44649907682","60869.79609022553","61264.953779459014","61417.42240638164","61601.7975145054","61712.1145272006","61485.606512583174","61140.21317297674","61187.93215723581","60949.810191976925","61084.25588844964","60693.939367331484","59958.28819668936","59727.28637370369","60229.07834056732","60691.431505765","61710.0395837314","62098.162492813346","63083.12701163712","63057.599522464545","63408.63067293475","63856.64774449803","63780.82721125827","63743.99868470173","63642.62192254348"
