"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Natural","3077488.033468796","3064740.812481125","2976617.89721242","2820304.124638657","2756376.597381989","2739376.229219556","2727242.2039434905","2689702.2052159165","2677157.2315469645","2704258.439109364","2774002.569987026","2854592.193604551","2893953.0509501784","2856874.766539401","2800772.389851604","2766222.649692069","2687980.2674095053","2649298.7578919097","2701612.097903808","2716889.2473925273","2779180.6515227305","2862823.6833824087","2892032.3565380266","2953724.43495914","2986426.621543958","2942821.196057367","2924227.92762726","2844231.3072423525","2789755.0257668598","2781036.381819677","2766245.618622231","2776345.606187871","2757613.0413753726","2789488.4157967437","2788014.2451298507","2787677.930523162","2782241.3075614306","2790012.74620661"
"1.1. Formação Florestal","92133.63355984431","89748.33617640927","91187.22455173277","92639.75432329666","89527.88306890821","89223.8117517025","92716.13028760992","81840.77703131696","78771.52037058718","96203.86235562158","88656.82222170387","85331.6339523375","86332.4810885682","84320.80758983202","75756.53882386489","78267.6324476867","77806.142620355","79014.74870073822","78361.90831299391","79135.34892441945","76960.87489149766","74457.80555197712","73483.74673832938","66767.04983695043","67157.9886759823","67411.07168397175","66781.21621199299","69822.49571053432","68167.24327520722","64763.66788594924","58847.98492250906","66409.87620975946","62974.70997279684","87100.11560084822","90141.31836702235","89997.48245911823","89514.60816683913","88646.38651795013"
"1.2. Formação Savânica","2669132.308545673","2654659.1688247705","2573530.635768427","2427085.501300512","2355246.598773215","2339576.0092526744","2316200.9111465667","2295277.733631466","2300523.3863577447","2307431.6677103783","2373920.9497105074","2407220.1369835436","2431716.148499661","2411454.2594286823","2370871.7677963944","2359023.758377744","2333513.482721478","2313938.0145527017","2366455.1200277004","2352822.6781764813","2413902.161681583","2485985.0745550254","2515256.796666351","2566245.155541154","2603074.639039153","2588633.230261136","2562953.6018324574","2459383.215814232","2409634.619063727","2406972.2499466217","2410972.5874051815","2432600.3438474704","2439664.631283363","2439006.4041459407","2427975.1317854817","2421786.3475698936","2416178.3957739896","2417071.0719341952"
"1.3. Mangue","11123.678979449778","11563.849171881366","11491.605229437537","11895.267576532178","12069.642927929788","12097.113282959184","12086.785426855755","12234.449465576534","12559.863431512535","12592.550759191994","12964.312803094348","13003.314726537943","12729.305699542238","12920.279411938442","12944.256055786122","13128.019800244045","13281.032055700542","13387.00994484856","13450.171960205005","13554.218105871525","13617.155926641768","13595.612850750626","13565.166492504817","13369.08061561888","13375.780930041441","13577.467250427178","13752.880169805736","13728.383965368503","13757.795107775706","13748.594971618468","13582.773196972525","13286.62114206538","12970.568731896885","13025.060397125157","12984.805002343668","12998.292692596355","13149.371150823861","12887.087525237916"
"1.4. Floresta Alagável","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.5. Restinga Arbórea","637.7163858093248","537.9759172119132","495.5154035827623","492.73529191284086","547.5056720092767","540.2969969055166","567.7782189514149","639.4091406555159","786.1293346374507","856.1643391113273","860.3438718872063","860.8779578369134","774.7624553466785","779.4836764099116","793.1000465576163","758.8485316650385","758.6773444213859","794.7852923400866","836.2468000244139","850.1245570922855","865.247763641357","858.4811235717766","848.4237050659173","848.4237201049799","847.444707843017","835.0839403503412","859.5487487976067","887.4907099853507","896.7430585082999","932.6900297119131","960.1034523193352","977.6275573303217","994.7979625976554","1000.0440476867668","1038.4866358520494","1062.5145981994624","1070.7871338745113","1075.2439253417958"
"1.6. Campo Alagado e Área Pantanosa","5455.882375256337","5313.82610238648","4262.476470770233","3709.3513934692296","3525.8688110534576","3379.6126127014036","3447.412977917472","3401.8197247375406","3446.015442047117","3720.1659625366206","4028.059660345443","4011.889524169907","3423.522502105709","3292.441084173582","3151.1146998474146","3150.947498242193","3187.523522277839","3286.163020758066","3379.079016790782","3471.7328160461475","3523.046055877684","3532.049256921379","3496.75257764283","3531.9707121276942","3543.262064379888","3403.6773084350684","3435.4705822204673","3406.0189621460054","3463.455387030035","3505.815936505125","3573.3806685913123","3645.84835161134","3731.402108581551","3840.92965731811","3931.3632381164657","4015.4486564331023","3983.4559617370523","3930.996752349852"
"1.7. Formação Campestre","114479.64994519525","107104.6861401448","105364.25801193263","100003.83964215011","110805.07463705735","117786.57827980319","129746.78855638327","127222.18075398754","118878.6357508651","117668.0601510611","125579.79021617983","172766.9532927244","190075.64776531263","186235.9657489338","181996.5606166121","159190.14778288786","109328.30673666121","82093.3517771853","83637.72762917365","78804.53456542327","91002.29657892858","106214.24696074626","109235.97283604246","117551.91551094771","113282.67158740858","94592.44883576277","103233.65305414691","132920.74728603114","144985.659314596","150525.50770303106","145006.76511280797","128908.9957792675","104299.16850943971","101857.18692046765","109969.63518288892","110540.54462281238","112709.83154339995","113862.02007129259"
"1.8. Apicum","5445.05553656614","5566.088208624248","5549.35279340818","5577.23086663204","5563.655357556111","5620.750223651057","5645.8763552794735","5588.686086047299","5590.151796722347","5424.423217474301","5432.834921758972","5472.281700793404","5472.0245207030675","5507.114525537031","5670.945379235759","5738.872009368846","5774.385302453537","5485.38167588499","5430.645637670895","5409.699713702376","5443.997092272924","5442.1983010009535","5373.669795104969","5337.276329565417","5298.384358544908","5277.4181251586815","5268.763762414552","5251.402948199452","5287.310267126448","5298.007058288568","5296.859006689462","5316.809550683611","5342.614214605713","5424.458555920403","5432.126787652586","5438.3627886352515","5411.031916992188","5170.923849066141"
"1.9. Afloramento Rochoso","2953.5239097778344","8130.138567523232","8139.290587957801","8076.6189124450975","8076.443710253938","8174.674953241007","8348.550022522011","8469.70437908327","8460.456813458268","8383.549936389178","8313.226098742689","8339.450701068125","8356.95546747437","8405.950272729506","8449.958224768085","8480.538232611081","8557.336057745382","8572.45000871583","8520.09948662721","8442.2331852234","8328.982953057899","8296.631523474174","8328.636425701945","8392.454737896758","8381.422574047878","8497.963583056671","8467.39025253909","8508.723667749058","8480.984225250284","8508.531139038134","8511.025295245408","8563.55193739629","8574.66786157841","8611.203190734894","9102.768180255287","9107.92360047013","9109.610619879302","9103.834334546053"
"1.10. Restinga Herbácea","20984.120407110287","20405.665222576907","19423.53038590687","18816.93137405382","18455.028839562896","18053.768185949644","18031.845627697683","17965.189756658863","18156.387068395936","19173.252067162754","18825.54451174914","19646.180467584167","19407.01892960197","19377.31736461168","19435.651023907354","19812.01375496779","20153.00640327703","20165.688449535457","20203.126846508294","20425.200622979202","20491.288966375323","20215.50546686345","19725.034155914163","19621.170893285962","19669.7725944944","19260.856863158922","19035.70176989118","18494.27865957619","17818.363761730827","17384.959376556282","17361.368468841385","17559.43770588962","17693.83969105199","17696.914970025435","17363.37279405493","17440.20893861662","17850.15535996068","17708.556342858712"
"1.11. Outras Formações não Florestais","1237.2877865783685","1056.4158261779783","813.7710044677742","592.8043911987297","514.9572124084466","489.53633961181566","481.3598851501464","485.44906942138607","498.2503578247063","582.1543412231431","605.2708781616205","616.2056276123049","573.5326567749023","554.3376984619142","533.9869222167978","537.7301797729497","541.9086140563968","543.0638268859868","541.1969010131845","545.909060253907","539.7759708435069","526.4395428222662","504.47236416015755","492.64644010620214","487.2227463745121","450.4148682861321","436.46103856811453","434.41640480346626","422.6824837951657","406.6779584228502","398.9424713256824","391.8294926025379","367.19847486572064","362.93211243285964","334.3965630554193","324.9755610778799","343.1971424255358","352.4317639526358"
"1.12. Praia, Duna e Areal","42149.31471549036","43039.70347069044","43933.87959696585","44845.1371239933","46728.603720447885","47613.96183915509","46701.747155322824","47275.61323170239","47331.9280012516","46358.54117890027","47523.51055819093","47358.12566582069","49381.3915203495","49350.89482915615","47867.27593115823","45882.48977452987","44112.88590744678","43778.09216867098","41413.94134017373","39528.23839995178","38996.48305529784","39426.965099438385","38112.85603483233","35156.802237340846","34717.39899300474","35962.87472462733","38934.65999054537","42184.87649654623","44696.16248957545","45025.823256188756","44279.49041340339","42626.48065778278","40831.45276057153","40607.05235684219","37079.57710811727","36668.654422002764","36658.59531059526","36550.905803851056"
"1.13. Rio, Lago e Oceano","111755.86132204512","117614.95885272748","112426.35740783116","106568.9524424615","105315.33465158654","96820.11550120193","93267.01828323345","89301.19294526326","82154.50682191734","85864.04709031347","87291.9045347043","89965.1430045226","85710.25984473836","74675.91490893452","73301.23433125521","72251.65130234892","70965.58012363195","78240.00847364389","79382.83394492697","113899.32926508332","105509.34058671308","104272.67314981732","104100.82874637604","116410.4883840419","116590.6332726835","104918.68861299599","101068.58021388113","89209.25661718127","72144.00733253708","63963.856557744955","57454.338208343346","56058.183956012115","60167.989804022814","70956.11384140077","72661.26348501001","78297.17461330538","76262.26748091413","83653.28738596776"
"2. Antrópico","2133640.4411687413","2152879.010787264","2245584.7891401555","2412106.891633247","2481714.358658338","2505162.9795428948","2520955.2307222467","2560106.881165869","2570851.7540270314","2547844.9786217813","2485455.0425516195","2405257.4573132508","2354805.45702557","2386332.177473303","2444785.9535647403","2480780.1059169355","2558116.412326523","2598983.321584218","2546569.7284196694","2533406.405606407","2470961.1522521437","2387212.5369586926","2359866.0188724278","2301960.4904560028","2271178.114128711","2314543.605716709","2332900.3384361453","2411446.6365667298","2465028.87898599","2474999.10862171","2489595.2135345764","2477345.272140662","2493482.8301132903","2459376.2951390934","2460646.0490224846","2460727.8548767637","2467246.844016885","2461575.120652192"
"2.1. Pastagem","765114.4506260399","819043.0855556324","913187.8550141426","1049987.1188378257","1190092.5951299283","1325360.5355650107","1405904.3128016393","1425596.673534726","1385081.1633518706","1324194.4553980227","1203370.9121659547","1184029.7158181106","1254249.4241053576","1362476.1166330988","1417101.5807172554","1448191.3963196292","1456325.5439143404","1447742.7827739099","1465241.445857947","1470808.4812630133","1477968.0136411574","1464835.63143783","1414748.5565102582","1357546.2476361739","1267525.8903029065","1283887.8447271911","1279747.5417758604","1360438.7824435902","1431726.4149219242","1515515.360075557","1529047.0549226862","1545932.8699164977","1526361.5972460147","1494688.650029079","1466235.253154185","1434631.0624156327","1397776.3589867156","1382633.37944628"
"2.2. Soja","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.3. Cana","19665.96972392479","19735.516730968127","19366.270975499556","19134.79144039828","19042.925630889196","18984.8193724359","18940.050123253743","18912.32449460393","18946.014487707052","18984.31592748354","18993.377133141432","19146.80097412644","19343.701419982048","19396.83823149325","19458.192119078616","19258.886373278117","19226.44910477834","19151.277658684437","19819.44536526369","20200.540478917763","20717.78205162241","20771.03487671995","20680.209187907694","20160.014669444634","19943.814908506996","21321.410785130243","21523.295458085347","21508.547577097783","19988.990466203755","19558.97784114897","19489.32562012225","19281.311663164444","18853.889182183368","18854.603051385027","18848.908088598157","18829.17530181839","18839.396242052768","18855.92361027782"
"2.4. Arroz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.5. Algodão (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.6. Outras Lavouras Temporárias","4646.860314746145","3983.1884895996636","3887.458931878714","3862.555233813526","4972.20046437988","5573.65620361327","6090.442470239243","8337.79705820315","14004.197198864824","39981.731574932994","65281.89115391265","78965.91833453364","96144.46635247213","113462.2212434206","139308.685565118","170179.25059204805","172744.10103636","167243.17894685845","171122.88767572265","180623.10605199306","189683.71509586592","223164.46580412835","246226.42249968226","268496.5018580534","274110.7681050067","285682.6591925479","292052.41738470993","281707.1501334775","288768.93890188844","307000.62167792715","329023.0207856727","345119.9744335468","380948.26089810306","387267.64301258384","389625.7607201639","391416.5656677719","391908.04543021106","392295.72395436215"
"2.7. Café","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.8. Citrus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.9. Dendê (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
