"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Natural","18053292.36011028","18044039.205605045","18107228.760783773","18026382.304652035","17886321.91841474","17805021.65943429","17754571.53204403","17714391.45144509","17598380.212904934","17494789.783832975","17506782.4261631","17422994.370885484","17317416.681242462","17268328.637026057","17185161.443104975","17094019.938604467","16992128.26196922","16868096.012617156","16715366.28004539","16564880.836939014","16540334.845642881","16569768.858792715","16599850.23212","16537278.245697757","16481152.60780185","16312952.758531189","16135469.119153708","15944952.519072764","15730221.540811954","15614260.613688024","15538770.621802555","15465932.91660016","15338005.962665247","15227832.275591403","14989116.417345013","14752248.643988999","14489681.190131685","14486049.121291006"
"1.1. Formação Florestal","5146440.977484149","5148817.320380408","5147213.029594292","5107429.792765518","5054821.838640416","5052173.891964219","4995776.757742023","4988652.92288589","4954727.529106567","4968472.444560673","4939829.627771544","4937285.776894448","4927222.97881612","4906550.739607301","4915755.359698949","4902924.37660405","4912532.272388196","4904329.055646533","4914805.919198801","4935520.897853577","4959624.397848233","4978298.409813531","5004163.7124812575","5002295.385419392","5018549.477490084","5011492.087483139","5021972.696593257","5000652.040558164","4969688.635131797","4977899.665048607","5003370.384609515","5029792.309192992","5034000.808396912","5018658.801913306","4994110.112191841","4993664.292239041","4923110.519594679","4904275.750913827"
"1.2. Formação Savânica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Floresta Alagável","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.5. Restinga Arbórea","86651.58396279925","87093.14154458648","81465.08337382833","76830.77663640156","74249.48062655673","72935.50818338015","71708.21007232688","69522.91226361085","68247.9275821961","69648.30835487654","72136.81184800394","73058.24498195796","72235.24541632694","69990.56809164422","68847.62594155276","66886.61223259276","68295.72865794064","69215.82188176904","67322.6657728029","67423.45695579854","69992.18045471833","71209.25226567994","73563.1148858339","71861.45288720688","72864.62648816539","73048.1027232303","76207.74094237723","75178.68088916039","70531.51747607446","70675.05836727326","74035.86614689381","73559.66624199864","73825.52128844651","75524.27705965615","76122.48122986492","76210.99262438403","75471.66519249292","78334.7967886907"
"1.6. Campo Alagado e Área Pantanosa","301174.10119839036","300629.51350059937","309303.63451688393","306924.9114905611","303451.24256063905","297156.7596585339","292252.6637758548","290071.64950966265","290237.80527034355","292140.3747814542","295806.9026203889","296781.0340193987","300606.86143471143","298275.65415222925","302509.476726703","309083.2885991914","312594.3254286341","311973.4977171468","309343.99449374387","311065.533221545","310452.7068878789","312974.5748167574","317487.50149007764","322022.57907745737","320032.9775825768","317513.2512030833","316826.61692448286","317544.92228976754","330288.13403982256","331335.6845014805","327677.2756627594","322283.4879552988","319890.0054691531","317916.67526144563","317209.790872969","319958.42638459505","318571.0167675357","327352.03770283924"
"1.7. Formação Campestre","10318946.53145554","10306156.539965397","10384471.095865522","10365452.699435597","10287224.233138543","10210947.180355761","10227736.080749994","10191951.593602866","10117319.137418117","9996079.260197328","10019226.197787417","9936979.559447464","9834750.984677786","9796303.786634617","9704549.053348264","9639744.977602247","9528319.890093654","9403411.179673541","9234692.532547733","9066501.42990067","9017832.350343289","9028261.479491837","9019528.41637422","8957859.73300865","8884616.693045774","8720713.494122915","8529984.060196303","8363659.577354787","8163282.213460216","8028686.727475124","7922366.573437438","7826729.813365651","7697112.450811978","7603161.885455007","7397339.829855487","7161131.649102614","6970553.763649915","6979522.272020219"
"1.8. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.9. Afloramento Rochoso","24732.704266101027","24720.520216662553","25028.156929260243","25222.191506341518","25268.40388850096","25250.12487091066","25081.20670864256","24970.447743560784","24780.888724554443","24905.502082037357","25184.30175465092","25224.745598181158","25330.00411415407","25179.420512359604","24824.234687554905","24341.681026397622","23923.7341591918","24125.447888452076","24012.200911096133","24586.78561677854","24579.696213629122","24551.783382440164","24249.086418896433","24424.019454205292","24243.12049860228","24404.4002410156","24308.915800067087","24068.03264270622","24004.5839459899","23767.134406817553","23978.634218615658","24043.80565445552","24174.813523358105","24440.99021609489","24799.64117622066","24946.033053552255","24809.626038293478","24963.682031127973"
