"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Natural","1521855.4978606496","1491274.5242022076","1466951.3428749712","1459585.1127770848","1453051.3277038978","1444027.758364903","1443471.4518190504","1443970.1767529356","1445352.1330927901","1443194.2621476424","1444701.7557775686","1446550.9316823632","1446138.9750913647","1443873.9958416296","1447265.546306377","1444114.6559298192","1446978.6778223908","1451717.4902441744","1459957.931931763","1466037.2479342981","1471712.2297328105","1473662.672127841","1477379.8876423682","1478166.5019520635","1482133.458825826","1480888.929373144","1477117.3447222477","1481415.987126802","1482358.962805111","1488334.5855770996","1496914.164495273","1499879.5793618935","1505678.9415967574","1514301.4834812926","1521489.4007917175","1528443.0318372883","1541192.1999099085","1546556.56997277"
"1.1. Formação Florestal","1212066.6961162316","1199237.999830072","1184920.3363597754","1181032.9937658648","1179800.7330385053","1173577.4193734343","1173434.3595813343","1175348.418931467","1177387.17870616","1176255.7430403319","1178455.3142631254","1181001.0872655811","1181143.4193438229","1180812.0833194328","1183746.323484737","1183309.5170990475","1186826.1763000037","1188545.03415797","1192885.7661833896","1195173.206865037","1199687.6247987868","1201694.6151781492","1201141.3969437592","1201946.203178264","1205269.8075092363","1207013.236401252","1207783.103958233","1211949.1585064004","1215553.9111590874","1222149.9886846123","1232400.9104690296","1234800.8547395414","1239216.7095476056","1241925.897746663","1244798.18984778","1244449.8771968833","1257259.9680728111","1256906.7480726275"
"1.2. Formação Savânica","48.22074777832032","47.55220415039063","43.29686907958986","41.46386414794923","40.71417247314454","39.215442572021495","38.54843081054688","37.54655512084962","35.796008496093755","37.543953295898454","38.62847407836915","37.63005109252931","38.54779931640626","37.79695420532227","37.21343965454103","38.546037042236335","41.21144258422853","43.62759885253908","44.210808227539076","44.377383874511736","44.37745397949221","44.2942394836426","44.37760396728518","45.04492354125979","44.62834008789064","45.295745074462914","44.54591229248049","44.629911889648454","44.79673395385744","45.63033465576174","45.79702294921877","46.21372865600588","46.37964983520511","47.46271625366213","47.29595473632815","47.71273854370119","47.54571920166018","51.62671789550784"
"1.3. Mangue","7606.4583961793005","7341.601335705647","7304.174417096008","7053.8748933960815","7068.05580662847","7420.164189672971","7358.094481756661","7268.2512626159905","7591.502406317157","8295.618925732568","8827.24227873563","9036.897987085282","9091.240657904375","9069.920633038642","9047.635119861152","9163.703555542292","9224.107447784732","9363.389798309592","9668.934266864297","9869.42135155674","9935.28329559964","9986.395049756153","9990.99602901642","10085.138214453431","10209.569051758064","10053.65080383336","9831.365120386126","9823.518206732542","9917.32754085723","10045.181635583747","10331.071707886062","10494.737821307648","10454.902359839158","10470.321246643343","10535.914236639685","10524.990917901885","10607.608978949242","10355.428495575223"
"1.4. Floresta Alagável","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.5. Restinga Arbórea","30841.11558776868","30005.99524417122","29120.06606101076","29147.193600299175","28617.21956390993","27799.139325451648","28052.661527435288","28240.61163214113","27856.6817562805","27252.201631195014","26879.504733593705","26838.238946966554","27006.107086138938","27325.60208236692","27185.01304376825","27865.05412929676","27832.823597051985","27827.247252575587","28154.00874919427","28293.58686461782","28819.018957543864","29288.343223895215","29482.740010955706","29448.449855444265","29298.899273693758","29447.617120690855","29456.946860461347","29631.95258820793","29733.45267382194","29754.197724902213","29387.646761706383","29259.02937365102","29521.926111193738","29769.326164227186","29973.104261596596","30257.482330755556","30381.12185919791","30175.593099053815"
"1.6. Campo Alagado e Área Pantanosa","71860.74819844209","58204.93135783679","50098.65777290016","46975.55846426966","43027.59206379988","43259.54394161364","41779.76596941495","40069.393167047005","39929.73711752924","40290.0632039548","39794.72709133883","40358.037747857365","39911.10881636349","39143.866214318805","39318.8755727295","44792.106722765624","45565.2026652282","47251.273083367254","49240.74811666893","52538.578913736914","53119.4904916793","53222.720252257845","52223.39016740833","51117.58404389144","49637.483901830754","51078.17083896541","50734.83148425328","52574.37366205196","52384.420757419386","53160.5656072465","53964.171410737035","54771.746045815875","56388.74713334699","59892.874509023866","63215.359275290226","68176.08406315488","67861.4782122529","66849.02476379578"
"1.7. Formação Campestre","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.8. Apicum","1161.7774420654493","1123.040849334739","1116.504532006859","1100.798973681658","1125.3468374817078","1195.1551871338088","1210.3661475769313","1192.4950087463467","1190.4162032470733","1174.3726059875496","1165.115358880618","1170.4217686767588","1239.0897811584487","1311.9719293457044","1287.5524180725101","1198.5291119079598","1133.8532956359873","1103.5970280395566","1130.4417696533264","1173.0570965210022","1186.0408844787657","1183.9499053100587","1210.3421997985859","1196.5412496337938","1138.5444030639728","1079.080264581309","1051.8878893859949","1003.7426500915554","952.355945568849","945.3352215698274","939.1370385559112","942.8891828369167","948.6344395690935","944.9291616577168","947.1874370544439","942.3899687072762","940.9868516723637","908.3854033142094"
"1.9. Afloramento Rochoso","18674.767932141032","18423.683594927898","18162.836614324904","18019.7376191528","17744.82282192993","17656.815957928462","17484.624024829067","17397.076544860804","17377.459167456003","17390.844098608373","17419.974236816382","17464.30284875486","17448.893784075917","17481.939652178946","17540.02861521603","17564.944097271684","17548.387538940387","17564.044658709674","17534.040574896186","17522.305967657423","17466.617235076865","17441.940603698684","17400.9046414123","17399.624824267543","17426.57704126583","17444.816271301235","17510.081533929424","17568.64677042234","17637.5151143066","17752.965210113493","17825.16278112787","17820.925283361757","17805.122116491635","17754.122806323172","17707.535971081492","17776.624827990683","18193.176484551943","18334.081772436453"
