"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Natural","22066033.711115487","21944194.317691576","21763274.37359977","21562110.064879093","21425012.346938644","21373281.76217622","21221414.050938353","20992793.40914259","20746444.752787653","20427109.922826823","20018787.317718964","19626618.495880216","19364479.737774525","19126788.123111","18833792.714854363","18574116.54499993","18304152.774300475","17982567.78591925","17533136.17571668","17160828.781282697","16816845.189177282","16608945.905143823","16461543.964938225","16361771.179975789","16316984.003121398","16290710.910343636","16191568.065106934","16118408.995253721","16038498.548940144","15953984.979219466","15816742.242466059","15639254.021525389","15479694.974783793","15353812.656596389","15165066.165073209","15002380.862644533","14780801.430502113","14425743.86002302"
"1.1. Formação Florestal","20478567.01333034","20370214.367084585","20191855.844344776","19993811.31677808","19842666.679790255","19786771.673794784","19634922.188389886","19407286.937831834","19163440.988765277","18850031.99820373","18445662.08782985","18061909.072368216","17808273.1780453","17574064.386188738","17285733.986734446","17041350.34589197","16776967.86835577","16459522.361930821","16011654.012253927","15642969.826327587","15303701.287373073","15093880.323885774","14943021.216984816","14841119.719573043","14796438.64908845","14767686.941021385","14662422.707087496","14577577.25165864","14498114.125079785","14404820.358981822","14264032.522054832","14093745.561002536","13936583.012454335","13806077.384372925","13612694.513294782","13451402.643125886","13237153.379488654","12987227.101643538"
"1.2. Formação Savânica","293650.4438472291","285208.9148126004","284610.4413774459","284760.9231179562","284849.9545492541","281775.0578858144","273950.8126130955","271186.284671692","272566.142275517","274520.60285505815","274137.4350256788","271128.8858353577","267179.2942458767","267643.22461684106","268645.4660118429","277337.588271811","276388.75294196967","270170.11430426635","257643.71322500554","252229.69398260544","252768.40340758598","254932.445221526","253794.16502922977","256358.45542052152","257715.9885183165","259811.87136285365","264597.58333734225","269355.19322821265","288536.4571880086","292141.3484012149","291563.6784945681","289722.95011135854","284527.64631151734","280447.71684697596","280292.4250658292","281230.4592410169","276346.5592587494","274349.01589610893"
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Floresta Alagável","39971.440361407556","38983.94266937875","38886.92064290172","38817.917907482995","38995.52666781014","39266.58745925912","39172.5910615907","38712.01500586561","38088.879516949564","37945.5061209718","38090.17395217911","37117.17580606698","36275.45822231453","35538.07202355352","34723.36719656377","35303.02622715463","35651.93151915297","36093.167081286745","36056.38591309823","36284.58255590836","36457.00232544569","36212.20751212783","35947.83731492933","35883.28332762465","35975.42549328017","36037.579411761624","35836.54779303602","35756.73342501845","35591.8559421144","35146.33917083761","35335.64153756123","35522.253012133966","35670.735509588805","35699.117573260715","35426.01728366105","35232.56426401991","35273.70350238665","33147.937029791414"
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.6. Campo Alagado e Área Pantanosa","658642.6141289539","641543.1468816939","640598.8462045782","630152.5229685975","651891.4221073416","637927.0921690064","637569.2114268073","643424.6311317413","635573.8531110848","636416.0305335941","641881.1143393301","633755.9366869295","642169.1098767212","631652.1512430874","635122.921610508","657941.5118251372","650259.2279056052","645670.0930053844","659469.634519485","669028.3136770676","664614.4014336742","664365.2820113143","679970.4662237385","672304.7372948235","672248.8913196642","663819.0594639478","665603.363981595","649161.8469650189","623224.521388396","630986.183281694","639476.5144859337","607073.9181473964","598795.1913164399","610396.0375786979","607582.9138439014","595060.7199924234","590223.4080373412","543252.4128606832"
"1.7. Formação Campestre","335554.1668654258","334724.91571642354","338165.7482089702","345253.57860699657","340618.40113147197","311994.7149273956","298326.01196254604","293142.45925774233","288813.6525446747","297979.1336841648","317883.5504925004","302507.419696147","299596.9561803134","300718.7084155","296839.5073833769","332247.12318638054","330437.74695771176","327224.9799596633","312046.24593289674","310817.6438343544","312544.1082152054","312956.7811027608","302963.8854888209","312573.6664360089","312027.752391634","318800.8618042961","326608.00159257825","329774.08145793073","334790.3631639396","328823.043338765","334526.0494390701","356932.5740189213","357133.3865884152","347468.24047732103","352836.93743595283","374753.7569923537","373900.7453601625","302700.7418084476"
"1.8. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.9. Afloramento Rochoso","44327.06729443992","44325.83537026997","44322.93552543965","44320.120093457226","44314.05376060813","44314.8428743166","44315.01466220113","44317.734336957015","44323.62111013814","44323.88509723531","44324.05127855245","44324.673234204296","44325.72117891865","44324.41490173968","44317.21708654194","44314.67628934347","44315.7314565798","44326.97814798605","44326.44636925679","44338.03537586688","44331.62318185445","44322.489748248474","44323.64075620747","44326.6384296755","44332.00299548969","44334.18627082538","44331.55339721698","44330.04940704975","44328.187979272676","44322.478708416944","44325.63101696186","44332.64624306047","44338.34065806905","44339.03265449846","44328.57659987812","44325.13825440691","44327.68914623433","44400.74575501722"
"1.10. Restinga Herbácea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.11. Outras Formações não Florestais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.12. Praia, Duna e Areal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.13. Rio, Lago e Oceano","215320.96528768784","229193.1951566231","224833.63729565934","224993.68540652253","221676.3089319015","271231.79306564445","293158.22082222556","294723.3469067639","303637.6154640184","285892.76633207186","256808.90480087156","275875.33225329133","266660.0200250804","272847.1657215404","268410.2488310807","185622.2733081346","190131.51516368153","199560.0914898387","211939.7375030115","205160.6855293071","202428.36324044218","202276.37566207175","201522.7531404835","199204.67949409157","198245.29331456573","200220.4110085659","192168.30791766712","212453.83911184713","213913.03819862675","217745.2273367186","207482.2054371301","211924.11898998157","222646.66194542774","229385.1270927075","231904.78154920475","220375.58077442495","223575.94570858587","240665.90502943358"
"2. Antrópico","1689013.8595006473","1811819.8238029599","1995473.8178137357","2198005.070734627","2335391.0765248495","2387287.1306128274","2538895.128855568","2767619.857567851","3014525.4457464167","3334035.7498092083","3741856.9834845406","4133921.7452340494","4395803.4118243465","4633664.965878133","4927524.797792489","5187301.843949684","5456716.863488544","5778307.440442248","6227322.863632411","6598496.136454425","6943096.862431909","7152056.054503693","7299622.702020405","7399246.025313336","7444223.270536479","7470842.594585772","7570055.871584185","7643241.106531712","7723154.203616663","7807575.684878993","7944610.4391342","8121958.904178702","8281413.328844202","8406884.973741515","8595394.003167449","8757981.045129292","8979465.24216043","9333800.63754744"
"2.1. Pastagem","1648427.8684979626","1766308.9640335208","1943747.613218076","2142240.4482793105","2276698.2873322647","2327094.550211424","2478023.6126637403","2705737.4920508596","2951208.540418835","3269912.67283682","3676858.720937604","4068710.0230370155","4329902.647724596","4566584.646187007","4858142.737745967","5111713.466393794","5375542.903640529","5691701.542293269","6135028.758829316","6490933.474490544","6808255.575429513","6999030.488959958","7138933.570891663","7230495.362317728","7258587.638626651","7273484.40174418","7368556.207480229","7430838.727453786","7484418.7015161235","7529318.994289895","7620898.116807797","7775680.24125667","7902408.542655134","8002245.797485804","8173651.326666508","8318165.1884993175","8537316.918049859","8885149.298078284"
"2.2. Soja","78.10954243164066","287.62428115844705","1913.6950884887956","8399.961054211793","7172.349719165184","3748.425801599261","3197.082542346172","3682.0003675781945","6612.97560830668","5962.760007824649","5652.352743231165","887.5293271118135","748.6822386413547","1415.8354389465496","5466.569700146579","9424.056455999906","8723.916221020252","14529.855300005522","20577.961723243418","23976.222267736775","39360.066030232585","52741.13270265561","62800.101583317904","62774.76731611641","75850.72870248163","90815.92937270827","77019.9256400843","63396.65038643254","74821.01287679996","107141.77327972416","170477.84535234098","189697.264641076","207646.26002206973","219451.09202268778","243290.08181425373","273730.91698889266","320980.3395635811","326155.89783501066"
"2.3. Cana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.4. Arroz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.5. Algodão (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.6. Outras Lavouras Temporárias","6666.754702349893","5406.377235479619","9048.547162847799","4777.251492822314","7744.649677026426","12494.60415064687","13377.938495525921","13423.71822155125","10606.747624103007","10963.65410853903","11407.911576519968","15749.01944608753","15527.489066906743","14953.724210034858","11954.504813830556","12853.48376074225","18034.11711597866","16206.25460877666","13983.143314287978","24114.284223323608","35688.02154676211","41230.7426161247","38940.36868797768","46943.126313899054","50373.33865868315","45740.080340471715","62572.06485441352","85156.08754643927","98005.2685146898","104689.84157045506","86242.70686803361","89132.54462466539","103286.51797056489","116221.79635073696","108061.566986428","93682.2265455998","47371.4836060303","46345.35279884077"
"2.7. Café","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.8. Citrus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.9. Dendê (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.10. Outras Lavouras Perenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.11. Silvicultura","","","","","","","","","","","","","","","2.532521716308594","17.19910549926758","27.320784552001946","34.12936704101562","26.181561114501946","24.695036004638663","26.348999707031258","26.174490032958992","26.610869085693366","28.181458111572283","101.50324176025396","298.6025876831059","381.4405219299302","469.86948444214374","884.0738716247953","896.9079690674233","972.601278497366","981.507226550345","904.6650356628877","685.8796012878605","679.3328071289245","685.6219127868832","775.3671065857103","777.288153039568"
"2.12. Mosaico de Usos","10719.645138598606","10336.583033770596","9055.904476928601","9147.237307427915","8500.936113653515","7498.520557867425","6814.583976605222","6677.009559320047","7215.1936376098165","7792.292712591511","7728.211659338348","7745.748054711887","7878.634086560028","8126.254298455771","8722.512960772672","8984.481863513169","9352.212077069102","9789.143337225349","10807.794722582903","11468.209230596802","10772.02545712878","9119.235021978784","8401.156566772452","7431.678539086928","6889.644783251959","6332.742275085411","6142.457771093715","6772.108483825693","6953.007338006589","6500.02320742187","6131.525769146751","5950.181198327647","5972.41347581788","6091.892501544199","6836.737888165297","8249.571147717328","8350.510595410193","10016.037492803895"
"2.13. Área Urbanizada","19459.529209099805","25285.8616838436","27035.631732848713","28207.611571520778","29289.448311211923","30013.4749559263","30886.4107726867","31318.897906085163","31919.552223040704","32324.593061120577","32943.09405677484","33415.33361934801","34212.921704058645","34889.523907244584","35635.233371294795","36168.72203194533","36843.84004523252","37664.74168178649","38413.192697106235","39264.208530419135","40010.26742103183","40667.40830157982","41088.85209118547","41747.93940677379","42144.68513036382","43536.17245742647","44343.28039457201","45330.500346384666","46421.90586850365","47244.0284988684","47861.70063871228","48385.72499185542","48798.23332004139","49551.97254404636","49900.79262116424","50238.8212281711","50248.08861451142","50611.44917840284"
"2.14. Mineração","3661.952410205101","4194.413535186775","4672.426134545896","5232.561029333459","5985.405371527043","6437.55493536372","6595.500404663062","6780.739462457303","6962.436234521525","7079.777082312055","7266.692511071799","7414.091749774191","7533.037003582816","7694.981836444099","7600.706678759772","8140.434338189594","8192.553604162495","8381.773854144158","8485.830784759417","8715.042675799454","8984.557547534125","9240.872411364784","9432.041330401738","9824.969961621255","10275.731393286269","10634.66580821545","11040.494921862972","11277.16283040173","11650.233630914372","11784.116063562087","12025.942419671643","12131.440239556925","12396.696364910978","12636.54323540661","12974.164383801386","13228.6988068056","14422.53462445089","14745.314011059727"
"2.15. Aquicultura","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3. Não definido","8032.943460339208","7066.37258199463","4332.322663146977","2965.3784625915246","2677.0906127013845","2511.6212872924484","2771.3342823669036","2667.2473657653354","2110.3155423400726","1934.8414404418818","2436.2128729370256","2540.2729620971877","2797.3644775817893","2627.4250873413257","1763.0014296447257","1662.125127062957","2210.8762876403234","2205.287715344154","2621.474727844202","3755.596339788805","3138.4624678893756","2078.554429730227","1913.8471185485876","2063.3087881652887","1873.2404193176283","1527.009147821043","1456.5773860961847","1430.4122916381802","1427.7615202392585","1519.8499786010746","1727.8324768493692","1867.5883732666014","1972.2104492736828","2382.8837393371687","2620.3458366394193","2718.60630361938","2813.841415112289","3536.016507080088"
"3.1. Outras Áreas não Vegetadas","8019.935656164404","7052.6640970459","4316.243524114994","2950.87718999631","2661.8907329528492","2496.9370831725755","2760.9643329467376","2657.2251846435092","2099.063076770004","1924.7359268615596","2424.7959696289204","2528.411807189961","2785.0667399414083","2614.500533117693","1749.814105511425","1644.3747637633965","2191.6245816954993","2187.4438318358534","2603.893932934534","3738.014142858873","3122.4682557189653","2063.970592889407","1898.1185745117223","2048.1871557739314","1858.5596972412122","1513.02735095825","1441.978548742669","1417.2206850036587","1413.7887747131354","1505.1762277221683","1716.0525288940469","1853.6060888671873","1957.7980010009778","2370.7569208679306","2607.772340448013","2705.509430938716","2800.7440258117517","3513.510648394785"
"3.2. Não observado","13.007804174804688","13.70848494873047","16.07913903198242","14.501272595214843","15.199879748535155","14.684204119873048","10.369949420166016","10.022181121826174","11.252465570068363","10.105513580322267","11.416903308105468","11.861154907226567","12.297737640380861","12.92455422363281","13.187324133300782","17.750363299560547","19.251705944824213","17.843883508300777","17.58079490966797","17.58219692993164","15.994212170410155","14.583836840820311","15.728544036865236","15.12163239135742","14.680722076416014","13.981796862792969","14.598837353515625","13.191606634521486","13.972745526123049","14.67375087890625","11.779947955322267","13.982284399414063","14.412448272705078","12.126818469238284","12.573496191406253","13.096872680664065","13.09738930053711","22.505858685302734"
