"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Natural","22221472.841398384","22218710.16300675","22195641.39957389","22174285.54870036","22157526.779523917","22151477.133518524","22142099.20306278","22115014.30714829","22080012.10851658","22059862.771316223","22046047.217786897","22021486.783624038","22002679.859852552","21967136.9106936","21921981.1697965","21884287.411037054","21834998.47200156","21795423.21365231","21763010.61679917","21741988.543856177","21715399.87663107","21682878.48435746","21650939.87665448","21625504.188856065","21611563.107680168","21603887.960794035","21611851.577182245","21609990.352513876","21582784.415338423","21535653.556606356","21473124.860815693","21428396.31615821","21408404.946052924","21390196.765372172","21350725.106754668","21327964.646717254","21270136.41254801","21169745.128583107"
"1.1. Formação Florestal","15540542.35559367","15534689.04057616","15510534.505713535","15491821.20127521","15466915.859959083","15468338.533035995","15456560.974689111","15428817.127480369","15393852.93822953","15376287.264734969","15365471.016208917","15339924.396513984","15323902.726077631","15288661.928540898","15242969.024739353","15216221.926955491","15182120.468001511","15146852.619947271","15118208.614263337","15097563.740164299","15075295.616149846","15044364.67866239","15012233.799788676","14987896.604403662","14974386.256130874","14966263.396144906","14972475.728885751","14968059.132747183","14947975.434932278","14919248.77256749","14887733.924150266","14854145.556326231","14841957.60740721","14819609.132144306","14775940.98977282","14758382.228427896","14698558.83188268","14659321.424853953"
"1.2. Formação Savânica","17997.606441778582","16770.580547717283","16360.77571571655","16053.653278655998","15768.386576336672","16171.291284924331","16265.090983422862","16085.143604150395","15660.770834661878","15102.024189239506","15011.477406726073","15006.541582611084","15262.433586541742","16471.84148482667","16657.740946264636","16712.892200744624","16902.23826984864","16826.268490881357","19763.34037701421","18835.285286328184","18250.851232135057","18384.049220996156","18359.064401342843","17781.90270049444","17447.859091003455","17758.361171716344","18232.681981744423","15336.94468797606","16138.829651458733","16469.59268024291","17514.822751971413","17826.973537890608","17833.18311596068","17891.307027606195","18933.700561993384","19688.59043989257","19470.038772479238","16672.69040579224"
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Floresta Alagável","1659651.964797159","1646862.4959559892","1645195.7034001697","1647679.55177449","1646581.9143780875","1643688.6211582103","1640680.0153442204","1640939.413370366","1642885.964655226","1650375.911408858","1647485.9145859284","1641036.6452701197","1654178.271924066","1653667.3822348693","1647250.7063461663","1657005.2479681596","1661423.6005961457","1664893.1595878073","1664354.3339090475","1664026.7833688115","1661419.6223836988","1659327.101609714","1657814.6088076166","1659664.5332555333","1663265.97216173","1663842.8065209545","1662014.2031740241","1652379.5188307406","1662092.2794539328","1663436.846934665","1664661.8310161724","1664833.9317784966","1664743.8235651425","1663447.4118505612","1660463.916586481","1660354.544301829","1654768.1063470948","1649366.580100407"
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.6. Campo Alagado e Área Pantanosa","591689.0391477689","557151.8064085228","576396.7273793333","622950.5925233166","624351.6290291523","585485.5158979214","559803.8091194475","573147.768515421","585202.0799564339","626106.3289556527","595301.7649535805","574880.1267714851","588823.1731699817","656389.8690858879","612521.0889752827","696654.0676705228","623763.0527843154","595585.1701000127","713737.0176185983","702119.1036245778","680737.0870348589","731215.2147321326","717761.7793862526","680697.3482964251","656043.298630131","726421.3032356045","736367.7032636639","745309.2121433623","624832.1803042388","541024.988051164","521153.7074143027","555535.4702600206","528236.0347970945","539918.0155023843","582914.4247856176","566248.6411235156","582154.0878585745","458524.0033483521"
"1.7. Formação Campestre","4051037.1886067726","3900247.5030959845","3891120.0609286837","3852017.9136230857","3857862.72051322","3903843.1944323396","3853934.6742630927","3860124.2079198537","3837152.0700016306","3848522.584108703","3880159.3344664406","3826746.0639093393","3917592.5887816884","3897238.0320432773","3781813.5701564853","3917075.255211921","4066796.9365615826","4098458.143788619","4000348.595656302","3979722.099742099","3907848.833220067","3836813.564309931","3897862.7517876164","3902032.3329810803","3939463.276600073","3879757.758947493","3854506.239890751","3877125.3170112073","4025831.8531937483","4125278.834283983","4162315.0046576755","4089363.075888766","4073045.170512231","4088134.9549303544","4073528.1266941465","4054979.754910707","4011616.118623029","3923431.294397636"
"1.8. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.9. Afloramento Rochoso","14966.32445909425","14964.631083294687","14965.611683197034","14966.68195889894","14966.770209759537","14964.720563391125","14967.48356231691","14966.235691607675","14966.146511895764","14966.414046716322","14965.790275433363","14966.6814225464","14966.324872387704","14965.612211370862","14965.612071038833","14964.631241333022","14964.452899169935","14964.3636899109","14964.542107812511","14964.452842865003","14964.541977581803","14964.809403729265","14964.631122180188","14964.899042370618","14964.809625183121","14965.077284655777","14964.8098255005","14964.899052734387","14965.255895794693","14965.166511261","14964.452747448744","14964.542105725113","14964.631281787124","14964.809998291032","14964.721032604994","14965.078163330089","14964.275329809581","14966.594447991964"
