"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Natural","4995168.5594393145","5020359.989289242","4968356.332148008","4931158.7096961215","4892601.964863337","4858880.6056102915","4819549.050896345","4776951.761524903","4760064.282916879","4751434.881825604","4743722.6900692405","4743978.732182772","4730693.773342946","4728195.561923639","4713981.830672345","4691216.168236193","4671682.021741123","4649397.866070004","4639297.535183218","4620761.6919832025","4610177.997895429","4595979.6818662","4591432.621320588","4577754.5618300205","4564613.843277246","4553932.080489129","4557841.16840768","4552488.205666471","4551617.143704129","4542252.120170976","4544975.424537729","4532828.904131351","4521698.838413816","4510678.709494631","4480289.232781113","4464793.190465348","4463738.503904028","4446214.095821156"
"1.1. Formação Florestal","4084363.328928692","4119967.608997505","4082372.9629977117","4053304.6562029207","4025742.5426305817","4003287.056947528","3977659.257543555","3953335.305856687","3942612.3455233597","3931933.4820480994","3924065.4738857048","3911488.0203600028","3895343.9550038967","3892333.5429166406","3877302.5229793945","3866670.2095610197","3851900.639914351","3830176.884273904","3821216.6109710243","3807510.2063320824","3799643.5902088503","3786573.8030071487","3784576.421759531","3773070.732421142","3772908.9288220247","3769473.159016983","3774984.7718372396","3776199.0724642635","3776276.5150440894","3769564.363529117","3776567.176247613","3767939.495475854","3758512.878705803","3748900.268234437","3721128.626678125","3705399.904457781","3705200.9482551394","3677805.8444500915"
"1.2. Formação Savânica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.3. Mangue","7252.830905511206","7249.830813195493","7210.877375463568","7222.678993114924","7212.188541595148","7413.469116387645","7545.675691845458","7317.338885522173","7030.191367083504","6764.357311193672","6527.07802564688","6523.426795562682","6725.436792877064","6952.927991802888","7135.124185912885","7338.149211889431","7434.318635198768","7532.519814361378","7523.183224383419","7648.151529528561","7815.155025585804","8019.551062334993","8123.944921374234","8105.852774432133","8003.3961054685","7925.822644274626","7849.136661791826","7754.839079113534","7702.976232342343","7690.575526342653","7587.87782723366","7236.460867284978","6977.568627069031","6974.065306152243","7233.173947418002","7243.921874291786","7625.323093267558","6984.386088696116"
"1.4. Floresta Alagável","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.5. Restinga Arbórea","137627.03325330518","135231.38474691223","132078.89027387093","129487.3658573063","125975.05949376887","122800.75194141374","120500.28323798836","116635.46927733607","113601.41262343652","111965.53246577432","111190.6206534777","110247.80394999027","106826.60469185369","105183.24770458808","103495.24313513748","102057.15722928921","101918.08394648101","101207.42477269129","100748.60026551981","97917.42516500999","97176.98278462641","97295.667472789","96598.77124847275","96460.60824904636","96320.35622638777","96148.97783943109","97479.04201025525","98236.311153841","99386.98276634012","98603.93251661197","99327.18807027469","98639.3813824362","99207.14674770989","98565.33324386488","99624.66646857359","98998.952231134","98342.48621359307","96938.90808585526"
"1.6. Campo Alagado e Área Pantanosa","10401.874911773766","10197.614247528123","8693.123543572969","7555.029342822293","6597.09962655032","5983.252849652141","5647.251012017866","5623.418477728311","5683.664103692666","5874.697088110378","6008.21761633302","6263.521293066445","6259.358682440231","6514.176873040717","6732.985803753599","7491.624476416008","8115.61680054926","8753.19192473142","9055.686393054153","9395.356875463855","9604.91407988891","9947.425095367456","10173.915432818683","10475.806932348609","10617.451846466081","10700.740058459543","10513.637846618723","10866.59647736211","10976.037749908479","11327.282153411883","11888.2290720032","12543.498031530777","13445.3610083009","14445.07996472797","15218.365116333185","15997.21585567618","15819.144408038259","16537.712735559562"
"1.7. Formação Campestre","624602.2963393556","616010.9862684655","605177.8285223991","599643.0110921933","593623.4560532747","584713.6612359274","574115.5856090953","555252.8223129758","555703.5301775852","558322.3043757626","561160.540145941","574256.7918302444","582089.7451804113","582093.4131406558","581634.7924184441","578953.6895397147","574903.1785020148","572045.4162998868","570195.5652878188","567211.2648597243","563441.1322299049","558033.1172663219","552060.8327100144","548423.7744713323","534836.2316988604","525688.1307558969","520672.04919550003","516593.0663564493","513172.2372297235","510199.9249291669","505018.31826768105","501720.0022991187","499387.05691759306","497902.89452877024","493475.3592759568","494029.6307078628","492608.96763104876","497180.3185247957"
"1.8. Apicum","283.5370954895014","303.7758635253902","300.98591008300735","310.9134360778803","318.943374639892","322.00917019653235","310.5737744567863","318.2118343688956","350.05984700927695","364.4724337585447","369.30706060790965","350.8135302673337","301.91250563354447","299.3853337890622","310.9919979431145","316.47298344116115","306.137967590331","302.3875476745597","302.30882796020404","361.84989989624006","382.2074112609862","400.3947155151362","393.9161087768548","362.398829040527","346.3397784973142","327.76709752807625","306.3135316955568","253.70712816162037","213.92376887206956","179.3008147338861","174.69511143188427","178.19637858886682","177.08740637817343","176.9930244628902","177.1614317626949","170.6370121948237","170.80238441772414","159.46047568359327"
"1.9. Afloramento Rochoso","5185.14974517217","4941.505533520569","4741.789187469536","4646.291017175343","4568.5037090271435","4535.92412774663","4539.446214373832","4542.062497320614","4570.839714721731","4563.825315850878","4561.57653354497","4578.50804841924","4579.483347729542","4578.035649304249","4576.361425030572","4631.883355944872","4656.257843402147","4676.811584765669","4668.125273211719","4714.844188702436","4714.125490441941","4711.50912452398","4666.3956036377485","4651.979876910454","4651.824689685117","4633.490510174616","4636.080913775687","4649.453286993457","4646.000145684861","4714.854782537894","4732.495639465389","4766.723951934877","4780.182238024965","4810.232262127753","4839.656777685603","4915.742635119687","5057.749891040094","5200.106827154604"
