"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Natural","491926.4094192038","478578.3635376253","482182.4322594303","477169.19821086555","474853.3279496866","481717.290433508","482842.8772150312","478122.68153355166","466950.7690483925","448769.6660034562","441196.60950557963","442556.9722279013","435467.8798794083","441957.7969210265","446712.73470033717","445331.5105395909","443528.5922871841","449026.72453793173","442157.8735477965","434356.2659927262","431906.8913577547","429183.2169038699","431761.7782198368","426565.15787612693","424006.46030304494","417127.9863318354","413131.3791127878","401162.78713597875","397517.2189608956","393513.5999467842","397693.4862967456","397244.7718466785","395798.5259051515","394816.56843642663","394245.5880924187","394064.57984233263","393652.96150736476","399039.9004942825"
"1.1. Formação Florestal","117559.00876198825","109282.98660632648","104242.03343053846","99610.62791891125","96121.29462795182","94111.87877786551","92173.52910592906","90241.35467920711","88275.05675879176","87478.92868958347","85982.72862571663","86231.6570259302","86327.48512304905","87285.61378211924","86599.75255603873","86023.62291056706","85411.35448064838","84115.03479121932","84655.01671032365","84309.36372686381","83748.05243565899","83403.09780887123","85858.69520682684","87420.38782940968","89808.00399365043","91686.4649270727","93244.7116524196","94620.78820718131","95114.2267053869","98710.29894456836","100057.93690154962","101397.27292988152","103585.47513642424","104464.28914482851","107441.97305495388","107301.52262508361","108707.48316595216","111047.20743458885"
"1.2. Formação Savânica","242085.11355722675","240919.3354717519","255464.60071227115","256755.0585238629","259058.80661747366","269400.51401135453","272288.7711049572","269193.17325927573","260194.9557706975","242490.84024689227","237835.748576225","239679.3700496329","235226.3969266222","241527.44847140156","247132.4579139144","248785.11109077826","247419.44513304246","253605.3992821488","245457.41137596715","237134.36641843145","235521.50714829742","233093.75311584727","232531.67494229987","226237.73328286153","221174.34261018096","214721.5412360059","210831.63042970956","198886.0150329715","195636.05479258075","188322.35998102397","191274.89916632586","189666.60809299283","184927.4094585706","181345.8167553","177883.5392039804","178066.42248300184","177493.7315118652","177354.42193623135"
"1.3. Mangue","19266.079416986235","19768.2440131227","19326.777653662244","19556.248570392025","19569.662859961267","19829.191645501913","19422.371714715784","19598.262917474578","19712.78154433015","19559.733071893643","19406.434791980282","19594.477806323535","19765.63411457543","20226.900611828816","20491.9001388735","20909.47583882472","20917.87021946439","20987.259303729476","21062.36927506131","21090.88340292994","21063.337668567172","21087.554984424183","21280.980853821027","21211.45238333153","21541.780146606703","21666.862808746653","21676.03375105011","21770.552414178786","21990.06189870644","22125.880598724696","22147.52852268707","22042.58645777624","21964.454133258372","21876.740249072653","21869.10733530924","21894.02881876259","22113.280744439988","21504.85162951072"
"1.4. Floresta Alagável","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.5. Restinga Arbórea","1738.3586148376532","1741.2595423095745","1701.19173290406","1643.6237282836978","1598.062610192877","1545.4800654480027","1534.3811874816918","1431.7935986022944","1413.711890875245","1415.1467579223624","1354.788086437986","1343.9523351806636","1344.7392895080554","1330.7048401000955","1332.6062986328097","1372.2808637939463","1439.6556532409652","1418.9685988220222","1372.0123834899905","1438.3514317749036","1456.178992608644","1730.17110720826","1749.707932061776","1833.3546128357004","1859.2000757324336","1781.6475524536284","1733.3713333923456","1718.1532423889237","1724.9594162414642","1772.7089553588953","1798.2147771362381","1811.9515518310636","1788.7111737609946","1778.7095705810636","1803.4875416137816","1842.204430810557","1870.6757049194455","1910.2132328857574"
"1.6. Campo Alagado e Área Pantanosa","18243.254386475022","17737.07919169949","16200.387311627497","15425.321484674421","14574.154050708235","12874.270550848527","11844.7491070314","11191.88055067758","10648.195028491311","10297.873107275482","10178.804185260076","10578.668469262824","11127.094001294112","11700.621724157914","11717.770344433762","13233.416122686975","14048.702870221126","14130.599719677935","14301.80113284932","14352.793780664164","14664.788612811477","14864.150145221134","14800.205622900632","14501.054943249756","14818.856342944562","14675.921196936195","14845.600335693533","15085.137648986973","15236.062756329522","15380.131602923788","15261.625012097305","14882.012630120971","14765.137488397275","14739.594113513214","15274.668172076417","16412.449107208307","16310.041727063006","15963.01552296757"
"1.7. Formação Campestre","31024.415185119535","25452.864432256916","22068.356064263902","21085.349277593978","20989.190520916876","20915.58633680443","21062.435020880203","21653.058169500782","22059.9264201784","22151.601028027406","21527.118708819693","20523.83077790536","19400.51177424325","18734.946089807265","18370.615503320372","18456.223745184416","18328.374295678797","17925.244618389876","17841.78816088869","17537.462712127654","17510.25792628182","17357.449580914392","17623.746826342896","17565.578339318996","17064.589277795465","16353.737724749843","15716.266227337685","15143.384358471752","14949.618340783722","15375.604296234167","15681.052399377546","16185.013288104265","16634.72028797001","18236.701675586068","18797.295527533028","18714.567904632593","18386.926737133886","18640.023746093804"
"1.8. Apicum","2295.510985998529","2390.8437001159577","2370.7453054138077","2410.8449174560474","2426.5439320983764","2435.6787858703474","2391.031915258774","2403.082124877913","2441.541983679181","2495.937578808577","2523.4883572936847","2507.0789934142904","2496.9992194763004","2583.216022125227","2656.261769665505","2680.319751678444","2701.1319404479746","2705.6011694518816","2693.9807463500747","2684.8340557800034","2656.029337731913","2648.2068036742985","2626.5871891845545","2582.4129627258158","2543.596122375475","2444.1374293334907","2396.9261272705057","2349.453087463379","2277.9275094726577","2246.4365155822743","2220.5528168640135","2223.5436056396493","2225.225742279053","2213.9997681091313","2210.2234819091823","2224.0866507507317","2221.9688136291506","2100.121266839604"
"1.9. Afloramento Rochoso","4.753530920410158","5.632118218994141","5.71999744873047","5.71999744873047","5.719997601318361","5.719997601318361","5.719997601318361","5.719997601318361","5.719997601318361","4.929310528564454","4.841431146240235","5.456410180664063","5.632582080078126","5.720461462402344","6.071877777099611","5.895705877685549","5.808083447265626","5.984048449707033","5.984048449707033","5.8961690673828135","5.808083294677735","5.719997381591798","5.63211815185547","5.720204064941408","5.720204064941408","5.632118218994141","5.544032305908204","5.63211815185547","5.63211815185547","5.544032305908204","5.631886444091798","5.631886444091798","5.544032305908204","5.632118292236329","5.632118292236329","5.632118292236329","5.632118292236329","5.632118292236329"
