"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Natural","5862249.654987893","5843610.2753278455","5782208.718792348","5711048.491526074","5673108.1460744385","5665650.882688347","5677459.327264864","5667473.534382385","5668280.73274798","5638218.763422112","5625058.591107061","5605571.888580544","5600816.416481941","5592848.557684529","5602861.4852374485","5574960.297548163","5586411.4987978","5592105.198579886","5599658.2641356","5605093.940892292","5616053.777723703","5628697.968148148","5641328.205930507","5657578.997036984","5671501.817102781","5703555.974433182","5718923.232981484","5726156.429603136","5725885.524479819","5732601.719525884","5772531.732023059","5815622.755989645","5835734.685502771","5853405.915984527","5860922.92692926","5870690.850452104","5894561.069377836","5911264.414395842"
"1.1. Formação Florestal","4617821.917455229","4634823.2521768175","4582503.445232935","4522539.8184397435","4496244.547000705","4482707.101385401","4447982.403541186","4437935.691905855","4436596.7039629","4411069.978117001","4393166.478324815","4380465.583893114","4370558.058490345","4357478.756652909","4350886.753120784","4353365.56936473","4358547.234373449","4358845.976807761","4370424.037550621","4378395.493673356","4383670.587291416","4394478.452341589","4407626.146526524","4427434.22483912","4440191.597357718","4463502.148162695","4476265.434237504","4483219.013311227","4483440.894734524","4502321.036328294","4537420.616294531","4557879.866107056","4575417.386124909","4591597.480244466","4602020.036759383","4619808.648056097","4660772.271898884","4666112.174659495"
"1.2. Formação Savânica","87885.29300422299","81922.19685997244","80323.28101578317","78568.45008196357","76291.69676539859","73483.04579170469","70752.54902671429","69055.54401823098","67533.29655376576","66123.02031132794","65563.82063405754","63537.76349450046","62755.57769194918","66037.98949789382","68182.70814791838","72374.45680434513","75176.75261549014","73720.21621703438","71337.31673391075","70874.77948359345","70969.28798083458","72592.39989242506","73167.32271097995","74761.49800599327","76114.64527393141","76710.05105768987","79976.44513206709","79529.93100725023","80367.31939225995","81470.26348138366","82066.0662334892","83259.95367824637","83094.66212540817","83486.48053199993","81215.15251135195","78500.31097858214","74522.42668605293","72456.00695794052"
"1.3. Mangue","14145.052160229307","14766.225317504666","14767.169360607679","15461.760362267862","15690.448024706844","15332.721935180438","15417.567648046695","15692.01670198937","15816.574087389807","15601.86117853352","15913.751622466663","15948.674827929324","15734.384025372066","15019.50584566022","15321.387877947805","16648.26348942811","17648.91693973943","17858.698945189753","17737.223432872896","17763.310469707663","18088.741656719387","18327.70103339181","18236.90321321964","18248.99763192077","18180.26188363577","18155.53655285583","17918.910251171183","17873.577753185356","17894.98535703669","18031.548083513622","18323.261296410397","18042.11145506525","17556.61415112245","17597.798921666857","17709.42673702939","17713.041467308958","18415.435318914104","17397.972486547154"
"1.4. Floresta Alagável","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.5. Restinga Arbórea","251233.90760484026","251660.70054461062","249843.79536424944","247957.02945188023","247597.58305404597","247155.74578017645","246480.39564342675","246788.51288834953","246492.77895407236","246271.85167550086","245039.62225568644","243915.36421896308","243596.05785239013","243030.42081510965","242534.73769117298","242565.16484776008","242150.1629953077","242733.3921686583","243620.96308550698","243890.3873167541","243808.02126456873","244154.51971525227","244420.51706944013","244227.59086856953","244222.29276735362","244408.29079473947","244640.75981956325","244685.71255230368","244592.40628185053","244357.4253336762","244962.90531194094","245103.54496309505","245566.1458553719","246237.0028671886","246070.10369647693","246425.68746556848","246077.54645449555","246206.11872075364"
"1.6. Campo Alagado e Área Pantanosa","294696.13669853547","264771.0203234679","246731.4669777464","238259.26198956923","230632.24736287817","222868.68083447867","221912.6073527284","221807.00587078868","224620.6299710448","224396.67384923695","228562.03391356845","226104.14654217567","227463.00271124273","228686.19263801278","231255.76489145518","241302.342492981","249959.2556749879","253499.99313381367","248771.40501417272","246755.92086004652","249980.2552816716","250197.1015334173","247365.48217957816","247022.14993913585","245878.5147922672","250694.9697918334","252016.6505875977","258677.98190903317","262449.07383139024","267310.6384174866","269469.690212494","270331.3870256838","277393.31057521945","281469.2933165037","281915.4878092346","281629.4823210451","274078.3474340332","289373.690673877"
"1.7. Formação Campestre","19306.459694384565","12476.09566325664","10768.632870007188","10318.098900347795","10082.953850317295","9722.62438098138","10026.77886594233","10412.638060034113","10744.82833157342","11213.72920936272","12150.839823242133","12894.476061999447","14000.350191418405","14070.247091754107","14497.014420977728","14494.448658203059","14303.964493127387","14145.403244476262","13747.394927978443","13368.697843084643","13314.973755731075","12639.800962750121","12187.51118393548","11741.131592590302","11725.811316766327","12164.24115557857","12605.771455425958","12729.095345819022","13526.686449883948","14467.198825042644","15449.445191607578","15753.081837158115","16185.456499053873","16717.876749926672","16964.47433601065","17027.37264876699","16598.744413622953","21583.35484039301"
"1.8. Apicum","520.4138827026358","618.1821486450191","617.5202498291012","650.0871105773915","657.7005301086413","672.3676813598621","844.1800573242201","1008.860376916504","1054.9669008178707","1040.3375116577156","991.2599692443841","963.3251764282219","961.0359047546388","997.1287521667467","965.0775860473626","855.631131353759","750.6585000732426","661.8444725708023","583.3294251586923","572.1743831665051","601.715140191652","636.3486173522958","653.1053178527833","653.3323104858408","614.4145110290536","535.8740236450207","450.6045235595716","347.0688359802258","178.45013228759768","160.22329980468737","151.7855412109373","144.8301750183103","142.86114951171857","143.59705702514637","145.47771471557607","148.10395814208974","133.89572940673816","116.53661480102524"
"1.9. Afloramento Rochoso","9890.857490404953","9644.694040545395","9443.275894573626","9353.711173205224","9188.269780004415","9093.716784514934","8991.64477389481","8993.739016967367","8995.856735296236","8994.263247796247","9027.976004784727","9070.810704571059","9090.395779235378","9196.561923180714","9289.86630840407","9399.035998870477","9449.49714634367","9493.727489947169","9504.542323955982","9532.526906805148","9521.134982677908","9505.594860900565","9481.7071735348","9477.986118548242","9437.967763976712","9400.505322253084","9411.137211822166","9458.806214458877","9462.762597057754","9537.214243542117","9574.608871490156","9504.883984685945","9528.952259551661","9528.10593371547","9577.252726690307","9626.633660845575","9845.275250610039","9939.514424883862"
