"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Natural","22525420.737289313","22474447.03129082","22283545.619281918","22092002.18322701","21951726.995055493","21804814.905513216","21663880.19136962","21496127.777411103","21352589.33969228","21234917.959784195","21078036.326894313","20927747.550590184","20798996.973284002","20687192.68238883","20540260.47244139","20344606.554929636","20165072.98586188","20056316.964289065","19900119.179800704","19685579.94640139","19507832.286352243","19389034.166206524","19308960.29631413","19225999.66761444","19123103.126449306","19002623.47346145","18899712.11369822","18727046.406114615","18454780.289505947","18251734.88025088","18023846.176025297","17876933.54375664","17762596.549269147","17655380.99467752","17528832.817505073","17429038.723058153","17306283.318238765","17116783.479410697"
"1.1. Formação Florestal","4644027.404907241","4567209.830843609","4448580.936997182","4328994.001275603","4270075.755438868","4229360.669096278","4180668.8408807553","4090867.3686789377","4058729.5533409445","4016226.22437374","3945273.4634152576","3883024.4217920015","3831592.366923089","3801502.0251273476","3751980.38101449","3693974.415834929","3636902.5198505","3629259.910755532","3626640.2227254366","3606339.1258348753","3578644.878096726","3571849.586885267","3577657.8922809525","3532971.070181716","3505299.291686115","3478122.3082383587","3430659.426084958","3427587.6379096704","3399325.459109871","3405029.080149655","3392113.777208903","3372538.7455474017","3354329.7975648413","3350081.7366132922","3357683.2773600565","3377380.319006873","3394376.416305277","3421758.290737364"
"1.2. Formação Savânica","13600159.43705026","13669280.740327606","13633773.934734127","13579622.587840497","13508045.5865535","13410889.043229675","13318068.472068127","13242464.994539868","13131617.677809577","13062789.623746902","12982248.38459795","12891389.854666328","12812052.20589437","12744743.675460381","12644404.923454955","12516796.087855963","12398956.99936233","12246200.294891309","12099061.286057709","11904766.754613971","11759254.989698078","11635669.368625341","11554316.936706943","11519007.842565663","11446550.199411802","11367130.93929021","11300390.528196828","11141095.986462973","10927360.67351768","10734653.236612462","10534147.755469749","10420423.428624852","10327841.528793402","10229722.529346062","10112634.748090994","9995339.291066239","9860033.966121316","9663484.314206729"
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Floresta Alagável","1181.8129740905765","1034.4797257019045","959.3658052612307","896.7852824890139","934.4518453491208","920.6520487915043","874.1353696105955","826.1629505126955","765.62309977417","784.8582564025879","698.8426141479491","588.510179748535","526.0589326721191","493.53204676513684","401.069429522705","358.60727775268566","301.22361088867194","297.59850299072264","327.57510347900404","314.6197894104006","331.1053125305176","345.2755843994142","360.1781813598633","358.7676086730957","362.14149989624025","362.1346671203613","375.24632329711915","384.9067891296387","389.8619263977051","403.14475914306644","405.7020222106935","404.0078420776368","395.9222102172853","387.7540246765137","390.3153541687012","404.5880460510255","400.8522758850098","315.5503083618166"
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.6. Campo Alagado e Área Pantanosa","1771210.8541897386","1740451.2405319584","1715140.117977103","1707089.0279944865","1700071.388867926","1692357.7581836784","1690814.0951326634","1689445.0326277944","1690792.0519862853","1690613.0289039353","1688602.9244714403","1688394.8982860744","1686812.7393356976","1679535.4823582994","1681291.2034013916","1680604.7981921365","1683071.463483766","1684724.7733505415","1677225.7361947256","1679568.0258929443","1680937.2620046313","1680533.6978063646","1681874.2138707417","1683622.5861734205","1683989.1885467668","1685450.136904572","1692930.4374864998","1690049.5683867498","1677350.5251632803","1671564.7687775278","1662868.0485303053","1655255.5743136301","1653952.5540565257","1652366.3515036306","1650399.4939165353","1657548.4481663501","1659726.2487376658","1680755.1212993534"
"1.7. Formação Campestre","2243695.703415171","2211341.5895108576","2201997.496868906","2192495.651149144","2184770.3600179325","2182977.7951114485","2181242.030970725","2181232.6152786864","2180169.3024551803","2177712.835087663","2177843.241656816","2181129.6088453815","2183875.3042646823","2183473.2530155513","2185474.610629578","2190134.667434521","2187047.0708688674","2183786.1235310948","2183262.3709273525","2185272.0120143536","2179116.915813615","2174550.7462282465","2167605.857890049","2161188.273765157","2148258.446305066","2134064.969701016","2128130.1784385312","2120419.2793075326","2108721.788487749","2100182.5024996046","2096677.869441282","2094786.8966754489","2093399.219294201","2086929.8818310944","2073042.5020308997","2065029.2879609766","2062204.140182411","2026499.1327241787"
"1.8. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.9. Afloramento Rochoso","35289.82319742454","35285.21003724387","35290.62329393943","35287.293134851294","35282.65687700219","35276.00319938378","35274.9495516848","35275.02181885398","35273.5353461794","35271.08207605002","35277.35008068868","35278.130160132045","35274.5548989199","35275.681351251435","35285.11012299825","35286.14406208517","35289.48512754536","35290.28422834493","35285.5763348574","35288.519882208464","35291.05825267356","35292.69582377342","35296.068135211426","35296.69119813865","35299.244061004865","35304.93240798364","35308.52133105492","35309.890480743634","35309.96244117455","35313.10681918358","35314.75838574243","35315.45676718164","35310.64771637598","35311.0207766665","35315.38867822901","35318.183545459244","35318.88315608547","35424.452436731204"
"1.10. Restinga Herbácea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.11. Outras Formações não Florestais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.12. Praia, Duna e Areal","311.06055132446244","311.1484291748042","309.302174981689","310.35716506347615","310.00551600952105","310.1813366577144","312.20338510742135","311.0605033630367","310.26921427001906","311.1483874450679","311.50006145019483","311.4121612792964","311.6758935241695","310.8846485717769","311.2362785827632","308.33506846923785","308.2471591186519","308.33509854125936","308.42302285156205","308.77469099731405","308.686768719482","308.9505064636226","309.03842078247027","309.1263399047848","308.95050556030236","308.8625901977535","309.038416943359","309.03842266235307","308.95050053100545","308.77467582397423","308.5988349426266","308.59881689453084","308.4229678222652","308.2471480102535","307.8075495300289","307.80754028320274","307.6316973022457","307.9833977050777"
"1.13. Rio, Lago e Oceano","229544.64100406494","249532.79188466773","247493.84143042006","247306.47938487586","252236.78993890385","252722.8033073058","256625.4640109431","255705.52101308544","254931.32644006916","251209.1589520568","247780.619996563","247630.71449923678","248552.06714104596","241858.1483806578","241111.93810987478","227143.49920377764","223195.976398858","276449.6439307108","278007.9894342927","273722.1136826268","273947.3904052707","290483.8447466648","291540.1108280852","293245.3097817658","303035.66443309607","301879.18966199073","311608.7374201083","311890.0983551552","306013.0683592619","304280.26595748035","302009.66613216256","297900.83516915655","297058.4566657629","300273.4734340854","299059.28452466195","297710.7977259191","293915.1797628212","288238.63430027803"
"2. Antrópico","5019580.153268816","5122090.614104115","5317018.566121158","5509675.673178209","5653019.042889956","5806353.708622064","5962979.316039737","6138364.553583784","6291321.027576761","6413861.187122071","6575175.152992769","6725296.784693557","6843994.308189911","6955442.698310977","7109489.9538284615","7301913.428416488","7478378.480994926","7579164.724410617","7718673.8070074795","7926219.417418968","8104540.990700319","8235773.564240866","8329576.961212927","8416082.72503917","8528744.515749834","8655404.841609752","8747166.42975014","8915251.172135534","9168249.732900744","9351025.257694127","9588675.774633171","9744806.522361843","9869289.89472485","9979389.953531325","10104727.207383677","10210862.62075388","10323566.509636905","10436197.293141609"
"2.1. Pastagem","2329445.1408620756","2498905.473843441","2858478.615248574","3200115.384289524","3477767.0768455244","3739589.5223796987","3964757.9419908607","4197344.38334877","4397917.064488466","4571578.124672916","4793314.696973624","5032390.024229264","5253242.933022913","5455814.130099446","5656747.37726875","5859491.390654617","6057940.020232127","6193938.044066536","6372977.025306523","6538800.083697323","6690255.409426547","6801548.819387189","6856895.585757554","6925531.210098227","7019921.979335261","7142095.827920368","7237161.28102283","7385662.093157186","7574134.534362559","7700286.883976337","7806344.6438330505","7844124.137919843","7814326.292119539","7807245.165217387","7824747.264716875","7859839.181784188","7940573.452214499","7985409.49751972"
"2.2. Soja","1297.2609464904826","2127.202919226076","4715.798498614526","6305.439588653568","8983.732935192897","10380.051745538338","10502.835318395959","10478.189174633735","12045.060572723369","15214.435199548228","17416.23352058717","20069.055527453555","22698.550756286782","28874.949753118817","35081.9762578251","51980.113481714274","73640.85525649479","95213.45493696943","106784.67098646879","184528.4389187667","239033.29072302635","264058.43094465934","296005.5534244085","283778.50107663526","309936.72533363476","347590.32171368465","374814.01429201383","422777.2627422198","420648.57268884534","481194.2091938021","680929.7904808504","792337.8993715978","907739.7318916842","995950.849114134","1017030.3195269203","979031.7438262535","1005837.1345259954","1042310.2837626031"
