"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Floresta","581647538.5641549","581547706.7298548","578370673.6033413","574662348.4304372","571004002.2246126","568661903.4193625","565997938.569742","562176346.7568932","558940448.9855862","556048121.7458543","552494945.9899207","549516792.8950723","546770710.1628522","543562678.7024311","540346626.4083006","538128924.2807877","535181883.40714383","531837812.18972605","527609810.7289368","523292452.07782936","520389825.1614025","518372318.982861","516737163.3352495","515248389.6044246","514159162.09102315","513489915.1171956","512691505.6335724","511455215.37852603","510095192.9734175","508745580.0123949","507443836.25084996","505942458.8042632","504786335.31906205","503634113.442212","501734780.0902","499877217.02843434","497247921.33222014","494066968.42190653"
"1.1. Formação Florestal","427225772.7769084","426468670.3841279","424210319.5833166","421842111.7982831","419730976.86598945","418728981.6578228","417262095.94183904","415078488.9065324","413196546.3646773","411038749.9975681","408385248.4935572","406074891.37674016","403862128.457976","401610681.0399198","399360807.650783","397731722.8189853","395813902.2059579","393556546.2668237","390514339.94309956","387625917.64061666","385544896.89515233","383845389.2205993","382601276.2830071","381323032.42044634","380477548.3972951","380124008.7742997","379648859.8318337","379319445.82547885","378701470.0997224","378179522.2633857","377406225.40192485","376526303.22353405","375860904.2426597","375215431.0841926","373944987.50620306","372855882.4904737","371104887.87400615","369049531.8004756"
"1.2. Formação Savânica","133425262.38642237","134142811.39047381","133268947.08874181","131922676.03135143","130458346.06367917","129027615.33111688","127884246.60082218","126303953.65417512","124983879.62118906","124192250.1797247","123291452.74857105","122707237.33553605","122169229.15572661","121241069.67248908","120362605.72775796","119592675.04362898","118537258.9763369","117447756.28252083","116250468.55918637","114852932.82138282","114006324.02901162","113677022.20096043","113286021.76236029","113088894.27986094","112871466.3283377","112530567.82346521","112191794.18365492","111327632.19924581","110541659.62594324","109723783.95116332","109222439.23387966","108661046.32042786","108191907.88536863","107673924.18694165","107072167.6138224","106326925.17153297","105513903.11119354","104493437.40564172"
"1.3. Mangue","1010263.1443135609","1011723.1985296747","1008925.5750030954","1013675.5969025806","1018678.6258054975","1025885.2085751663","1029326.0798439074","1029064.9186024946","1028210.8243271965","1029344.5676737407","1032679.5174620519","1034414.4363615775","1034479.3749671103","1028620.4248327664","1026216.7334731006","1037941.3876599568","1040585.3279040813","1042593.7955147203","1043605.3382635788","1044780.5607797456","1043264.8892093683","1042578.3068279523","1041424.7199788919","1041023.3817119498","1043749.6750827171","1045021.8712344647","1048266.8826587871","1046601.9949771358","1045949.2063128354","1048560.607416868","1044851.4720347296","1042128.0881235736","1038362.9828065214","1038187.5201032623","1040672.5312244798","1037067.476608256","1046289.0983895367","1038359.2361214982"
"1.4. Floresta Alagável","19289450.457850244","19232429.785468146","19203915.80647885","19216401.327416625","19137858.045125864","19228891.871919855","19178130.363765173","19127042.132838007","19097837.78060613","19154034.327893484","19151568.169752765","19067751.280831393","19078071.171782956","19060305.028759208","18979769.369953774","19152370.66687812","19175674.212776832","19176479.56047208","19187789.602487963","19156353.741522897","19179184.361969244","19187913.75049468","19187056.758094124","19175687.802363418","19145377.0869203","19169225.22400638","19176987.5424288","19136063.425095923","19183389.38839867","19172330.89420388","19144707.52547127","19089017.152151555","19070152.481077462","19079946.422323324","19048215.646666955","19029153.489922795","18957626.58613612","18858693.12451646"
"1.5. Restinga Arbórea","696789.7986602711","692071.9712553181","678565.5498008505","667483.6764833567","658142.6240126111","650529.3499279191","644139.5834718287","637797.1447450651","633974.3947865068","633742.672994219","633997.0605776246","632498.4656031812","626802.0023996063","622002.5364301915","617226.9263327613","614214.3636352811","614462.6841681233","614436.2843947499","613607.2858992555","612467.3135272416","616154.9860599776","619415.5039786876","621383.8118091432","619751.7200419931","621020.6033873041","621091.4241898855","625597.1929962022","625471.9337283324","622724.6530404084","621382.2962250446","625612.6175393872","623964.020026139","625007.7271498108","626624.2286510862","628736.7922831057","628188.399896563","625214.6624947981","626946.8551512456"
"2. Formação Natural não Florestal","56677067.327714","56814739.10042199","55617412.18841122","53845301.35655378","54060428.22487351","54827561.679459274","53645378.83026397","54206668.09102759","53784827.14835388","54425216.35269467","54019537.627172425","53683333.681182794","53672582.20840676","54454982.252318494","53194801.72836108","54413048.723233335","54699455.02959749","54091712.37370673","54228856.60211297","53934006.78293437","53805445.36040398","53108397.11384942","52822923.399627656","52771289.8372594","53104031.196238145","53193518.051904514","52242093.90795847","52345802.66874127","51892045.071598396","50935154.33083561","51099340.07651413","51415053.958027914","50959368.44116946","50553719.76177291","50872698.047167696","50966484.53977983","50589535.00189375","48901837.62386338"
"2.1. Campo Alagado e Área Pantanosa","19104266.536155015","17569715.831798706","18361201.630060915","18600215.64688013","19221476.238416288","17266688.553871732","17820361.412546266","16720804.886365267","17347149.652774695","16560041.503453419","17734099.030991495","17371319.079311997","18106019.659541074","16538363.018939778","16732435.950796742","18354245.510399885","16615185.516634598","17556607.001905974","17841226.99166383","17087983.225073766","16779561.663912196","18477572.51122561","18281284.98600827","18504937.82544496","16449549.36483399","17676154.294467576","19422889.877804175","16002712.866498632","16311764.579021946","17100959.363977417","15959711.087926999","16591752.919724988","16113913.744644172","17824984.453224253","16223091.219559047","15024168.021558216","15044899.631432207","14606593.995413944"
"2.2. Formação Campestre","35763131.43651705","37425105.303421795","35457516.125971995","33450506.622325275","33051395.461159747","35773881.46036359","34045431.07752163","35713145.603821896","34671285.36245329","36101089.681930006","34514443.6306382","34536365.68416375","33784961.21439158","36138943.941469915","34677604.05213128","34269614.56597209","36294167.67512844","34745643.13404811","34595744.63144318","35038026.39610165","35214179.125046015","32819476.09152745","32729153.716839496","32452929.387400918","34840649.012933254","33718056.162185125","31024149.719015703","34556964.41906934","33792595.87197436","32041634.134469897","33345373.496866927","33018321.23525334","33036091.62396741","30915706.514149006","32825704.85702063","34119897.97399773","33718414.47484629","32464169.19680345"
"2.3. Apicum","56553.27916505135","57458.26905126347","57384.23387897956","57585.90264897466","56781.39405838639","56615.94439038707","57397.1043159608","57538.66847393805","58324.95779997559","58199.72962707513","57945.33984469599","58055.01009619742","58174.521043060246","59052.375428125","60556.95679036861","62406.83166861588","62545.781042163195","62101.07609112564","61926.99742615981","61775.35984523947","62113.09349053356","62358.30210172129","61922.910664227515","61111.69414403704","60403.936931549244","59333.07074659433","58388.034500152775","57200.492130230894","56616.62004327397","56183.667050122094","55629.226521447796","55421.10469998182","55134.27737456681","54675.79654793711","54000.32470238653","53594.0772553285","53480.13726002208","51494.045102709984"
"2.4. Afloramento Rochoso","1431433.1427327883","1453726.4231493238","1450211.9780802573","1452053.755755227","1447781.5405053408","1447342.3598928738","1445858.819829569","1442588.7530145696","1442237.4577257861","1443853.3753295129","1444106.6252845484","1443117.830392813","1443533.5913085856","1436906.773170895","1445202.1569250505","1448939.871838982","1450961.3569425615","1450960.2567917127","1448245.9034983017","1455139.5699038517","1455683.9142607045","1454119.661085996","1454663.1451179218","1452186.2530878307","1454023.433604741","1448936.2656226484","1449984.2686069137","1441094.7302595505","1443194.4811409875","1445247.92963706","1449418.9007924171","1460718.5451469284","1463167.7044084542","1465008.1685525908","1480803.4505203513","1482073.6911724287","1483754.0340775645","1484773.19969325"
"2.5. Restinga Herbácea","295210.24470447865","285343.7131256817","268912.4003922396","263947.92530729074","263387.9724520535","264546.22256905906","258474.63142682187","255460.59406262988","249037.31218324843","245240.02889015642","252552.4782850306","258277.86212813962","263751.23817595455","265288.33687539946","262268.87060403096","260857.75067679124","259855.13120154702","259483.5794647479","264862.87008360296","274158.43271463306","276849.7477022078","277534.2552855323","278516.33202343987","282947.03383205895","282388.94063163135","274768.7647528696","270849.84372058953","272497.6649793487","272937.8677979577","276246.11540334614","274132.94169612665","273864.2423873748","276200.46922028984","278378.6066763388","274314.72708184883","272532.3193846328","274877.1514513683","280420.0468562879"
"2.6. Outras Formações não Florestais","26472.688439611822","23389.559875219784","22185.820026831094","20991.503636883554","19605.61828170167","18487.13837163701","17855.78462373049","17129.585289294446","16792.40541688233","16792.033464508015","16390.52212846061","16198.215089892512","16141.983946502634","16427.80643438106","16733.741113610806","16984.192676977495","16739.568648174994","16917.32540505976","16849.207997906466","16923.799295227018","17057.815992321735","17336.292623107838","17382.308974298023","17177.643349584883","17016.507302984563","16269.494129699626","15832.164310931339","15332.495804168662","14935.651619879138","14883.120297766123","15074.422710211178","14975.910815301519","14860.62155457771","14966.222622778389","14783.468283428942","14218.456411486897","14109.572826300158","14387.139993731747"
