"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Floresta","5407252.346903317","5407352.621446904","5251265.179776948","4935397.527157463","4919257.061992551","4817694.35341396","4899498.129542207","4798362.960747642","4840061.852810789","4906554.209669117","4824239.18716813","4879633.889239389","4789754.591057969","4737568.398176324","4760290.4518346125","4706030.196952266","4632175.308954259","4574740.273230916","4531166.4046384385","4523296.679392272","4557497.036256015","4575646.631251595","4587085.7493857695","4586309.997376464","4565058.622681896","4583698.950227126","4608141.511417534","4625913.79959874","4661999.593139166","4679845.244689144","4683558.625700472","4723209.210366098","4719616.6985254865","4751062.778344328","4738104.174738456","4733818.550686746","4730462.83146731","4730987.873853396"
"1.1. Formação Florestal","2915713.1605856107","2909531.303836657","2886816.0582709354","2879025.0411303486","2879345.748374612","2848623.3800181462","2828280.8341950458","2806513.606205738","2785176.106615927","2768388.6994857215","2749498.47264149","2723729.5961993197","2699259.42585635","2676886.2330590426","2659728.4252312556","2645733.2312842696","2627955.7931424635","2612849.9862200944","2592173.712550861","2571678.1917993817","2553004.472589956","2539396.156271129","2526004.8234694623","2516170.3195152013","2504939.5539082093","2497986.4997963775","2489558.8006194565","2484816.538367365","2478927.5852017645","2469380.3452367196","2461104.052602828","2454382.095661325","2445571.1018301304","2436602.9126555054","2420056.535651925","2399140.767923477","2362586.0905994023","2351158.583009687"
"1.2. Formação Savânica","2491539.1863177055","2497821.317610247","2364449.0355415223","2056372.4000626244","2039911.2276534496","1969070.9733958137","2071217.2953471611","1991849.3545419043","2054885.746194862","2138165.510183396","2074740.7145266396","2155904.2930400698","2090495.1652016195","2060682.1651172813","2100562.026603357","2060296.9656679959","2004219.5158117954","1961890.2870108213","1938992.692087578","1951618.48759289","2004492.5636660587","2036250.4749804658","2061080.9259163074","2070139.6778612626","2060119.0687736871","2085712.4504307478","2118582.710798078","2141097.261231375","2183072.007937401","2210464.8994524246","2222454.5730976444","2268827.114704773","2274045.5966953565","2314459.8656888218","2318047.6390865305","2334677.782763269","2367876.740867908","2379829.11868337"
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Floresta Alagável","","","0.08596448974609375","0.08596448974609375","0.08596448974609375","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.17216033935546876"
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2. Formação Natural não Florestal","5455618.140504556","6997377.770627726","6840053.537061505","5606224.778802564","6113149.3679546695","7460757.852057526","6738750.333139926","6973903.568824847","6897711.504616756","7521460.297637019","6995848.567183115","7251098.881386235","6982439.673974854","7455312.306340954","7266043.847011822","7566516.476312237","7847909.654773539","7636044.564977064","7798031.241013477","7718169.455636804","7887027.980569348","7355265.28844536","7341819.1586628435","7423511.3438716885","7853987.846302431","7799107.41507571","7200309.025894334","7710576.373078894","7634830.10198921","6915428.040267002","7328576.2565030195","7302885.70722833","7295876.44329397","6724026.893837516","7235530.207636898","7435241.928934308","7408756.164568726","7416626.773188943"
"2.1. Campo Alagado e Área Pantanosa","3665418.722934731","2390917.038151868","3561676.164161951","3608863.0287364474","4168465.063246688","2530876.1025918857","3363192.7630741927","2097809.221526241","2753115.2818246586","1782901.0367390248","3077814.0240514097","2969390.8043267974","3613262.541358292","1672463.6418931081","2469763.3263599295","3496569.610322347","1757714.2361556625","2942638.691450324","3005261.144981688","2206943.5134561444","1962423.21469643","3588043.814783845","3431599.4049466057","3676103.8564250986","1778066.1624926536","2513446.2128893784","4271663.011054982","1172003.6950742106","2161976.019684036","3179398.7386149312","2272106.8225361514","2727424.5312882503","2446963.9616154986","3895145.333184748","2080760.209717965","714899.8966179858","745712.2962631064","1244643.0571167856"
"2.2. Formação Campestre","1790199.4175698245","4606460.732475858","3278377.372899554","1997361.750066117","1944684.3047079812","4929881.74946564","3375557.570065734","4876094.347298606","4144596.222792098","5738559.260897995","3918034.5431317054","4281708.077059438","3369177.132616562","5782848.664447846","4796280.520651893","4069946.86598989","6090195.418617876","4693405.87352674","4792770.096031789","5511225.94218066","5924604.765872918","3767221.473661515","3910219.753716238","3747407.4874465894","6075921.683809778","5285661.202186332","2928646.014839351","6538572.678004683","5472854.082305173","3736029.3016520706","5056469.433966868","4575461.17594008","4848912.481678471","2828881.5606527682","5154769.997918934","6720342.032316322","6663043.86830562","6171983.716072158"
"2.3. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.4. Afloramento Rochoso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.5. Restinga Herbácea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.6. Outras Formações não Florestais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3. Agropecuária","760958.4963429034","760846.673976201","987356.6640097371","1027162.168115163","1044347.2249753483","1084047.393225949","1096525.1176334887","1146320.9099436158","1231288.876323541","1279126.9941797226","1326825.308373606","1384215.0186176926","1434162.3254823037","1476909.97299769","1523297.1839409773","1508809.9750131937","1530709.3942553056","1509706.8116983115","1545997.7699009164","1580935.624708786","1587454.2117609524","1634670.863395236","1642937.3671147155","1656611.9199143816","1688155.1766066425","1733357.4574368729","1770165.1100718135","1808188.44898928","1833991.6852975786","1874390.450174966","1899887.5345747638","1922447.2616199176","1961086.4921503311","1992168.9180542186","2035346.0069391017","2118574.5797611857","2218514.9049192993","2260066.94361969"
